Elemento,Valor
Investigadores internos,54
Áreas de trabajo,8
Revistas,650
Editoriales asociadas a revistas,270
Artículos recopilados,4318
Revistas presentes en publicaciones,647
Proyectos únicos,281
Relaciones investigador-área,87
Relaciones investigador-revista/artículo,4318
Relaciones investigador-proyecto,576
Relaciones de coautoría,3236
Relaciones de colaboración en proyectos,2068
Palabras clave únicas en matriz de investigadores,103
Revistas con representación temática,643
Investigadores con representación temática,42
Investigadores con publicaciones recopiladas,42
Investigadores con proyectos asociados,43
Investigadores con áreas asociadas,50
