"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Alegre C.; Dağ H.; Romagueraz S.; Tirado P.","Alegre, Carmen (7003769450); Dağ, Hacer (56642666100); Romagueraz, Salvador (7004365128); Tirado, Pedro (16426596600)","7003769450; 56642666100; 7004365128; 16426596600","Characterizations of quasi-metric completeness in terms of kannan-type fixed point theorems","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012070474&doi=10.15672%2fHJMS.2016.395&partnerID=40&md5=b6d4aa5b4f2f5d8a8cf8613b0c2b53e1","Hacettepe University"
"Alegre C.; Ferrando I.","Alegre, C. (7003769450); Ferrando, I. (23059984400)","7003769450; 23059984400","Quotient subspaces of asymmetric normed linear spaces","2007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58549086138&partnerID=40&md5=dd9e21684136e0d653be1b4babd8cf64",""
"Alegre C.; Ferrando I.; García-Raffi L.M.; Sánchez Pérez E.A.","Alegre, C. (7003769450); Ferrando, I. (23059984400); García-Raffi, L.M. (6602406968); Sánchez Pérez, E.A. (6603585596)","7003769450; 23059984400; 6602406968; 6603585596","Compactness in asymmetric normed spaces","2008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38549104147&doi=10.1016%2fj.topol.2007.11.004&partnerID=40&md5=15342e5c54e4c38e5b7bf2d9ebe32167",""
"Alegre C.; Marín J.","Alegre, Carmen (7003769450); Marín, Josefa (7201368605)","7003769450; 7201368605","A Caristi fixed point theorem for complete quasi-metric spaces by using mw-distances","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049017882&doi=10.24193%2ffpt-ro.2018.1.03&partnerID=40&md5=0af4e4b8793619f3bee0d7d9022a418c","House of the Book of Science"
"Alegre C.; Ferrer J.; Gregori V.","Alegre, C. (7003769450); Ferrer, J. (8901258400); Gregori, V. (6603352358)","7003769450; 8901258400; 6603352358","On a class of real normed lattices","1998","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033478957&doi=10.1023%2fA%3a1022499925483&partnerID=40&md5=c88a55adfb8e03f21753e858dbff93a1","Kluwer Academic/Plenum Publishers"
"Alegre C.; Fulga A.; Karapinar E.; Tirado P.","Alegre, Carmen (7003769450); Fulga, Andreea (57201976543); Karapinar, Erdal (16678995500); Tirado, Pedro (16426596600)","7003769450; 57201976543; 16678995500; 16426596600","A discussion on p-geraghty contraction on mw-quasi-metric spaces","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090584693&doi=10.3390%2fMATH8091437&partnerID=40&md5=4b58bbc59846c3905e0880c363013f30","MDPI AG"
"Alegre C.; Romaguera S.","Alegre, Carmen (7003769450); Romaguera, Salvador (7004365128)","7003769450; 7004365128","The Hahn-Banach extension theorem for fuzzy normed spaces revisited","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902173515&doi=10.1155%2f2014%2f151472&partnerID=40&md5=e5f2d239a60db53ebb8d0c97b64da101","Hindawi Publishing Corporation"
"Alegre C.","Alegre, Carmen (7003769450)","7003769450","The weak topology in finite dimensional asymmetric normed spaces","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068046999&doi=10.1016%2fj.topol.2019.06.047&partnerID=40&md5=83cfa3dd244eb6c2fd1790fc9475ee36","Elsevier B.V."
"Alegre C.; Marín J.","Alegre, Carmen (7003769450); Marín, Josefa (7201368605)","7003769450; 7201368605","Modified w-distances on quasi-metric spaces and a fixed point theorem on complete quasi-metric spaces","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953425798&doi=10.1016%2fj.topol.2015.12.073&partnerID=40&md5=a26a5c7a262662ccc21e8e3a9f087b89","Elsevier"
"Alegre C.","Alegre, C. (7003769450)","7003769450","Continuous operators on asymmetric normed spaces","2009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61349105293&doi=10.1007%2fs10474-008-8039-0&partnerID=40&md5=4da47df3603597046cc5c7bf251c51ad",""
