"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Arroyo-Jordá M.; Arroyo-Jordá P.; Martínez-Pastor A.; Pérez-Ramos M.D.","Arroyo-Jordá, Milagros (6506651647); Arroyo-Jordá, Paz (8892401100); Martínez-Pastor, Ana (6602305095); Pérez-Ramos, M. Dolores (6701539740)","6506651647; 8892401100; 6602305095; 6701539740","New progress on factorized groups and subgroup permutability","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954148617&doi=10.1017%2fCBO9781316227343.007&partnerID=40&md5=d5fa324484e501e634248ddd3fe9ae18","Cambridge University Press"
"Arroyo-Jordá P.","Arroyo-Jordá, P. (8892401100)","8892401100","On Schunck classes of finite groups with cover and avoidance property on Abelian chief factors","2006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747168229&doi=10.1080%2f00927870600639450&partnerID=40&md5=176c21fab104fbaa689691c7926ec98e",""
"Arroyo-Jordá P.; Martínez-Pastor A.","Arroyo-Jordá, P. (8892401100); Martínez-Pastor, A. (6602305095)","8892401100; 6602305095","On certain actions of groups and injective fitting sets","1998","https://www.scopus.com/inward/record.uri?eid=2-s2.0-26444530016&doi=10.1080%2f00927879808826220&partnerID=40&md5=71f768a4377f45827210f972cce970f6","Marcel Dekker Inc."
"Arroyo-Jordá P.; Ballester-Bolinches A.; Pérez-Ramos M.D.","Arroyo-Jordá, P. (8892401100); Ballester-Bolinches, A. (7006338577); Pérez-Ramos, M.D. (6701539740)","8892401100; 7006338577; 6701539740","On complemented Schunck classes of finite groups","1996","https://www.scopus.com/inward/record.uri?eid=2-s2.0-25844510776&doi=10.1080%2f00927879608825765&partnerID=40&md5=71eaf4fdc0ab8417a444fd5de9553f5f","Marcel Dekker Inc."
"Arroyo-Jordá M.; Arroyo-Jordá P.; Pérez-Ramos M.D.","Arroyo-Jordá, M. (6506651647); Arroyo-Jordá, P. (8892401100); Pérez-Ramos, M.D. (6701539740)","6506651647; 8892401100; 6701539740","On conditional permutability and saturated formations","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956076695&doi=10.1017%2fS0013091510000106&partnerID=40&md5=63a7f05bed2876eeb05a1a1d0c7cb458",""
"Arroyo-Jordá M.; Arroyo-Jordá P.; Dark R.; Feldman A.D.; Pérez-Ramos M.D.","Arroyo-Jordá, Milagros (6506651647); Arroyo-Jordá, Paz (8892401100); Dark, Rex (6602613953); Feldman, Arnold D. (7202333794); Pérez-Ramos, María Dolores (6701539740)","6506651647; 8892401100; 6602613953; 7202333794; 6701539740","Carter and Gaschütz theories beyond soluble groups","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124990897&doi=10.1007%2fs13398-022-01215-7&partnerID=40&md5=c89e2fe565578850e47a2a88345b2f90","Springer-Verlag Italia s.r.l."
"Arroyo-Jordá M.; Arroyo-Jordá P.; Martínez-Pastor A.; Pérez-Ramos M.D.","Arroyo-Jordá, M. (6506651647); Arroyo-Jordá, P. (8892401100); Martínez-Pastor, A. (6602305095); Pérez-Ramos, M.D. (6701539740)","6506651647; 8892401100; 6602305095; 6701539740","On conditional permutability and factorized groups","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905094247&doi=10.1007%2fs10231-012-0319-1&partnerID=40&md5=cbf53161f4cc165776b403c8996a67b6","Springer Verlag"
"Arroyo-Jordá M.; Arroyo-Jordá P.; Martínez-Pastor A.; Pérez-Ramos M.D.","Arroyo-Jordá, M. (6506651647); Arroyo-Jordá, P. (8892401100); Martínez-Pastor, A. (6602305095); Pérez-Ramos, M.D. (6701539740)","6506651647; 8892401100; 6602305095; 6701539740","On finite products of groups and supersolubility","2010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951255949&doi=10.1016%2fj.jalgebra.2010.01.001&partnerID=40&md5=98333a96a7138349e1f4bde3a48e5692",""
"Arroyo-Jordá P.; Ballester-Bolinches A.; Pérez-Ramos M.D.","Arroyo-Jordá, P. (8892401100); Ballester-Bolinches, A. (7006338577); Pérez-Ramos, M.D. (6701539740)","8892401100; 7006338577; 6701539740","Fitting sets pairs","2000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034664342&doi=10.1006%2fjabr.2000.8335&partnerID=40&md5=e42ee00e324072ab925d0a7d86325a71","Academic Press Inc."
"Arroyo-Jordá M.; Arroyo-Jordá P.; Dark R.; Feldman A.D.; Pérez-Ramos M.D.","Arroyo-Jordá, M. (6506651647); Arroyo-Jordá, P. (8892401100); Dark, R. (6602613953); Feldman, A.D. (7202333794); Pérez-Ramos, M.D. (6701539740)","6506651647; 8892401100; 6602613953; 7202333794; 6701539740","Injectors in π -Separable Groups","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132862943&doi=10.1007%2fs00009-022-02079-2&partnerID=40&md5=d33eff6eeb1b445f7981d87b047b76b3","Birkhauser"
"Arroyo-Jordá M.; Arroyo-Jordá P.","Arroyo-Jordá, M. (6506651647); Arroyo-Jordá, P. (8892401100)","6506651647; 8892401100","Conditional permutability of subgroups and certain classes of groups","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010297306&doi=10.1016%2fj.jalgebra.2016.12.020&partnerID=40&md5=e583f93e4bcc4da14a9971fed720e5ea","Academic Press Inc."
