"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Beltrán A.; Felipe M.J.; Melchor C.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167); Melchor, Carmen (56436446800)","7006241474; 7005750167; 56436446800","An Arad and Fisman’s Theorem on Products of Conjugacy Classes Revisited","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140058419&doi=10.1007%2fs00009-022-02171-7&partnerID=40&md5=49440b2ef78f54cb69611e9de8434f24","Birkhauser"
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","On the diameter of a p-regular conjugacy class graph of finite groups II","2003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042885351&doi=10.1081%2fAGB-120022799&partnerID=40&md5=44d08cf9003d3c296bf0a276dbb3a80c",""
"Akhlaghi Z.; Felipe M.J.; Jean-Philippe M.K.","Akhlaghi, Z. (26021016700); Felipe, M.J. (7005750167); Jean-Philippe, M.K. (58784070700)","26021016700; 7005750167; 58784070700","Some Properties of Normal Subgroups Determined from Character Tables","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189961559&doi=10.1007%2fs40840-024-01684-6&partnerID=40&md5=059a882b8659ca237db95d9357aa84cd","Springer"
"Beltrán A.; Felipe M.J.; Melchor C.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167); Melchor, Carmen (56436446800)","7006241474; 7005750167; 56436446800","Multiplying a conjugacy class by its inverse in a finite group","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050315967&doi=10.1007%2fs11856-018-1742-9&partnerID=40&md5=1bd51f8607587b1fb0ff6b54a9330ad5","Springer New York LLC"
"Felipe M.-J.; Martinez-Pastor A.; Ortiz-Sotomayor V.-M.","Felipe, Maria-Jose (7005750167); Martinez-Pastor, Ana (6602305095); Ortiz-Sotomayor, Victor-Manuel (57195401726)","7005750167; 6602305095; 57195401726","On finite groups with square-free conjugacy class sizes","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040842182&doi=10.22108%2fijgt.2017.21475&partnerID=40&md5=14c179d4088dedc81d30d6483b7aabd4","University of Isfahan"
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","Some class size conditions implying solvability of finite groups","2006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847062946&doi=10.1515%2fJGT.2006.050&partnerID=40&md5=5979212d5c7a6039076b336675efc2ad",""
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","Corrigendum to ""Variations on a theorem by Alan Camina on conjugacy class sizes"" [J. Algebra 296 (2006) 253-266] (DOI:10.1016/j.jalgebra.2005.06.031)","2008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55649104294&doi=10.1016%2fj.jalgebra.2008.10.003&partnerID=40&md5=aff25c250c87a7eb25daacefd0d39836",""
"Beltrán A.; Felipe M.J.; Melchor C.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167); Melchor, Carmen (56436446800)","7006241474; 7005750167; 56436446800","Triangles in the graph of conjugacy classes of normal subgroups","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953212903&doi=10.1007%2fs00605-015-0866-9&partnerID=40&md5=fa7f3a8cf8ea74707b6b3448a0423b3d","Springer-Verlag Wien"
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","Prime powers as conjugacy class lengths of π-elements","2004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2442586650&doi=10.1017%2fs0004972700036054&partnerID=40&md5=98ef7dd962800e943ea03f506c5938ee","Australian Mathematical Publishing Association"
"Akhlaghi Z.; Beltrán A.; Felipe M.J.; Khatami M.","Akhlaghi, Zeinab (26021016700); Beltrán, Antonio (7006241474); Felipe, María José (7005750167); Khatami, Maryam (26021312200)","26021016700; 7006241474; 7005750167; 26021312200","Finite p-solvable groups with three p-regular conjugacy class sizes","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894221282&doi=10.1017%2fS0013091512000466&partnerID=40&md5=9b0c671314473b25668738586e756137",""
