"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Hoyas S.; Herrero H.; Mancho A.M.","Hoyas, S. (6508374001); Herrero, H. (35609285600); Mancho, A.M. (6603836227)","6508374001; 35609285600; 6603836227","Thermocapillar and thermogravitatory waves in a convection problem","2004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10644225997&doi=10.1007%2fs00162-004-0143-3&partnerID=40&md5=4ee7754d0b4f79d5ba40da932e36e0e7",""
"Hoyas S.; Vinuesa R.; Schmid P.; Nagib H.","Hoyas, Sergio (6508374001); Vinuesa, Ricardo (55553485100); Schmid, Peter (26768282400); Nagib, Hassan (7003901660)","6508374001; 55553485100; 26768282400; 7003901660","Sensitivity study of resolution and convergence requirements for the extended overlap region in wall-bounded turbulence","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200487900&doi=10.1103%2fPhysRevFluids.9.L082601&partnerID=40&md5=54c82938932a318e066c1625da0efcbe","American Physical Society"
"Avsarkisov V.; Oberlack M.; Hoyas S.","Avsarkisov, V. (35078236200); Oberlack, M. (6603567719); Hoyas, S. (6508374001)","35078236200; 6603567719; 6508374001","Erratum: New scaling laws for turbulent Poiseuille flow with wall transpiration (J. Fluid Mech. (2014) 746 (99-122) DOI: 10.1017/jfm.2014.98)","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101085849&doi=10.1017%2fjfm.2020.1174&partnerID=40&md5=7cadf43cb2661100469eab40cc2b4102","Cambridge University Press"
"Atzori M.; Torres P.; Vidal A.; Le Clainche S.; Hoyas S.; Vinuesa R.","Atzori, Marco (57201772140); Torres, Pablo (57223843952); Vidal, Alvaro (57196442734); Le Clainche, Soledad (55466824600); Hoyas, Sergio (6508374001); Vinuesa, Ricardo (55553485100)","57201772140; 57223843952; 57196442734; 55466824600; 6508374001; 55553485100","High-resolution simulations of a turbulent boundary layer impacting two obstacles in tandem","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163934784&doi=10.1103%2fPhysRevFluids.8.063801&partnerID=40&md5=9716e3dd2163671e1cedf67e20840a29","American Physical Society"
"Hoyas S.; Gil A.; Fajardo P.; Pérez-Quiles M.J.","Hoyas, Sergio (6508374001); Gil, Antonio (10641418800); Fajardo, Pablo (24449439900); Pérez-Quiles, María J. (37043796100)","6508374001; 10641418800; 24449439900; 37043796100","Codimension-three bifurcations in a Bénard-Marangoni problem","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881123073&doi=10.1103%2fPhysRevE.88.015001&partnerID=40&md5=19b42efe75930c9bf6631007ba2d1739",""
"Escartí-Guillem M.S.; García-Raffi L.M.; Hoyas S.","Escartí-Guillem, Mara S. (57211960009); García-Raffi, Luis M. (6602406968); Hoyas, Sergio (6508374001)","57211960009; 6602406968; 6508374001","URANS Analysis of a Launch Vehicle Aero-Acoustic Environment","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127546790&doi=10.3390%2fapp12073356&partnerID=40&md5=f585314aa6b7e16bb6af66706616fd77","MDPI"
"Oberlack M.; Hoyas S.; Kraheberger S.V.; Alcántara-Ávila F.; Laux J.","Oberlack, Martin (6603567719); Hoyas, Sergio (6508374001); Kraheberger, Stefanie V. (56350781300); Alcántara-Ávila, Francisco (57202981276); Laux, Jonathan (57419593100)","6603567719; 6508374001; 56350781300; 57202981276; 57419593100","Turbulence Statistics of Arbitrary Moments of Wall-Bounded Shear Flows: A Symmetry Approach","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123169827&doi=10.1103%2fPhysRevLett.128.024502&partnerID=40&md5=a22e1643da3e71bc7116cbdaeab08fa6","American Physical Society"
"Gandía-Barberá S.; Cremades A.; Vinuesa R.; Hoyas S.; Pérez-Quiles M.J.","Gandía-Barberá, Sergio (57201700442); Cremades, Andres (57222653442); Vinuesa, Ricardo (55553485100); Hoyas, Sergio (6508374001); Pérez-Quiles, María Jezabel (37043796100)","57201700442; 57222653442; 55553485100; 6508374001; 37043796100","Sequential and Parallel Algorithms to Compute Turbulent Coherent Structures","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208422607&doi=10.3390%2fmath12213325&partnerID=40&md5=bfb10ebec63540ea598f1ff62ae16bba","Multidisciplinary Digital Publishing Institute (MDPI)"
"Avsarkisov V.; Hoyas S.; Oberlack M.; García-Galache J.P.","Avsarkisov, V. (35078236200); Hoyas, S. (6508374001); Oberlack, M. (6603567719); García-Galache, J.P. (56260907200)","35078236200; 6508374001; 6603567719; 56260907200","Turbulent plane Couette flow at moderately high Reynolds number","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904045029&doi=10.1017%2fjfm.2014.323&partnerID=40&md5=919c6738e8000521df93131b5cda3ea4","Cambridge University Press"
"López-Núñez E.; Fajardo P.; Hoyas S.; Pérez-Quiles M.J.","López-Núñez, Elena (57210734623); Fajardo, Pablo (24449439900); Hoyas, Sergio (6508374001); Pérez-Quiles, María Jezabel (37043796100)","57210734623; 24449439900; 6508374001; 37043796100","Horizontal gradient effects on the flow stability in a cylindrical container in a Bèrnard–Marangoni problem","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207599650&doi=10.1016%2fj.physd.2024.134414&partnerID=40&md5=57090f760bf7b83db36d874036713db7","Elsevier B.V."
