"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Jiménez-Munguía R.R.; Galán V.J.; Martínez-Giménez F.; Peris A.","Jiménez-Munguía, Ronald R. (55765657100); Galán, Víctor J. (56736555300); Martínez-Giménez, Félix (56595619300); Peris, Alfredo (7004199254)","55765657100; 56736555300; 56595619300; 7004199254","Chaos for linear fractional transformations of shifts","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953431775&doi=10.1016%2fj.topol.2015.12.077&partnerID=40&md5=cf9480044e458520195f295907271e55","Elsevier B.V."
"Bartoll S.; Martínez-Giménez F.; Peris A.","Bartoll, Salud (55180608800); Martínez-Giménez, Félix (56595619300); Peris, Alfredo (7004199254)","55180608800; 56595619300; 7004199254","The specification property for backward shifts","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859592109&doi=10.1080%2f10236198.2011.586636&partnerID=40&md5=8f91448f78780ff16c117ba7c3b423c4",""
"Martínez-Giménez F.; Oprocha P.; Peris A.","Martínez-Giménez, Félix (56595619300); Oprocha, Piotr (14040447800); Peris, Alfredo (7004199254)","56595619300; 14040447800; 7004199254","Distributional chaos for backward shifts","2009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-56749105747&doi=10.1016%2fj.jmaa.2008.10.049&partnerID=40&md5=f34d8e8341616fc0973b890412f114cb",""
"Conejero J.A.; Martínez-Giménez F.","Conejero, J. Alberto (57219968950); Martínez-Giménez, Félix (56595619300)","57219968950; 56595619300","Chaotic differential operators","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961048678&doi=10.1007%2fs13398-011-0026-6&partnerID=40&md5=b2988bc17c25678b2ea7b524de561734","Springer-Verlag Italia s.r.l."
"Bermúdez T.; Bonilla A.; Martínez-Giménez F.; Peris A.","Bermúdez, T. (56254411900); Bonilla, A. (7003930694); Martínez-Giménez, F. (56595619300); Peris, A. (7004199254)","56254411900; 7003930694; 56595619300; 7004199254","Li-Yorke and distributionally chaotic operators","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956183761&doi=10.1016%2fj.jmaa.2010.06.011&partnerID=40&md5=2ef86a1193df11fc5aa45b8bc8ddca01",""
"Galán V.; Martínez-Giménez F.; Oprocha P.; Peris A.","Galán, Víctor J. (56736555300); Martínez-Giménez, Félix (56595619300); Oprocha, Piotr (14040447800); Peris, Alfred (7004199254)","56736555300; 56595619300; 14040447800; 7004199254","Product recurrence for weighted backward shifts","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937888405&doi=10.12785%2famis%2f090518&partnerID=40&md5=682914d2b840e21ca6f15550b41f6b7d","Natural Sciences Publishing Co."
"Bonet J.; Martínez-Giménez F.; Peris A.","Bonet, José (35576983700); Martínez-Giménez, Félix (56595619300); Peris, Alfredo (7004199254)","35576983700; 56595619300; 7004199254","Universal and chaotic multipliers on spaces of operators","2004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4444297540&doi=10.1016%2fj.jmaa.2004.03.073&partnerID=40&md5=11b59cb7b23b1a24a7a2abf07d8d1ba3",""
"Bonet J.; Martínez-Giménezt F.; Peris A.","Bonet, J. (35576983700); Martínez-Giménezt, F. (56595619300); Peris, A. (7004199254)","35576983700; 56595619300; 7004199254","Linear chaos on Fréchet spaces","2003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141789673&doi=10.1142%2fS0218127403007497&partnerID=40&md5=a0e8870b4a04a0daacb06b1aeb0b6d6a","World Scientific Publishing Co. Pte Ltd"
"Martínez-Giménez F.; Peris A.; Rodenas F.","Martínez-Giménez, Félix (56595619300); Peris, Alfred (7004199254); Rodenas, Francisco (6602421280)","56595619300; 7004199254; 6602421280","Chaos on fuzzy dynamical systems","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117454908&doi=10.3390%2fmath9202629&partnerID=40&md5=b4310663c08d7de761365d0c19d8c6b5","MDPI"
"Bartoll S.; Martínez-Giménez F.; Peris A.; Rodenas F.","Bartoll, S. (55180608800); Martínez-Giménez, F. (56595619300); Peris, A. (7004199254); Rodenas, F. (6602421280)","55180608800; 56595619300; 7004199254; 6602421280","The Specification Property for C -Semigroups","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065726678&doi=10.1007%2fs00009-019-1353-7&partnerID=40&md5=f961cb6052b0ff0f7e9167a491cf54f1","Birkhauser Verlag AG"
"Martínez-Giménez F.; Oprocha P.; Peris A.","Martínez-Giménez, Félix (56595619300); Oprocha, Piotr (14040447800); Peris, Alfredo (7004199254)","56595619300; 14040447800; 7004199254","Distributional chaos for operators with full scrambled sets","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877751566&doi=10.1007%2fs00209-012-1087-8&partnerID=40&md5=489bc93e1c4834b5d60214c5c57036b3",""
"Martínez-Giménez F.; Pérez E.A.S.","Martínez-Giménez, Félix (56595619300); Pérez, E.A. Sánchez (6603585596)","56595619300; 6603585596","Vector measure range duality and factorizations of (D, p)-summing operators from Banach function spaces","2004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2942584866&doi=10.1007%2fs00574-004-0003-1&partnerID=40&md5=9bb516d2891feedbae990bd40118c31d",""
"Gilmore C.; Martínez-Giménez F.; Peris A.","Gilmore, Clifford (57191916155); Martínez-Giménez, Félix (56595619300); Peris, Alfred (7004199254)","57191916155; 56595619300; 7004199254","RATE OF GROWTH OF DISTRIBUTIONALLY CHAOTIC FUNCTIONS","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128596414&doi=10.7153%2fmia-2022-25-10&partnerID=40&md5=4f90b7d379d6b6284539f79f02380c98","Element D.O.O."
"Antonino-Daviu J.A.; Martínez-Giménez F.; Peris A.; Ramezanzadeh N.; Rodenas F.","Antonino-Daviu, Jose Alfonso (14420953500); Martínez-Giménez, Félix (56595619300); Peris, Alfred (7004199254); Ramezanzadeh, Nasrin (58983856200); Rodenas, Francisco (6602421280)","14420953500; 56595619300; 7004199254; 58983856200; 6602421280","Accurate Criteria for Broken Bar Detection in Induction Motors Based on the Wavelet (Packet) Transform","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190249722&doi=10.3390%2fmath12071057&partnerID=40&md5=84501d902cd182f0df91f6b6b98e54ca","Multidisciplinary Digital Publishing Institute (MDPI)"
"Bartoll S.; Martínez-Giménez F.; Murillo-Arcila M.; Peris A.","Bartoll, Salud (55180608800); Martínez-Giménez, Félix (56595619300); Murillo-Arcila, Marina (55356253000); Peris, Alfredo (7004199254)","55180608800; 56595619300; 55356253000; 7004199254","Cantor sets, bernoulli shifts and linear dynamics","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927800306&doi=10.1007%2f978-3-319-05224-3_10&partnerID=40&md5=0b3ef6fcec800d39b0f048e519bd47e8","Springer New York LLC"
"Abu-Saris R.M.; Martínez-Giménez F.; Peris A.","Abu-Saris, Raghib M. (6602877125); Martínez-Giménez, Félix (56595619300); Peris, Alfredo (7004199254)","6602877125; 56595619300; 7004199254","Erratum to ""Uniform convergence and chaotic behavior"" [Nonlinear Anal. TMA 65 (4) (2006) 933-937] (DOI:10.1016/j.na.2005.04.056)","2008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-68049129439&doi=10.1016%2fj.na.2007.09.036&partnerID=40&md5=a9a5082e8124b0a7787ef559cb329d4f",""
