"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Conejero J.A.; Lizama C.; Rodenas F.","Conejero, J. Alberto (57219968950); Lizama, Carlos (56036759500); Rodenas, Francisco (6602421280)","57219968950; 56036759500; 6602421280","Dynamics of the solutions of the water hammer equations","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962159654&doi=10.1016%2fj.topol.2015.12.076&partnerID=40&md5=0fcf3d278d6f39e46adc422914094d82","Elsevier B.V."
"Mayo P.; Rodenas F.; Ginestar D.; Verdú G.","Mayo, P. (7006925548); Rodenas, F. (6602421280); Ginestar, D. (6701547781); Verdú, G. (7004736632)","7006925548; 6602421280; 6701547781; 7004736632","Nonlinear diffusion, negentropy and restoration of mammographie images","2005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846914478&partnerID=40&md5=81c8c06862afa73f87b3b0f73828e996",""
"de Azcárraga J.A.; Kulish P.P.; Rodenas F.","de Azcárraga, J.A. (7003501949); Kulish, P.P. (7003915614); Rodenas, F. (6602421280)","7003501949; 7003915614; 6602421280","Non-commutative geometry and covariance: From the quantum plane to quantum tensors","1994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-21844491520&doi=10.1007%2fBF01690450&partnerID=40&md5=af5a4a28254a0f41873931e686562ef9","Kluwer Academic Publishers"
"De Azcárraga J.A.; Kulish P.P.; Rodenas F.","De Azcárraga, J.A. (7003501949); Kulish, P.P. (7003915614); Rodenas, F. (6602421280)","7003501949; 7003915614; 6602421280","Twisted h-spacetimes and invariant equations","1997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0009106564&doi=10.1007%2fs002880050579&partnerID=40&md5=2d338f56f5cdd24da359e70d5f589b1b","Springer Verlag"
"Sánchez M.G.; Juste B.; Vidal V.; Verdú G.; Mayo P.; Rodenas F.","Sánchez, M.G. (55516088300); Juste, B. (55904545200); Vidal, V. (7006001351); Verdú, G. (7004736632); Mayo, P. (7006925548); Rodenas, F. (6602421280)","55516088300; 55904545200; 7006001351; 7004736632; 7006925548; 6602421280","Dose reduction using non lineal diffusion and smoothing filters in computed radiography","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889590388&doi=10.1016%2fj.radphyschem.2013.03.017&partnerID=40&md5=c720ca9b881f5908dc6a54f0e5ca70ca",""
"Mayo P.; Rodenas F.; Verdu G.; Villaescusa J.I.; Campayo J.M.","Mayo, P. (7006925548); Rodenas, F. (6602421280); Verdu, G. (7004736632); Villaescusa, J.I. (6602631616); Campayo, J.M. (8686784100)","7006925548; 6602421280; 7004736632; 6602631616; 8686784100","Evaluation of the index quality image analysing microcalcifications in digitized mammographic images","2003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942432437&doi=10.1109%2fITAB.2003.1222529&partnerID=40&md5=d45bcbb8faa33d538cee5c11c0d5bc13","Institute of Electrical and Electronics Engineers Inc."
"de Azcárraga J.A.; Kulish P.P.; Rodenas F.","de Azcárraga, J.A (7003501949); Kulish, P.P (7003915614); Rodenas, F (6602421280)","7003501949; 7003915614; 6602421280","On the physical contents of q-deformed Minkowski spaces","1995","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001593469&doi=10.1016%2f0370-2693%2895%2900359-S&partnerID=40&md5=e5b425c8ccdbd11fb0b1b6ecb7e743b7",""
"Rodenas F.","Rodenas, F. (6602421280)","6602421280","h-deformed Lorentz relativistic invariant equations","1998","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032260977&doi=10.1023%2fA%3a1021497523776&partnerID=40&md5=586e452ffb892396770b8d1d40697bb4","Czech Academy of Sciences"
"Sanchez M.G.; Juste B.; Vidal V.; Verdu G.; Mayo P.; Rodenas F.","Sanchez, Ma. Guadalupe (55516088300); Juste, Belen (55904545200); Vidal, Vicente (7006001351); Verdu, Gumersindo (7004736632); Mayo, Patricia (7006925548); Rodenas, Francisco (6602421280)","55516088300; 55904545200; 7006001351; 7004736632; 7006925548; 6602421280","Estimated radiation dose reduction using non-linear diffusion method in computed radiography","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881417172&doi=10.1109%2fEMBC.2012.6346226&partnerID=40&md5=2f949cce9a2272c2e50af32277c8850e",""
"Mayo P.; Rodenas F.; Verdú G.; Villaescusa J.I.; Campayo J.M.","Mayo, P. (7006925548); Rodenas, F. (6602421280); Verdú, G. (7004736632); Villaescusa, J.I. (6602631616); Campayo, J.M. (8686784100)","7006925548; 6602421280; 7004736632; 6602631616; 8686784100","A comparative study of computer assisted assessment of image quality index for mammographic phantom images","2005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-31544464961&doi=10.1093%2frpd%2fnci222&partnerID=40&md5=3498416f135f53acbef6b59e6bf9eaee",""
"Flores L.A.; Vidal V.; Mayo P.; Rodenas F.; Verdú G.","Flores, Liubov A. (54893417500); Vidal, Vicent (7006001351); Mayo, Patricia (7006925548); Rodenas, Francisco (6602421280); Verdú, Gumersindo (7004736632)","54893417500; 7006001351; 7006925548; 6602421280; 7004736632","Parallel CT image reconstruction based on GPUs","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889573776&doi=10.1016%2fj.radphyschem.2013.03.011&partnerID=40&md5=1a88313e06f6aec6fdd28727de95b0c9",""
"Martínez-Giménez F.; Peris A.; Rodenas F.","Martínez-Giménez, Félix (56595619300); Peris, Alfred (7004199254); Rodenas, Francisco (6602421280)","56595619300; 7004199254; 6602421280","Chaos on fuzzy dynamical systems","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117454908&doi=10.3390%2fmath9202629&partnerID=40&md5=b4310663c08d7de761365d0c19d8c6b5","MDPI"
"Bartoll S.; Martínez-Giménez F.; Peris A.; Rodenas F.","Bartoll, S. (55180608800); Martínez-Giménez, F. (56595619300); Peris, A. (7004199254); Rodenas, F. (6602421280)","55180608800; 56595619300; 7004199254; 6602421280","The Specification Property for C -Semigroups","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065726678&doi=10.1007%2fs00009-019-1353-7&partnerID=40&md5=f961cb6052b0ff0f7e9167a491cf54f1","Birkhauser Verlag AG"
"Mayo P.; Rodenas F.; Verdú G.","Mayo, P. (7006925548); Rodenas, F. (6602421280); Verdú, G. (7004736632)","7006925548; 6602421280; 7004736632","Comparing methods to denoise mammographic images","2004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-11044221454&partnerID=40&md5=305c1ce9d8b2dc311366f76f4f4af20b",""
"Antonino-Daviu J.A.; Martínez-Giménez F.; Peris A.; Ramezanzadeh N.; Rodenas F.","Antonino-Daviu, Jose Alfonso (14420953500); Martínez-Giménez, Félix (56595619300); Peris, Alfred (7004199254); Ramezanzadeh, Nasrin (58983856200); Rodenas, Francisco (6602421280)","14420953500; 56595619300; 7004199254; 58983856200; 6602421280","Accurate Criteria for Broken Bar Detection in Induction Motors Based on the Wavelet (Packet) Transform","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190249722&doi=10.3390%2fmath12071057&partnerID=40&md5=84501d902cd182f0df91f6b6b98e54ca","Multidisciplinary Digital Publishing Institute (MDPI)"
"Flores L.A.; Vidal V.; Mayo P.; Rodenas F.; Verdú G.","Flores, Liubov A. (54893417500); Vidal, Vicent (7006001351); Mayo, Patricia (7006925548); Rodenas, Francisco (6602421280); Verdú, Gumersindo (7004736632)","54893417500; 7006001351; 7006925548; 6602421280; 7004736632","CT image reconstruction based on GPUs","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896994236&doi=10.1016%2fj.procs.2013.05.308&partnerID=40&md5=6bcd7dbff962757ed98c3bb9de8b1c39","Elsevier B.V."
