"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Archetti C.; Corberán Á.; Plana I.; Sanchis J.M.; Speranza M.G.","Archetti, Claudia (6506478737); Corberán, Ángel (6602151261); Plana, Isaac (8574390900); Sanchis, José M. (20434770000); Speranza, M. Grazia (7103276665)","6506478737; 6602151261; 8574390900; 20434770000; 7103276665","A branch-and-cut algorithm for the Orienteering Arc Routing Problem","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941045905&doi=10.1016%2fj.cor.2015.08.003&partnerID=40&md5=87982656fe78e5f767dac59b10618c63","Elsevier Ltd"
"Corberán A.; Fernández E.; Franquesa C.; Sanchis J.M.","Corberán, Ángel (6602151261); Fernández, Elena (8977525900); Franquesa, Carles (35174480700); Sanchis, José María (20434770000)","6602151261; 8977525900; 35174480700; 20434770000","The windy clustered prize-collecting arc-routing problem","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051941722&doi=10.1287%2ftrsc.1110.0370&partnerID=40&md5=00f922edf3199dab2f3749bb14ac0244","INFORMS Inst.for Operations Res.and the Management Sciences"
"Campbell J.F.; Corberán Á.; Plana I.; Sanchis J.M.","Campbell, James F. (25123472800); Corberán, Ángel (6602151261); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","25123472800; 6602151261; 8574390900; 20434770000","Drone arc routing problems","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055518553&doi=10.1002%2fnet.21858&partnerID=40&md5=f5b7b20c3dc507897fdcf7d986877a0a","Wiley-Liss Inc."
"Corberán A.; Letchford A.N.; Sanchis J.M.","Corberán, Angel (6602151261); Letchford, Adam N. (6701731165); Sanchis, José María (20434770000)","6602151261; 6701731165; 20434770000","A cutting plane algorithm for the General Routing Problem","2001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4243433639&doi=10.1007%2fpl00011426&partnerID=40&md5=7603596401771220c77e0c068191143e","Elsevier"
"Corberán Á.; Plana I.; Reula M.; Sanchis J.M.","Corberán, Ángel (6602151261); Plana, Isaac (8574390900); Reula, Miguel (57207842302); Sanchis, José M. (20434770000)","6602151261; 8574390900; 57207842302; 20434770000","On the Distance-Constrained Close Enough Arc Routing Problem","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091490923&doi=10.1016%2fj.ejor.2020.09.012&partnerID=40&md5=eb0a9f734974188b84f141b5c3745e83","Elsevier B.V."
"Colombi M.; Corberán Á.; Mansini R.; Plana I.; Sanchis J.M.","Colombi, Marco (56166931600); Corberán, Ángel (6602151261); Mansini, Renata (6603555991); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","56166931600; 6602151261; 6603555991; 8574390900; 20434770000","The directed profitable rural postman problem with incompatibility constraints","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013866392&doi=10.1016%2fj.ejor.2017.02.002&partnerID=40&md5=2382d0ee110a9f9eafd3e74a134e0d41","Elsevier B.V."
"Bianchessi N.; Corberán Á.; Plana I.; Reula M.; Sanchis J.M.","Bianchessi, Nicola (14061905100); Corberán, Ángel (6602151261); Plana, Isaac (8574390900); Reula, Miguel (57207842302); Sanchis, José M. (20434770000)","14061905100; 6602151261; 8574390900; 57207842302; 20434770000","The Profitable Close-Enough Arc Routing Problem","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121139046&doi=10.1016%2fj.cor.2021.105653&partnerID=40&md5=15ec98aa3305219f300439fd45ef38c0","Elsevier Ltd"
"Colombi M.; Corberán Á.; Mansini R.; Plana I.; Sanchis J.M.","Colombi, Marco (56166931600); Corberán, Ángel (6602151261); Mansini, Renata (6603555991); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","56166931600; 6602151261; 6603555991; 8574390900; 20434770000","The Hierarchical Mixed Rural Postman Problem: Polyhedral analysis and a branch-and-cut algorithm","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992445385&doi=10.1016%2fj.ejor.2016.07.026&partnerID=40&md5=f1bfe1d042501b0c9dbba33f98b174ac","Elsevier B.V."
"Campbell J.; Corberán Á.; Plana I.; Sanchis J.M.; Segura P.","Campbell, James (25123472800); Corberán, Ángel (6602151261); Plana, Isaac (8574390900); Sanchis, José M. (20434770000); Segura, Paula (57219941447)","25123472800; 6602151261; 8574390900; 20434770000; 57219941447","The multi-purpose K-drones general routing problem","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165451782&doi=10.1002%2fnet.22176&partnerID=40&md5=4689edf396976e63d96711fdcdde7ea7","John Wiley and Sons Inc"
"Corberán Á.; Eglese R.; Hasle G.; Plana I.; Sanchis J.M.","Corberán, Ángel (6602151261); Eglese, Richard (6602809746); Hasle, Geir (57191255591); Plana, Isaac (8574390900); Sanchis, José María (20434770000)","6602151261; 6602809746; 57191255591; 8574390900; 20434770000","Arc routing problems: A review of the past, present, and future","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087204749&doi=10.1002%2fnet.21965&partnerID=40&md5=b97e386b3aa3decc5121da38a754c958","Wiley-Liss Inc."
"Benavent E.; Corberán A.; Piñana E.; Plana I.; Sanchis J.M.","Benavent, Enrique (6602990935); Corberán, Angel (6602151261); Piñana, Estefanía (8574390800); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","6602990935; 6602151261; 8574390800; 8574390900; 20434770000","New heuristic algorithms for the windy rural postman problem","2005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-19944369835&doi=10.1016%2fj.cor.2004.04.007&partnerID=40&md5=7009feb4fdf4cadc4572156407d7a2f6",""
"Corberán A.; Plana I.; Sanchis J.M.","Corberán, Angel (6602151261); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","6602151261; 8574390900; 20434770000","Zigzag inequalities: A new class of facet-inducing inequalities for Arc Routing Problems","2006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646725763&doi=10.1007%2fs10107-005-0643-y&partnerID=40&md5=1cb78ce0bc7fbc466c33fb25a334eb16",""
"Benavent E.; Corberán A.; Plana I.; Sanchis J.M.","Benavent, Enrique (6602990935); Corberán, Angel (6602151261); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","6602990935; 6602151261; 8574390900; 20434770000","Min-Max K-vehicles windy rural postman problem","2009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-71949111058&doi=10.1002%2fnet.20334&partnerID=40&md5=5d730f5d6cb7175446afa0661a9ad490",""
"Corberán A.; Oswald M.; Plana I.; Reinelt G.; Sanchis J.M.","Corberán, Angel (6602151261); Oswald, Marcus (8930637100); Plana, Isaac (8574390900); Reinelt, Gerhard (6603854563); Sanchis, José M. (20434770000)","6602151261; 8930637100; 8574390900; 6603854563; 20434770000","New results on the Windy Postman Problem","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858437569&doi=10.1007%2fs10107-010-0399-x&partnerID=40&md5=39f6530afd9a96b342ad3d5aa70a40cf",""
"Avila T.; Corberán A.; Plana I.; Sanchis J.M.","Avila, Thais (55154337900); Corberán, Angel (6602151261); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","55154337900; 6602151261; 8574390900; 20434770000","A new branch-and-cut algorithm for the generalized directed rural postman problem","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968919070&doi=10.1287%2ftrsc.2015.0588&partnerID=40&md5=c13a9e707a780c53f0dc61a2fb12c811","INFORMS Inst.for Operations Res.and the Management Sciences"
"Corberán A.; Romero A.; Sanchis J.M.","Corberán, A. (6602151261); Romero, A. (55437161300); Sanchis, J.M. (20434770000)","6602151261; 55437161300; 20434770000","The mixed general routing polyhedron","2003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-18744380539&doi=10.1007%2fs10107-003-0391-9&partnerID=40&md5=940a2b61e27bbe621412720d689921d5",""
"Corberán A.; Mota E.; Sanchis J.M.","Corberán, Angel (6602151261); Mota, Enrique (7005338061); Sanchis, José M. (20434770000)","6602151261; 7005338061; 20434770000","A comparison of two different formulations for arc routing problems on mixed graphs","2006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645137042&doi=10.1016%2fj.cor.2005.02.010&partnerID=40&md5=1de185e841f62d075b9325f7c1268317",""
"Archetti C.; Corberán Á.; Plana I.; Sanchis J.M.; Speranza M.G.","Archetti, Claudia (6506478737); Corberán, Ángel (6602151261); Plana, Isaac (8574390900); Sanchis, José Maria (20434770000); Speranza, M. Grazia (7103276665)","6506478737; 6602151261; 8574390900; 20434770000; 7103276665","A matheuristic for the Team Orienteering Arc Routing Problem","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933278610&doi=10.1016%2fj.ejor.2015.03.022&partnerID=40&md5=f386c737abe1d139c9985ce4a28a5a44","Elsevier B.V."
"de Cordoba P.Fernandez; Raffi L.M.Garcia; Sanchis J.M.; Ferrando A.","de Cordoba, P.Fernandez (6603569996); Raffi, L.M.Garcia (6602559185); Sanchis, J.M. (20434770000); Ferrando, A. (35894635000)","6603569996; 6602559185; 20434770000; 35894635000","Routing problems revisited: Path integral formalism and Monte Carlo methods","1999","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033185596&doi=10.1016%2fs0010-4655%2806%2970039-x&partnerID=40&md5=ab38437bc2082dfee4e0512213bbfa83","Elsevier Science Publishers B.V."
"Archetti C.; Speranza M.G.; Corberán Á.; Sanchis J.M.; Plana I.","Archetti, Claudia (6506478737); Speranza, M. Grazia (7103276665); Corberán, Ángel (6602151261); Sanchis, José M. (20434770000); Plana, Isaac (8574390900)","6506478737; 7103276665; 6602151261; 20434770000; 8574390900","The team orienteering arc routing problem","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907743896&doi=10.1287%2ftrsc.2013.0484&partnerID=40&md5=a3abb76eb0d4cdd1d41c241d390beb88","INFORMS Inst.for Operations Res.and the Management Sciences"
"Benavent E.; Corberán A.; Plana I.; Sanchis J.M.","Benavent, Enrique (6602990935); Corberán, Angel (6602151261); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","6602990935; 6602151261; 8574390900; 20434770000","New facets and an enhanced branch-and-cut for the min-max K-vehicles windy rural postman problem","2011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80755168392&doi=10.1002%2fnet.20469&partnerID=40&md5=23cf9a17b0b2649f9afccaff8c4e80a4",""
"Ávila T.; Corberán A.; Plana I.; Sanchis J.M.","Ávila, Thais (55154337900); Corberán, Ángel (6602151261); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","55154337900; 6602151261; 8574390900; 20434770000","The stacker crane problem and the directed general routing problem","2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921365683&doi=10.1002%2fnet.21591&partnerID=40&md5=c7a7610891adc332ab4d1543a0e34a65","Wiley-Liss Inc."
"Corberán A.; Plana I.; Sanchis J.M.","Corberán, Angel (6602151261); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","6602151261; 8574390900; 20434770000","A branch & cut algorithm for the windy general routing problem and special cases","2007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548223578&doi=10.1002%2fnet.20176&partnerID=40&md5=f55f1c33cef7b209f8706b81adae4ff7",""
"Corberán T.; Plana I.; Sanchis J.M.","Corberán, Teresa (57222222942); Plana, Isaac (8574390900); Sanchis, José María (20434770000)","57222222942; 8574390900; 20434770000","The min max multi-trip drone location arc routing problem","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208759207&doi=10.1016%2fj.cor.2024.106894&partnerID=40&md5=d73a66cd9fd7f091f4c8ac26614a92ba","Elsevier Ltd"
"Corberán Á.; Plana I.; Sanchis J.M.; Segura P.","Corberán, Ángel (6602151261); Plana, Isaac (8574390900); Sanchis, José M. (20434770000); Segura, Paula (57219941447)","6602151261; 8574390900; 20434770000; 57219941447","Theoretical and computational analysis of a new formulation for the Rural Postman Problem and the General Routing Problem","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177856913&doi=10.1016%2fj.cor.2023.106482&partnerID=40&md5=64941af3d0594cb56169292f1f18fcd4","Elsevier Ltd"
"Corberán T.; Plana I.; Sanchis J.M.; Segura P.","Corberán, Teresa (57222222942); Plana, Isaac (8574390900); Sanchis, José M. (20434770000); Segura, Paula (57219941447)","57222222942; 8574390900; 20434770000; 57219941447","The multidepot drone general routing problem with duration and capacity constraints","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188462265&doi=10.1111%2fitor.13457&partnerID=40&md5=13d6a5c5369333982e61c6f0b1a9b60b","John Wiley and Sons Inc"
"Benavent E.; Corberán A.; Desaulniers G.; Lessard F.; Plana I.; Sanchis J.M.","Benavent, Enrique (6602990935); Corberán, Ángel (6602151261); Desaulniers, Guy (6603948814); Lessard, François (24458013200); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","6602990935; 6602151261; 6603948814; 24458013200; 8574390900; 20434770000","A branch-price-and-cut algorithm for the min-max k-vehicle windy rural postman problem","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890123439&doi=10.1002%2fnet.21520&partnerID=40&md5=3a1d1f49f3eb16d3ea5594153d9e7992",""
"Corberán A.; Plana I.; Sanchis J.M.","Corberán, Angel (6602151261); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","6602151261; 8574390900; 20434770000","The windy general routing polyhedron: A global view of many known arc routing polyhedra","2008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649599118&doi=10.1137%2f050640886&partnerID=40&md5=2c526f5a0cd23456b35db4899d0e2210",""
"Campbell J.F.; Corberán Á.; Plana I.; Sanchis J.M.; Segura P.","Campbell, James F. (25123472800); Corberán, Ángel (6602151261); Plana, Isaac (8574390900); Sanchis, José M. (20434770000); Segura, Paula (57219941447)","25123472800; 6602151261; 8574390900; 20434770000; 57219941447","Solving the length constrained K-drones rural postman problem","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096173778&doi=10.1016%2fj.ejor.2020.10.035&partnerID=40&md5=fa5c885765a5ab70ad5463c070acc2da","Elsevier B.V."
"Corberán A.; Martí R.; Sanchis J.M.","Corberán, A. (6602151261); Martí, R. (7103137289); Sanchis, J.M. (20434770000)","6602151261; 7103137289; 20434770000","A GRASP heuristic for the mixed Chinese postman problem","2002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036793630&doi=10.1016%2fS0377-2217%2801%2900296-X&partnerID=40&md5=413cb2149260b2e196d362713a1ab45f",""
"Corberán A.; Erdogan G.; Laporte G.; Plana I.; Sanchis J.M.","Corberán, A. (6602151261); Erdogan, Gönes (14519209700); Laporte, Gilbert (7101734278); Plana, Isaac (8574390900); Sanchis, José M. (20434770000)","6602151261; 14519209700; 7101734278; 8574390900; 20434770000","The Chinese postman problem with load-dependent costs","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045515020&doi=10.1287%2ftrsc.2017.0774&partnerID=40&md5=375b4895fac1a5e4d58c8acbf2b4a308","INFORMS Inst.for Operations Res.and the Management Sciences"
"Corberán A.; Mejía G.; Sanchis J.M.","Corberán, Angel (6602151261); Mejía, Gustave (8375584900); Sanchis, José M. (20434770000)","6602151261; 8375584900; 20434770000","New results on the mixed general routing problem","2005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-18744397561&doi=10.1287%2fopre.1040.0168&partnerID=40&md5=9d05b9901f9b146e79c6b44d9078d48f",""
"Albiach J.; Sanchis J.M.; Soler D.","Albiach, José (23977792400); Sanchis, José María (20434770000); Soler, David (35868783000)","23977792400; 20434770000; 35868783000","An asymmetric TSP with time windows and with time-dependent travel times and costs: An exact solution through a graph transformation","2008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-40849094266&doi=10.1016%2fj.ejor.2006.09.099&partnerID=40&md5=4aa03a832553e2671a2acdfbc55b9941",""
