"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Romaguera S.; Tirado P.","Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","7004365128; 16426596600","The Meir-Keeler fixed point theorem for quasi-metric spaces and some consequences","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068046446&doi=10.3390%2fsym11060741&partnerID=40&md5=229f29a6a32b9f83ddc69569a39e9002","MDPI AG"
"Romaguera S.; Tirado P.","Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","7004365128; 16426596600","Presymmetric w-Distances on Metric Spaces","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183087911&doi=10.3390%2fmath12020305&partnerID=40&md5=f6b6e4208f920f5f362accb22ebb7225","Multidisciplinary Digital Publishing Institute (MDPI)"
"Romaguera S.; Schellekens M.P.; Tirado P.; Valero O.","Romaguera, S. (7004365128); Schellekens, M.P. (7003762432); Tirado, P. (16426596600); Valero, O. (55959555900)","7004365128; 7003762432; 16426596600; 55959555900","Contraction maps on complexity spaces and itexpoDC algorithms","2007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-71449094016&doi=10.1063%2f1.2836000&partnerID=40&md5=82f3c833e51034c7cd65e898c03cc100",""
"Romaguera S.; Sapena A.; Tirado P.","Romaguera, S. (7004365128); Sapena, A. (8373930200); Tirado, P. (16426596600)","7004365128; 8373930200; 16426596600","The Banach fixed point theorem in fuzzy quasi-metric spaces with application to the domain of words","2007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248344678&doi=10.1016%2fj.topol.2006.09.018&partnerID=40&md5=02c64b2e5aee8f539118ca4ff5c7a9e1","Elsevier"
"Romaguera S.; Tirado P.","Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","7004365128; 16426596600","The property of presymmetry for w-distances on quasi-metric spaces","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214024408&doi=10.2298%2fFIL2425937R&partnerID=40&md5=a82deb0a64df45fe1c8531e4ad884a6c","University of Nis"
"Romaguera S.; Tirado P.; Valero O.","Romaguera, S. (7004365128); Tirado, P. (16426596600); Valero, O. (55959555900)","7004365128; 16426596600; 55959555900","New results on the mathematical foundations of asymptotic complexity analysis of algorithms via complexity spaces","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865276852&doi=10.1080%2f00207160.2012.659246&partnerID=40&md5=3897b5ff73ecb26bab3598d1390ce2a0",""
"Romaguera S.; Tirado P.","Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","7004365128; 16426596600","α − ψ-Contractive Type Mappings on Quasi-Metric Spaces","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120831197&doi=10.2298%2fFIL2105649R&partnerID=40&md5=6db1bba463b49f6bcd3250948302fdb0","University of Nis"
"Romaguera S.; Tirado P.","Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","7004365128; 16426596600","Characterizing complete fuzzy metric spaces via fixed point results","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080126058&doi=10.3390%2fmath8020273&partnerID=40&md5=959ad14dd35a686a3ed82f6829c014a4","MDPI AG"
"Marín J.; Romaguera S.; Tirado P.","Marín, J. (7201368605); Romaguera, S. (7004365128); Tirado, P. (16426596600)","7201368605; 7004365128; 16426596600","Generalized contractive set-valued maps on complete preordered quasi-metric spaces","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874606145&doi=10.1155%2f2013%2f269246&partnerID=40&md5=71272b79cf56ddfb0ad26753d176af3b",""
"Castro-Company F.; Romaguera S.; Sánchez-Álvarez J.M.; Tirado P.","Castro-Company, F. (8916281600); Romaguera, S. (7004365128); Sánchez-Álvarez, J.M. (22836493500); Tirado, P. (16426596600)","8916281600; 7004365128; 22836493500; 16426596600","A Quasi-Metric lattice Approach for Access Prediction in Replicated Database Protocols","2008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890816950&doi=10.1063%2f1.3037036&partnerID=40&md5=9d38173865dc9edd54bddacb2824261b","American Institute of Physics Inc."
"Castro-Company F.; Tirado P.","Castro-Company, F. (55972406100); Tirado, P. (16426596600)","55972406100; 16426596600","On Yager and Hamacher t-norms and fuzzy metric spaces","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912020384&doi=10.1002%2fint.21688&partnerID=40&md5=a092386cb854aa3cdb2825fb57c7bbe7","John Wiley and Sons Ltd"
"Romaguera S.; Tirado P.; Valero O.","Romaguera, S. (7004365128); Tirado, P. (16426596600); Valero, O. (55959555900)","7004365128; 16426596600; 55959555900","Complete partial metric spaces have partially metrizable computational models","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856931501&doi=10.1080%2f00207160.2011.559229&partnerID=40&md5=9f700bd6eda39f8b62cf89daab6906f6",""
"Romaguera S.; Tirado P.","Romaguera, S. (7004365128); Tirado, P. (16426596600)","7004365128; 16426596600","Contraction Maps on Ifqm-spaces with Application to Recurrence Equations of Quicksort","2009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149313812&doi=10.1016%2fj.entcs.2008.12.080&partnerID=40&md5=a6b392ac744dfe5d1058f97d110d8f6d",""
"Romaguera S.; Tirado P.","Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","7004365128; 16426596600","GENERATING w-DISTANCES ON METRIC SPACES FROM A FUZZY APPROACH AND AN APPLICATION TO THE FIXED","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204073454&partnerID=40&md5=663ea32197353af1141cd95b1155a93a","Yokohama Publications"
"Romaguera S.; Tirado P.","Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","7004365128; 16426596600","Diffuse contraction functions and fixed-point methods applied to algorithmic complexity analysis; [Funciones de contracción difusa y métodos de punto fijo aplicados al análisis de la complejidad algorítmica]","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907031216&partnerID=40&md5=798581c350f3d3080701bc5792d8bb33","International Institute of Informatics and Systemics, IIIS"
"Tirado P.; Pulido M.","Tirado, P. (16426596600); Pulido, M. (6507259351)","16426596600; 6507259351","Application of wavelet analysis to generate a streamflow time series","2010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858405969&partnerID=40&md5=f3318480d49419a6f4c601f2698fcf5f",""
"Castro-Company F.; Tirado P.","Castro-Company, Francisco (55972406100); Tirado, Pedro (16426596600)","55972406100; 16426596600","The bicompletion of intuitionistic fuzzy quasi-metric spaces","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883097093&doi=10.1063%2f1.4756271&partnerID=40&md5=1279116603bc50c2e2041ee92822c627",""
"Romaguera S.; Tirado P.","Romaguera, Salvador (7004365128); Tirado, Pedro (16426596600)","7004365128; 16426596600","FIXED POINT THEOREMS THAT CHARACTERIZE COMPLETENESS OF G-METRIC SPACES","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144111459&partnerID=40&md5=6390ad05ebda446bcdb101cddb0c3aa1","Yokohama Publications"
