"title","journal","year","otros_investigadores"
"Easy attention: A simple self-attention mechanism for transformers","arXiv preprint arXiv:",2023,"M Sanchis-Agudo;Y Wang;K Duraisamy;R Vinuesa"
"Extension of semi-Lipschitz maps on non-subadditive quasi-metric spaces: New tools for Artificial Intelligence","Quaestiones Mathematicae",2024,"R Arnau;N Jonard-Pérez;EA Sánchez Pérez"
"Extension procedures for lattice Lipschitz operators on Euclidean spaces","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales. Serie …",2023,"R Arnau;JM Calabuig;E Erdoğan;EA Sánchez Pérez"
"Using neural networks and hierarchical cluster analysis to study goal kicks in football","International Journal of Sports Science & Coaching",2024,"AR Arnau Notari;JM Calabuig;C Catalan;LM Garcia Raffi;JM Pardo Gila;..."
"Lattice Lipschitz superposition operators on Banach function spaces","Journal of Mathematical Analysis and Applications",2025,"R Arnau;JM Calabuig;E Erdoğan;EAS Pérez"
"A Bellman–Ford Algorithm for the Path-Length-Weighted Distance in Graphs","Mathematics",2024,"R Arnau;JM Calabuig;LM García-Raffi;EA Sánchez Pérez;S Sanjuan"
"Approximation of almost diagonal non-linear maps by lattice Lipschitz operators","Bulletin of the Brazilian Mathematical Society, New Series",2024,"R Arnau;JM Calabuig;E Erdoğan;EA Sánchez Pérez"
"Lipschitz Transformations and maurey-type non-homogeneous integral inequalities for operators on banach function spaces","Mathematics",2023,"R Arnau;EA Sánchez-Pérez"
"Measure-Based Extension of Continuous Functions and p-Average-Slope-Minimizing Regression","Axioms",2023,"R Arnau;JM Calabuig;EA Sánchez Pérez"
"Representation of Lipschitz Maps and Metric Coordinate Systems","Mathematics",2022,"R Arnau;JM Calabuig;EA Sánchez Pérez"
"Mathematical Modeling and Machine Learning for Predicting Shade-Seeking Behavior in Cows Under Heat Stress","arXiv preprint arXiv:",2025,"S Sanjuan;DA Méndez;R Arnau;JM Calabuig;X Aguirre;F Estellés"
"Lattice Lipschitz operators on space","arXiv preprint arXiv:",2024,"R Arnau;JM Calabuig;EA Sánchez-Pérez"
"Eccentric p-Summing Lipschitz Operators and Integral Inequalities on Metric Spaces and Graphs","Axioms",2024,"R Arnau;EA Sánchez Pérez;S Sanjuan"
"Moduli of Continuity in Metric Models and Extension of Livability Indices","Axioms",2024,"R Arnau;JM Calabuig;Á González;EA Sánchez Pérez"
"Enseñanza del aprendizaje por refuerzo con un sencillo ejemplo de minimización de funciones","Editorial Universitat Politècnica de València",2023,"AR Arnau Notari;LM García Raffi;JM Calabuig Rodriguez;..."
"EXTENSION PROCEDURES FOR LATTICE LIPSCHITZ MAPPINGS","",NA,"R ARNAU;JM CALABUIG;E ERDOGAN;EAS PÉREZ"
