"title","journal","year","otros_investigadores"
"Generalized perfect spaces","Indagationes Mathematicae",2008,"JM Calabuig;O Delgado;EAS Pérez"
"Dreaming machine learning: Lipschitz extensions for reinforcement learning on financial markets","Neurocomputing",2020,"JM Calabuig;H Falciani;EA Sánchez-Pérez"
"Factorizing operators on Banach function spaces through spaces of multiplication operators","Journal of mathematical analysis and applications",2010,"JM Calabuig;O Delgado;EAS Pérez"
"On the Banach lattice structure of of a vector measure on a-ring","Collectanea Mathematica",2014,"JM Calabuig;O Delgado;MA Juan;EA Sánchez Pérez"
"Aprender como una máquina: introduciendo la Inteligencia Artificial en la enseñanza secundaria","Modelling in Science Education and Learning",2021,"JM Calabuig Rodriguez;LM García Raffi;EA Sánchez Pérez"
"Trabajar con datos abiertos en tiempos de pandemia: uso de covidDATA-19","El profesional de la información",2020,"SD Toro;M Isabel;JM Calabuig;A Ferrer Sapena;MF Peset Mancebo"
"Kaplan-Meier type survival curves for Covid-19: a health data based decision-making tool","Frontiers in public health",2021,"JM Calabuig;LM García-Raffi;A García-Valiente;EA Sánchez-Pérez"
"Compactness in L1 of a vector measure","Studia Mathematica",2014,"JM Calabuig Rodriguez;S Lajara;J Rodríguez Ruiz;EA Sánchez Pérez"
"On the Structure of L1 of a Vector Measure via its Integration Operator","Integral Equations and Operator Theory",2009,"JM Calabuig;J Rodríguez;EA Sánchez-Pérez"
"Radon–Nikodým derivatives for vector measures belonging to Köthe function spaces","Journal of mathematical analysis and applications",2008,"JM Calabuig;P Gregori;EAS Pérez"
"Gobierno abierto y acceso a la información: un estudio de caso sobre el impacto en la economía local","BiD: textos universitaris de biblioteconomia i documentació",2020,"A Ferrer Sapena;JM Calabuig;EA Sánchez Pérez;C Vidal-Cabo"
"Spaces of p-integrable functions with respect to a vector measure defined on a delta-ring","Operators and Matrices",2012,"JM Calabuig Rodriguez;MA Juan Blanco;EA Sánchez Pérez"
"Convolution-continuous bilinear operators acting on Hilbert spaces of integrable functions","",2018,"E Erdoğan;JM Calabuig;EA Sanchez Perez"
"Fourier Transform and Convolutions on L               p                of a Vector Measure on a Compact Hausdorff Abelian Group","Journal of Fourier Analysis and Applications",2013,"JM Calabuig;F Galaz-Fontes;EM Navarrete;EA Sánchez-Pérez"
"A bilinear version of Orlicz–Pettis theorem","Journal of mathematical analysis and applications",2008,"O Blasco;JM Calabuig;T Signes"
"On p-Dunford integrable functions with values in Banach spaces","Journal of Mathematical Analysis and Applications",2018,"JM Calabuig;J Rodríguez;P Rueda;EA Sánchez-Pérez"
"Multiplication operators in Köthe–Bochner spaces","Journal of mathematical analysis and applications",2011,"JM Calabuig;J Rodriguez;EA Sánchez-Pérez"
"Weak continuity of Riemann integrable functions in Lebesgue-Bochner spaces","Acta Mathematica Sinica, English Series",2010,"JM Calabuig;J Rodriguez;EA Sanchez-Perez"
