"title","journal","year","otros_investigadores"
"Finite line-source model for borehole heat exchangers: effect of vertical temperature variations","Geothermics",2009,"TV Bandos;Á Montero;E Fernández;JLG Santander;JM Isidro;J Pérez;..."
"Decay modes of sigma and lambda hypernuclei","Physics Reports",1990,"E Oset;PF de Cordoba;LL Salcedo;R Brockmann"
"Reconstruction and analysis of genome-scale metabolic model of a photosynthetic bacterium","BMC systems biology",2010,"A Montagud;E Navarro;P Fernandez de Cordoba;JF Urchueguía;..."
"Improving parameter estimates obtained from thermal response tests: Effect of ambient air temperature variations","Geothermics",2011,"TV Bandos;Á Montero;PF De Córdoba;JF Urchueguía"
"Spatial soliton formation in photonic crystal fibers","Optics Express",2003,"A Ferrando;M Zacarés;PF de Córdoba;D Binosi;JA Monsoriu"
"Vortex transmutation","Physical review letters",2005,"A Ferrando;M Zacarés;MÁ García-March;JA Monsoriu;PF de Córdoba"
"Semiphenomenological approach to nucleon properties in nuclear matter","Physical Review C",1992,"PF de Cordoba;E Oset"
"Vortex solitons in photonic crystal fibers","Optics express",2004,"A Ferrando;M Zacarés;PF de Córdoba;D Binosi;JA Monsoriu"
"Roper excitation in α-proton scattering","Physical Review C",1996,"S Hirenzaki;PF de Córdoba;E Oset"
"Flux coupling and transcriptional regulation within the metabolic network of the photosynthetic bacterium Synechocystis sp. PCC6803","Biotechnology journal",2011,"A Montagud;A Zelezniak;E Navarro;PF de Córdoba;JF Urchueguía;..."
"Mesonic and binding contributions to the EMC effect in a relativistic many-body approach","Nuclear Physics A",1996,"E Marco;E Oset;PF de Cordoba"
"Projectile delta excitation in alpha-proton scattering","Nuclear Physics A",1995,"PF de Cordoba;E Oset;MJ Vicente-Vacas;Y Ratis;J Nieves;..."
"Semiexplicit method for wall temperature linked equations (SEWTLE): a general finite-volume technique for the calculation of complex heat exchangers","Numerical Heat Transfer: Part B: Fundamentals",2001,"JM Corberán;PF de Córdoba;J Gonzálvez;F Alias"
"Coherent pion production in the (3He, t) reaction in nuclei","Physics Letters B",1993,"PF de Cordoba;J Nieves;E Oset;MJ Vicente-Vacas"
"Metabolic flux analysis of the hydrogen production potential in Synechocystis sp. PCC6803","international journal of hydrogen energy",2009,"E Navarro;A Montagud;PF De Córdoba;JF Urchueguía"
"Muon capture revisited","Nuclear Physics A",1990,"HC Chiang;E Oset;PF De Córdoba"
"Forward-backward equations for nonlinear propagation in axially invariant optical systems","Physical Review E—Statistical, Nonlinear, and Soft Matter Physics",2005,"A Ferrando;M Zacarés;P Fernández de Córdoba;D Binosi;Á Montero"
"Mathematical modelling and analytical solution for workpiece temperature in grinding","Applied Mathematical Modelling",2007,"DL Skuratov;YL Ratis;IA Selezneva;J Pérez;PF de Córdoba;..."
"Generation and Evaluation of a Genome-Scale Metabolic Network Model of Synechococcus elongatus PCC7942","Metabolites",2014,"J Triana;A Montagud;M Siurana;D Fuente;A Urchueguía;..."
"Higher-order spectral analysis of stray flux signals for faults detection in induction motors","Applied Mathematics and Nonlinear Sciences",2020,"MEI Martínez;JA Antonino-Daviu;PF de Córdoba;JA Conejero"
"Heat transfer analysis of intermittent grinding processes","International Journal of Heat and Mass Transfer",2008,"J Pérez;S Hoyas;DL Skuratov;YL Ratis;IA Selezneva;PF De Córdoba;..."
"Projectile and target delta excitation in the (3He, t) and (3He, 3He) reactions","Nuclear Physics A",1992,"PF de Córdoba;E Oset"
"Water content–water activity–glass transition temperature relationships of spray-dried borojó as related to changes in color and mechanical properties","Food Biophysics",2011,"LH Mosquera;G Moraga;PF de Córdoba;N Martínez-Navarrete"
"A heuristic algorithm based on Monte Carlo methods for the rural postman problem","Computers & operations research",1998,"PF De Córdoba;LMG Raffi;JM Sanchis"
"Coherent pion production in neutrino nucleus collision in the 1 GeV region","Physical Review C",1997,"NG Kelkar;E Oset;PF de Cordoba"
"Detection of nonadjacent rotor faults in induction motors via spectral subtraction and autocorrelation of stray flux signals","IEEE Transactions on Industry Applications",2019,"ME Iglesias-Martínez;PF de Córdoba;JA Antonino-Daviu;JA Conejero"
"ExGUtils: A python package for statistical analysis with the ex-Gaussian probability density","Frontiers in Psychology",2018,"C Moret-Tatay;D Gamermann;E Navarro-Pardo;..."
"A Review on Mesonic Decay of Λ Hypernuclei","Progress of Theoretical Physics Supplement",1994,"E Oset;P Fernandez de Cordoba;J Nieves;A Ramos;LL Salcedo"
"Experimental and modeling analysis of Synechocystis sp. PCC 6803 growth","Journal of molecular microbiology and biotechnology",2012,"M Lopo;A Montagud;E Navarro;I Cunha;A Zille;PF De Córdoba;..."
"A transfer matrix method for the analysis of fractal quantum potentials","European journal of physics",2005,"JA Monsoriu;FR Villatoro;MJ Marín;JF Urchueguía;PF de Cordoba"
"An entropic picture of emergent quantum mechanics","International Journal of Geometric Methods in Modern Physics",2012,"D Acosta;P Fernandez de Cordoba;JM Isidro;JLG Santander"
"Deep inelastic lepton scattering in nuclei at x> 1 and the nucleon spectral function","Nuclear Physics A",1996,"PF de Cordoba;E Marco;H Müther;E Oset;A Faessler"
"Coherent pion production induced by protons and light ions","Nuclear Physics A",1995,"PF de Córdoba;E Oset;MJ Vicente-Vacas"
"The effect of corrective feedback on performance in basic cognitive tasks: an analysis of RT components","Psychologica Belgica",2016,"C Moret-Tatay;C Leth-Steensen;TQ Irigaray;IIL Argimon;D Gamermann;..."
"A real delivery problem dealt with Monte Carlo techniques","Top",2000,"PF de Córdoba;LM García-Raffi;A Mayado;JM Sanchis"
"Transport properties of strongly coupled plasmas","Physical Review E",1998,"IM Tkachenko;PF de Córdoba"
"On the recent claim of correlation between radioactive decay rates and space weather","The European Physical Journal C",2020,"S Pommé;K Pelczar"
"Emergent quantum mechanics as a classical, irreversible thermodynamics","International Journal of Geometric Methods in Modern Physics",2013,"D Acosta;P Fernández de Córdoba;JM Isidro;JLG Santander"
"Rotor fault detection in induction motors based on time-frequency analysis using the bispectrum and the autocovariance of stray flux signals","Energies",2019,"ME Iglesias-Martínez;JA Antonino-Daviu;P Fernandez de Cordoba;..."
"Quartic Kerr cavity combs: bright and dark solitons","Optics Letters",2022,"P Parra-Rivas;S Hetzel;YV Kartashov;PF de Córdoba;..."
" meson transparency in nuclei from  resonant interactions","Physical Review C",2017,"D Cabrera;AN Hiller Blin;MJ Vicente Vacas;P Fernández de Córdoba"
"The effects of age and emotional valence on recognition memory: An ex‐Gaussian components analysis","Scandinavian journal of psychology",2014,"C Moret‐Tatay;A Moreno‐Cid;IIL Argimon;T Quarti Irigaray;..."
"A code to calculate (high order) Bessel functions based on the continued fractions method","Computer physics communications",1993,"YL Ratis;PF de Córdoba"
"Automation on the generation of genome-scale metabolic models","Journal of Computational Biology",2012,"R Reyes;D Gamermann;A Montagud;D Fuente;J Triana;JF Urchueguia;..."
"Proton and light ion induced charge exchange reactions in nuclei","Physica Scripta",1993,"E Oset;PF de Córdoba;J Nieves;MJ Vicente-Vacas"
