"title","journal","year","otros_investigadores"
"Scientific literature analysis of Judo in Web of Science","Archives of budo",2013,"MF Peset Mancebo;A Ferrer Sapena;M Villamón Herrera;..."
"Open data y linked open data: Su impacto en el área de bibliotecas y documentación","El profesional de la información",2011,"F Peset;A Ferrer-Sapena;I Subirats-Coll"
"Acceso a los datos públicos y su reutilización: open data y open government","Profesional de la información",2011,"A Ferrer-Sapena;F Peset;R Aleixandre-Benavent"
"Open data, big data: ¿hacia dónde nos dirigimos?","",2012,"A Ferrer-Sapena;EA Sánchez-Pérez"
"Survival analysis of author keywords: An application to the library and information sciences area","Journal of the Association for Information Science and Technology",2020,"F Peset;F Garzón‐Farinós;LM González;X García‐Massó;..."
"Information management in healthcare and environment: Towards an automatic system for fake news detection","International journal of environmental research and public health",2020,"P Lara-Navarra;H Falciani;EA Sánchez-Pérez;A Ferrer-Sapena"
"Datos abiertos de investigación. Camino recorrido y cuestiones pendientes","Anales de documentación",2017,"F Peset;R Aleixandre-Benavent;Y Blasco-Gil;A Ferrer-Sapena"
"Compartir los recursos útiles para la investigación: datos abiertos (open data)","Educación Médica",2021,"R Aleixandre-Benavent;AF Sapena;F Peset"
"Correlation between impact factor and public availability of published research data in Information Science and Library Science journals","Scientometrics",2016,"R Aleixandre-Benavent;LM Moreno-Solano;A Ferrer Sapena;EAS Pérez"
"¿ Qué nos aportan las redes sociales?","Ediciones Profesionales de la Información SL",2010,"R Aleixandre Benavent;A Ferrer-Sapena"
"Guía metodológica para la implantación de una biblioteca digital universitaria","",2005,"N Lloret Romero;MT Moreno Núñez;F Peset Mancebo;A Ferrer Sapena"
"Web 2.0 en medicina y pediatría (y II)","Acta pediátrica española",2011,"S Coronado Ferrer;F Peset Mancebo;A Ferrer Sapena;..."
"Tema central: Redes sociales","El Profesional de la información",2008,"F PESET;A FERRER-SAPENA;T BAIGET"
"The Impact Factor as a measuring tool of the prestige of the journals in research assessment in mathematics","Research evaluation",2016,"A Ferrer-Sapena;EA Sánchez-Pérez;F Peset;LM González;..."
"Factores para la adopción de linked data e implantación de la web semántica en bibliotecas, archivos y museos","Information research",2013,"T Saorín;MF Peset Mancebo;A Ferrer Sapena"
"Informatización de la historia clínica en España","Profesional de la información",2010,"R Aleixandre-Benavent;A Ferrer-Sapena;F Peset"
"Research data sharing in Spain: Exploring determinants, practices, and perceptions","Data",2020,"R Aleixandre-Benavent;A Vidal-Infer;A Alonso-Arroyo;F Peset;..."
"Herramientas de análisis de datos bibliográficos y construcción de mapas de conocimiento: Bibexcel y Pajek","BiD. Textos Universitaris de Biblioteconomia i Documentació",2015,"A García-García;A Pardo-Ibáñez;A Ferrer Sapena;MF Peset Mancebo;..."
"Normalización de la información: la aportación de IraLIS","El Profesional de la Informacion",2007,"T Baiget;JM Rodríguez-Gairín;F Peset;I Subirats;A Ferrer Sapena"
