"title","journal","year","otros_investigadores"
"Nuevos métodos de valoración. Modelos Multicriterio","Editorial Universitat Politècnica de València",2012,"J Aznar Bellver;F Guijarro Martínez"
"Stock market trading rule based on pattern recognition and technical analysis: Forecasting the DJIA index with intraday data","Expert systems with Applications",2015,"R Cervelló-Royo;F Guijarro;K Michniuk"
"Designing a sustainable development goal index through a goal programming model: The Case of EU-28 Countries","Sustainability",2018,"F Guijarro;JA Poyatos"
"A dynamic trading rule based on filtered flag pattern recognition for stock market price forecasting","Expert Systems with Applications",2017,"R Arévalo;J García;F Guijarro;A Peris"
"Assessing the efficiency of public universities through DEA. A case study","Sustainability",2017,"D Visbal-Cadavid;M Martínez-Gómez;F Guijarro"
"Credit risk management: A multicriteria approach to assess creditworthiness","Mathematical and computer modelling",2013,"F García;V Giménez;F Guijarro"
"A goal programming approach to estimating performance weights for ranking firms","Computers & Operations Research",2010,"F García;F Guijarro;I Moya"
"Forecasting the environmental, social, and governance rating of firms by using corporate financial performance variables: A rough set approach","Sustainability",2020,"F García;J González-Bueno;F Guijarro;J Oliver"
"Mass appraisal of residential real estate using multilevel modelling","International Journal of Strategic Property Management",2016,"I Arribas;F García;F Guijarro;J Oliver;R Tamošiūnienė"
"Ranking Spanish savings banks: A multicriteria approach","Mathematical and computer modelling",2010,"F García;F Guijarro;I Moya"
"Index tracking optimization with cardinality constraint: a performance comparison of genetic algorithms and tabu search heuristics","Neural Computing and Applications",2018,"F García;F Guijarro;J Oliver"
"Hybrid fuzzy neural network to predict price direction in the German DAX-30 index","Technological and Economic Development of Economy",2018,"F García;F Guijarro;J Oliver;R Tamošiūnienė"
"Mixed valuation methods: a combined AHP-GP procedure for individual and group multicriteria agricultural valuation","Annals of Operations Research",2011,"J Aznar;F Guijarro;JM Moreno-Jiménez"
"Forecasting stock market trend: a comparison of machine learning algorithms","Finance, Markets and Valuation",2020,"R Cervelló Royo;F Guijarro"
"Liquidity risk and investors’ mood: Linking the financial market liquidity to sentiment analysis through Twitter in the S&P500 index","Sustainability",2019,"F Guijarro;I Moya-Clemente;J Saleemi"
"Multiobjective approach to portfolio optimization in the light of the credibility theory","Technological and Economic Development of Economy",2020,"F Garcia;J González-Bueno;F Guijarro;J Oliver;R Tamošiūnienė"
"Analysis of academic literature on environmental valuation","International journal of environmental research and public health",2020,"F Guijarro;P Tsinaslanidis"
"A model for sector restructuring through genetic algorithm and inverse DEA","Expert Systems with Applications",2020,"F Guijarro;M Martínez-Gómez;D Visbal-Cadavid"
"Measuring the social responsibility of European companies: a goal programming approach","International transactions in operational research",2019,"G García‐Martínez;F Guijarro;JA Poyatos"
"An ANP framework for property pricing combining quantitative and qualitative attributes","Journal of the Operational Research Society",2010,"J Aznar;J Ferrís-Oñate;F Guijarro"
"Modelling aesthetic variables in the valuation of paintings: an interval goal programming approach","Journal of the Operational Research Society",2007,"J Aznar;F Guijarro"
"Methodology to assess the market value of companies according to their financial and social responsibility aspects: An AHP approach","Journal of the Operational Research Society",2018,"T Gómez-Navarro;M García-Melón;F Guijarro;M Preuss"
"A multiobjective credibilistic portfolio selection model. Empirical study in the Latin American integrated market","Enterpreneurship and Sustainability Issues",2020,"F García García;J Gonzalez-Bueno;F Guijarro;J Oliver-Muncharaz"
"Estimating regression parameters with imprecise input data in an appraisal context","European Journal of Operational Research",2007,"J Aznar;F Guijarro"
"Metodos de valoracion basados en la programacion por metas; modelo de valoracion restringida","Revista española de estudios agrosociales y pesqueros",2004,"J Aznar Bellver;F Guijario Martinez"
"Social Performance considered within the global performance of Microfinance Institutions: A new approach","Operational Research",2019,"R Cervelló-Royo;F Guijarro;V Martinez-Gomez"
"Valoración inmobiliaria. Métodos y aplicaciones (España e Iberoamérica)","Colección Académica. Editorial UPV",2012,"J Aznar Bellver;R González Mora;F Guijarro Martínez;AA López Perales"
"A multiobjective model for passive portfolio management: an application on the S&P 100 index","Journal of Business Economics and Management",2013,"F García;F Guijarro;I Moya"
"Ranking the Performance of Universities: The Role of Sustainability","Sustainability",2021,"C Burmann;F García;F Guijarro;J Oliver"
"What makes trading strategies based on chart pattern recognition profitable?","Expert Systems",2021,"P Tsinaslanidis;F Guijarro"
"Market liquidity and its dimensions: Linking the Liquidity dimensions to sentiment analysis through microblogging data","Journal of Risk and Financial Management",2021,"F Guijarro;I Moya-Clemente;J Saleemi"
"Assessing the impact of road traffic externalities on residential price values: A case study in Madrid, Spain","International journal of environmental research and public health",2019,"F Guijarro"
"A multicriteria model for the assessment of countries’ environmental performance","International journal of environmental research and public health",2019,"F Guijarro"
"An Analytic Hierarchy Process (AHP) framework for property valuation to identify the ideal 2050 portfolio mixes in EU-27 countries with shrinking populations","Quality & Quantity",2016,"R Cervelló-Royo;F Guijarro;T Pfahler;M Preuss"
"Contabilidad de costes y toma de decisiones","Colección Académica. Editorial UPV",2014,"F Guijarro Martínez;F García García"
"The curvature of the tracking frontier: a new criterion for the partial index tracking problem","Mathematical and Computer Modelling",2011,"F García;F Guijarro;I Moya"
"Valoración agraria multicriterio en un entorno con escasa información","Estudios de Economía Aplicada",2007,"JA Bellver;FG Martínez;JMM Jiménez"
"Evaluating patent portfolios by means of multicriteria analysis","Revista de Contabilidad",2011,"X Wang;F García;F Guijarro;I Moya"
"Factores financieros clave en la reorganización del sector de las cajas rurales","CIRIEC-España, Revista de Economía Pública, Social y Cooperativa",2010,"FG García;FG Martínez;IM Clemente"
"A multicriteria goal programming model for ranking universities","Mathematics",2021,"F García;F Guijarro;J Oliver"
"A similarity measure for the cardinality constrained frontier in the mean–variance optimization model","Journal of the operational research society",2018,"F Guijarro"
"Propuesta metodológica para la selección de acciones en la réplica de índices.","Revista de economía financiera",2008,"F Guijarro;I Moya"
"Estimating returns and condicional volatility: a comparison between the ARMA-GARCH-M models and the backpropagation neural network","International Journal of Complex Systems in Science",2012,"F García García;F Guijarro Martínez;I Moya Clemente;..."
"La valoración de empresas agroalimentarias: una extensión de los modelos factoriales","Revista Española de Estudios Agrosociales y Pesqueros",2008,"F Garcia;FG Martinez;I Clemente"
"Monitoring credit risk in the social economy sector by means of a binary goal programming model","Service Business",2013,"F García;F Guijarro;I Moya"
"Default prediction of Spanish companies. A logistic analysis","Intellectual economics",2013,"C Bartual Sanfeliu;F García García;F Guijarro Martínez;I Moya Clemente"
"Crisis bursátil:¿ Es preferible una estrategia de gestión activa o pasiva?","Innovar",2011,"F García;F Guijarro"
"Valoración de las obras de arte pictóricas: el caso español de pintores contemporáneos en la década de los 90","Revista europea de dirección y economía de la empresa",2001,"AB Ruiz;FG Martínez;MNG Olmeda"
"A mean-variance optimization approach for residential real estate valuation","Real Estate Management and Valuation",2021,"F Guijarro"
"Ranking residential properties by a multicriteria single price model","Journal of the Operational Research Society",2011,"R Cervelló;F García;F Guijarro"
"Contabilidad analítica","Valencia: Editorial UPV",2011,"F GUIJARRO MARTÍNEZ;A BLASCO RUIZ"
"La valoración de inmuebles urbanos mediante el proceso analítico en red","Revista de estudios regionales",2010,"JA Bellver;JF Oñate;FG Martínez"
"Foreign exchange forecasting models: ARIMA and LSTM comparison","Engineering Proceedings",2023,"F García;F Guijarro;J Oliver;R Tamošiūnienė"
"Automatic identification and evaluation of Fibonacci retracements: Empirical evidence from three equity markets","Expert Systems with Applications",2022,"P Tsinaslanidis;F Guijarro;N Voukelatos"
"Estrategia de inversión bursátil y reconocimiento gráfico de patrones: Aplicación sobre datos intradía del índice Dow Jones","Cuadernos de Administración",2014,"R Cervelló Royo;F Guijarro Martínez;K Michniuk"
"The added value of non-financial information in internet firms pricing","SSRN",2014,"FG Martínez"
"Factores discriminantes de la inversión en intangibles de las empresas tecnológicas","Investigaciones europeas de dirección y economía de la empresa",2006,"IM Clemente;FG Martínez"
"Modelo de valoración en ambiente de incertidumbre","Economía Agraria y Recursos Naturales",2005,"J Aznar;F Guijarro"
"Economic recovery and effectiveness of active labour market initiatives for the unemployed in Spain: A gender perspective of the Valencian region","Sustainability",2018,"F Guijarro"
"Valoración de activos intangibles empresariales: Estado del arte y retos pendientes","Finance, Markets and Valuation",2016,"F García García;F Guijarro"
"Probability of deafault using the logit model: The impact of explanatory variable and data base selection","International Scientific Conference: Whither our Economics",2012,"C Bartual Sanfeliu;F García García;F Guijarro;A Romero Civera"
"A surrogate similarity measure for the mean-variance frontier optimisation problem under bound and cardinality constraints","Journal of the Operational Research Society",2021,"F Guijarro;PE Tsinaslanidis"
"Clasificación multicriterio de las empresas de prensa digital españolas","Finance, Markets and Valuation",2015,"F Guijarro"
"Nuevos métodos de evaluación: modelos multicriterios Valencia","España: Universitat Politècnica de València",2012,"JA Bellver;FG Martínez"
"Valoración Inmobiliaria. Métodos y Aplicaciones (España e Iberoamérica)","Editorial Universitat Politècnica de València",2012,"AA López Perales;J Aznar Bellver;F Guijarro Martínez;R González Mora"
"DESIGNING PRACTICAL CLASSES ON STOCK MARKETS THROUGH SIMULATION AND GAMIFICATION","INTED",2023,"FG García;FG Martinez;JO Muncharaz"
"Testing for Sequences and Reversals on Bitcoin Series","International Conference on Applied Economics",2022,"P Tsinaslanidis;F Guijarro"
"Relación entre precio de alquiler y renta en el mercado residencial español y política de vivienda","International Review of Economic Policy-Revista Internacional de Política …",2021,"AB Euroval;F Guijarro;E Gumersindo Ruiz"
"WITHDRAWN: A combined genetic algorithm and inverse data envelopment analysis model for target setting in mergers","Expert Systems with Applications: X",2019,"F Guijarro;M Martínez-Gómez;D Visbal-Cadavid"
"Estadística aplicada a la valoración: modelos multivariantes","Colección Académica. Editorial UPV",2013,"F Guijarro Martínez"
"Valoración multicriterio de empresas: una aplicación al sector bodeguero","Revista Española de Estudios Agrosociales y Pesqueros",2010,"E Guijarro;F Guijarro"
"Asset appraisal method based on the analytic network process","",2009,"P Aragonés-Beltrán;M García-Melón;J Aznar;F Guijarro"
"Valoración multicriterio de empresas: una aplicación al sector bodeguero español","Dirección y Organización",2009,"E Guijarro;F Guijarro"
"Valoración automática de inmuebles residenciales mediante modelos de Machine Learning","Revista de Estudios Empresariales. Segunda Época",2023,"FG Martínez"
"Impact of foreign exchange risk on investment portfolio performance in Latin American stock indexes","Vilnius Gediminas Technical University",2016,"I Arribas;J González-Bueno;F Guijarro;J Oliver"
"The Convenience of Applying Multilevel Modeling on Real Estate Valuation","",2015,"I Arribas;F Garcia;F Guijarro;J Oliver"
"Partial index tracking: satisfying different investment profiles with the same subset of stocks","Vilnius Gediminas Technical University",2012,"F García;F Guijarro;I Moya"
"Ranking multicriterio de viviendas: una adaptación del modelo de precio único","Estudios DE Economía Aplicada",2010,"RE Cervelló Royo;F García García;F Guijarro Martínez"
"Un procedimiento eficiente para la selección de variables en modelos factoriales de valoración de empresas","Revista europea de dirección y economía de la empresa",2009,"FG Martínez;IM Clemente"
"Casos prácticos de contabilidad analítica","Ed. Univ. Politéc. Valencia",2005,"FG García;FG Martínez"
"Modelos de valoración en ambiente de incertidumbre","Economía Agraria y Recursos Naturales-Agricultural and Resource Economics",2004,"JA Bellver;FG Martínez"
"Foreign Exchange Forecasting Models: LSTM and BiLSTM Comparison","Engineering Proceedings",2024,"F García;F Guijarro;J Oliver;R Tamošiūnienė"
"PROPOSAL FOR TRANSVERSALITY IN THE FINAL DEGREE PROJECT IN THE FACULTY OF BUSINESS ADMINISTRATION AND MANAGEMENT","INTED",2023,"FG García;FG Martínez;JO Muncharaz"
"Ranking the Performance of Universities: The Role of Sustainability. Sustainability 2021, 13, 13286","s Note: MDPI stays neutral with regard to jurisdictional claims in published …",2021,"C Burmann;F García;F Guijarro;J Oliver"
"Valoración inmobiliaria","Editorial de la Universidad Politécnica de Valencia",2020,"FG Martínez"
"Characteristics of Unemployed People, Training Attendance and Job Searching Success in the Valencian Region (Spain)","Data",2018,"F Guijarro"
"Una comparativa entre el método de valoración por homogeneización y el modelo mediavarianza de selección de carteras","Aportaciones de la Escuela Española de Valoración: homenaje al profesor …",2018,"FG Martínez"
"Market trends, momentum effect and efficient market hypothesis","Universitat Politècnica de València",2017,"J Eguiguren Balerdi"
"Propuesta de una nueva metodología para el establecimiento de zonas en las que aplicar los diferentes tipos del coeficiente de situación a efectos del impuesto de actividades …","Finance, Markets and Valuation",2017,"F Guijarro"
"The use of the R statistical software in the quantitative finance subject: development of skills and competences","Finance, Markets and Valuation",2017,"RE Cervelló Royo;F Guijarro;J Oliver-Muncharaz"
"Macroeconomic Analysis of the Effects of Financial and Commercial Liberalization on Economic Growth in Mexico, 1988-2011","Perfiles latinoamericanos",2015,"F Martínez;L Quintana;R Valencia"
"MOTIVATION IN THE CLASSROOM: AN APPLICATION TO FINANCE SUBJECTS IN THE FACULTY OF BUSINESS ADMINISTRATION AND MANAGEMENT","ICERI",2015,"F García;F Guijarro;J Oliver"
"THE ENTREPRENEURSHIP ACTIVITIES IN THE CLASSROOM IN THE GRADE OF BUSINESS ADMINISTRATION AND MANAGEMENT","ICERI",2015,"F García;F Guijarro;J Oliver"
"Residential trade and industry: European market analysis, future trends and influencing factors","Arbeitspapiere der FOM",2015,"R Cervelló-Royo;FG Martínez;T Pfahler;M Preuss"
"FORECASTING RETURNS AND CONDITIONAL VOLATILITY IN THE SPANISH IBEX-35 STOCK INDEX USING GARCH-M MODELS AND THE BPNN","PRACTICE AND RESEARCH IN PRIVATE AND PUBLIC SECTOR–",2014,"F GARCIA;F GUIJARRO;J OLIVER;A ROMERO"
"Internacionalización docente apoyada por el empleo de las tecnologías de la información y la comunicación","La formación y las nuevas tecnologías en la docencia universitaria",2012,"JA Bellver;FG García;FG Martínez"
"El uso de las TIC en el proceso enseñanza-aprendizaje de la docencia no presencial","El presente de los nuevos títulos: III Jornada nacional sobre estudios …",2011,"JA Bellver;FG García;FG Martínez"
"Análisis y propuestas de actuación para maximizar los beneficios de los programas de movilidad","Univest",2011,"FG García;FG Martínez;DG Conesa;MMM Sánchez"
"Crise boursière: préférence pour la gestion active ou la gestion passive?","Innovar",2011,"F García;F Guijarro"
"Evaluating patent portfolios by means of multicriteria analysis: Evaluación de carteras de patentes mediante análisis multicriterio","Revista de Contabilidad-Spanish Accounting Review",2011,"F García;X Wang;F Guijarro;I Moya"
"Ranking de activos inmobiliarios: un modelo de equilibrio entre la oferta y la demanda","Los mercados del mañana: bases para su análisis hoy",2011,"RC Royo;FG Martínez;IM Clemente"
"Housing Ranking: a model of equilibrium between buyers and sellers expectations","Louvain-la-Neuve: European Regional Science Association (ERSA)",2011,"RC Royo;FG García;F Guijarro-Martínez;I Moya-Clemente"
"Análisis y propuestas de actuación para maximizar los beneficios de los programas de movilidad","Universitat de Girona. Institut de Ciències de l'Educació Josep Pallach",2011,"F García García;D Gracia Conesa;F Guijarro Martínez;M Marín Sánchez"
"DISTANCE LEARNING AND NEW TECHNOLOGIES: ENHANCING THE INTERNATIONALIZATION OF UNIVERSITIES","EDULEARN",2011,"F García;F Guijarro;C Bartual"
"Key financial factors in rural savings bank sector reorganisation.","",2010,"F García García;F Guijarro Martínez;I Moya Clemente"
"The curvature of the tracking error frontier: a new criterion for the partial index tracking problem","MODELLING FOR ADDICTIVE BEHAVIOUR, MEDICINE AND ENGINEERING",2010,"F Garcıa;F Guijarro;I Moya"
"Multicriteria firm valuation: an application to the wine-producing sector.","",2010,"E Guijarro;F Guijarro"
"Measuring Performance in the Banking Sector.","MODELLING FOR MEDICINE, BUSINESS AND ENGINEERING",2009,"F Garcıa;F Guijarro;I Moya"
"Asset appraisal method based on the analytic network process","Comunicaciones presentadas al XIII Congreso Internacional de Ingeniería de …",2009,"PA Beltrán;MG Melón;JA Bellver;F Guijarro"
"Un ranking de cajas de ahorros españolas basado en metodología multicriterio","Administrando en entornos inciertos. XXIII Congreso Anual AEDEM",2009,"F García García;F Guijarro Martínez;I Moya Clemente"
"Un ranking de Cajas de Ahorro españolas basado en metodología multicriterio","Administrando en entornos inciertos= managing in uncertain environment",2009,"FG García;FG Martínez;IM Clemente"
"An algorithm for variable selection in firm valuation models","International Journal of Business Performance and Supply Chain Modelling",2009,"F Garcia;F Guijarro;I Moya"
"Agricultural firm valuation: an extension of the factor models.","",2008,"F García García;F Guijarro Martínez;I Moya Clemente"
"FERNANDO GARCÍA GARCÍA (**) FRANCISCO GUIJARRO MARTÍNEZ (**) ISMAEL MOYA CLEMENTE (**)","Revista española de estudios agrosociales y pesqueros",2008,"FG MARTÍNEZ"
"Modelling aesthetic variables in the valuation of paintings: An interval goal programming approach Cb: 290","Operations Research Management Science",2008,"J Azhar;F Guijarro"
"Valoración de empresas cotizadas en bolsa: una revisión metodológica de los modelos factoriales","Decisiones basadas en el conocimiento y en el papel social de la empresa: XX …",2007,"FG Martínez;IM Clemente"
"Index tracking: un enfoque de componentes principales","Empresa y sociedad [Recurso electrónico]: respondiendo al cambio …",2007,"FG Martínez;IM Clemente"
"Modelos de valoración económica de obras de arte pictóricas: valoración por intervalos","El comportamiento de la empresa ante entornos dinámicos: XIX Congreso anual …",2007,"JA Bellver;FG Martínez"
"Evaluation methods based on a goal programming model: a restricted evaluation model.","",2004,"J Aznar Bellver;F Guijarro Martínez"
"Valuation models in an uncertainty environment","Economía Agraria y Recursos Naturales-Agricultural and Resource Economics",2004,"J Aznar Bellver;F Guijarro Martínez"
"Métodos de valoración basados en la programación por metas: modelo de valoración restringida","Revista española de estudios agrosociales y pesqueros",2004,"FG Martínez;JA Bellver"
"Valuation models in an uncertainty environment","AgEcon Search",2004,"JA Bellver;FG Martinez"
"Inversión I+ D y rendimiento de los comportamientos de las acciones de empresas de Internet","Revista europea de dirección y economía de la empresa",2004,"FG Martínez;IM Clemente"
"Introducció a la Comptabilitat de Costos","Ed. Univ. Politéc. Valencia",2004,"FG García;FG Martínez"
"El efecto palanca de los intangibles en el valor de las empresas de Internet","Revista de Contabilidad y Tributación. CEF",2003,"FG Martínez;IM Clemente"
"La relevancia de la información financiera en la valoración bursátil de las empresas de internet","La relevancia de la información financiera en la valoración bursátil de las …",2003,"F GUIJARRO MARTÍNEZ"
"Criterios para la formación de carteras sobre acciones de empresas de Internet","Estrategia financiera",2003,"FG Martínez;IM Clemente"
"La relevancia de la información financiera en la valoración bursátil de las empresas de internet","Universitat Politècnica de València",2003,"FG Martínez"
"The Added Value of Non-Financial Information in Internet Firms Pricing","Available at SSRN",2002,"F Guijarro Martínez;I Moya Clemente"
"Methodology for the Economic Valuation of Buildings of Artistic and Historic Heritage","ERES",2001,"A Blasco;JÁ Rodríguez;F Guijarro"
"Gestión financiera de la empresa inmobiliaria","Universidad Politécnica de Valencia",2001,"F Guijarro;JA Rodríguez;FJR Sanchis;IB Sanfeliu"
"Informática avanzada para tasadores: módulo 0.8","Universidad Politécnica de Valencia, Servicio de Publicaciones",2001,"F Guijarro;A Blasco"
"Un modelo de contabilidad de gestión y análisis de eficiencia en las bibliotecas universitarias. Su aplicación a la biblioteca de la Universidad Politécnica de Valencia","Situación y tendencias de la contabilidad de gestión en el ámbito …",2000,"AB Ruiz;FG Martínez"
"Mercado inmobiliario nacional","Universidad Politécnica de Valencia, Servicio de Publicaciones",2000,"JÁ Rodríguez;F Guijarro;FJR Sanchis"
"Nuevos métodos de estudio en embriología","Reproducción y desarrollo",1999,"C Crespo;FJM Guijarro"
"Gestión financiera de la empresa turística","Universidad Politecnica de Valencia, Servicio de Publicaciones",1999,"A Blasco;F Guijarro;FJR Sanchis"
"Dirección de marketing: economía de los recursos informáticos","Universidad Politécnica de Valencia, Servicio de Publicaciones",1999,"N Guadalajara;F Guijarro"
"Valoración del agua de riego: Unidades didácticas. Módulo 3.3","Universidad Politécnica de Valencia, Servicio de Publicaciones",1998,"N Guadalajara;F Guijarro;A Oltra"
"Valoración del agua de riego","Universidad Politécnica de Valencia",1998,"NG Olmeda;F Guijarro;A Oltra"
"finanzas-crisis financiera","",NA,"F García;F Guijarro"
"AUTOMATIC VALUATION OF RESIDENTIAL PROPERTIES USING MACHINE LEARNING MODELS","",NA,"FG Martínez"
"Estadísta aplicada a la valoración","",NA,"FG Martínez"
"Crisis bursátil:¿ Es preferible una estrategia de gestión activa o pasiva? Stock market crisis: which is preferable, an active or passive management strategy? Crise boursière …","",NA,"F García;F Guijarro"
"Finance, Markets and Valuation","",NA,"R Cervelló-Royo;F Guijarro"
"LOS COSTES DE GESTIÓN DEL RIESGO EN LA EMPRESA AGRARIA","",NA,"F Ribal Sanchis;JPS Sagreras;J Luis;F Guijarro Martínez"
"Determining Credit Spreads for Private Firms That Have No Credit Rating","",NA,"P Morales;F Guijarro;J Hernández"
"La problemática en la determinación de los diferenciales de crédito para las entidades privadas que no poseen una calificación crediticia","",NA,"PM Bañuelos;FG Martínez;JH Cortés"
"Valoración por intervalos","",NA,"JA Bellver;FG Martínez"
"APLICACIÓN DE COSTES PRESUPUESTADOS PARA LA VALORACIÓN DE MARCAS DE CLUBES DE FÚTBOL ESPAÑOLES","",NA,"FG Martínez;AB Ruiz;FJR Sanchís;JAR González"
"VALORACIÓN DE INTANGIBLES EN LAS EMPRESAS DE INTERNET","SOCOTE",NA,"FG Martínez;IM Clemente"
"Conversión de las probabilidades de incumplimiento a diferencial de crédito para el caso mexicano","",NA,"PM Bañuelos;JH Cortés;FG Martínez"
"Valuation methods based on goal programming: constrained valuation model","Revista Española de Estudios Agrosociales y Pesqueros (España)",NA,"J Aznar Bellver;F Guijarro Martínez"
"Los costes de gestión del riesgo en la empresa agraria Ribal Sanchis, Fco. Javier Pérez-Salas Sagreras, José Luis","",NA,"F Guijarro Martínez"
"SISTEMA DE COSTES POR PROCESO Y SU APLICACIÓN A LA VALORACIÓN DE PLANTAS DE VIVERO.","",NA,"F Guijarro Martínez"
"Valoración multicriterio de empresas: una aplicación al sector bodeguero español Firm multicriteria valuation: an application to the Spanish wine producer firms","D IRECCION Y O RGANIZACION",NA,"E Guijarro;F Guijarro"
