"title","journal","year","otros_investigadores"
"Control of noise by trees arranged like sonic crystals","Journal of sound and vibration",2006,"R Martínez-Sala;C Rubio;LM García-Raffi;JV Sánchez-Pérez;..."
"Formation of high-order acoustic Bessel beams by spiral diffraction gratings","Physical Review E",2016,"N Jiménez;R Picó;V Sánchez-Morcillo;V Romero-García;..."
"Evidences of evanescent Bloch waves in phononic crystals","Applied Physics Letters",2010,"V Romero-García;JV Sánchez-Pérez;S Castiñeira-Ibáñez;..."
"Tunable wideband bandstop acoustic filter based on two-dimensional multiphysical phenomena periodic systems","Journal of applied physics",2011,"V Romero-García;JV Sánchez-Pérez;LM Garcia-Raffi"
"Multi-resonant scatterers in sonic crystals: Locally multi-resonant acoustic metamaterial","Journal of Sound and Vibration",2013,"V Romero-García;A Krynkin;LM Garcia-Raffi;O Umnova;..."
"Sharp acoustic vortex focusing by Fresnel-spiral zone plates","Applied Physics Letters",2018,"N Jiménez;V Romero-García;LM García-Raffi;F Camarena;K Staliunas"
"Sequence spaces and asymmetric norms in the theory of computational complexity","Mathematical and computer modelling",2002,"LM García-Raffi;S Romaguera;EA Sánchez-Pérez"
"Evanescent modes in sonic crystals: Complex dispersion relation and supercell approximation","Journal of Applied Physics",2010,"V Romero-García;JV Sánchez-Pérez;LM Garcia-Raffi"
"Validation of the use of Actigraph GT3X accelerometers to estimate energy expenditure in full time manual wheelchair users with spinal cord injury","Spinal cord",2013,"X García-Massó;P Serra-Añó;LM García-Raffi;EA Sánchez-Pérez;..."
"Ultradiscrete kinks with supersonic speed in a layered crystal with realistic potentials","Physical Review E",2015,"JFR Archilla;YA Kosevich;N Jiménez;VJ Sánchez-Morcillo;..."
"Design, manufacture and characterization of an acoustic barrier made of multi-phenomena cylindrical scatterers arranged in a fractal-based geometry","Archives of Acoustics",2012,"S Castineira-Ibanez;C Rubio;V Romero-Garcia;JV Sánchez-Pérez;..."
"The nuclear structure of 229Th","Nuclear Physics A",2002,"K Gulda;W Kurcewicz;AJ Aas;MJG Borge;DG Burke;B Fogelberg;..."
"Hole distribution in phononic crystals: Design and optimization","The Journal of the Acoustical Society of America",2009,"V Romero-García;JV Sánchez-Pérez;LM García-Raffi;JM Herrero;..."
"Propagating and evanescent properties of double-point defects in sonic crystals","New Journal of Physics",2010,"V Romero-García;JV Sánchez-Pérez;LM Garcia-Raffi"
"Optimization of sonic crystal attenuation properties by ev-MOGA multiobjective evolutionary algorithm","Structural and Multidisciplinary Optimization",2009,"JM Herrero;S García-Nieto;X Blasco;V Romero-García;..."
"The dual space of an asymmetric normed linear space","Quaestiones Mathematicae",2003,"LM García-Raffi;R Sanchez-Pérez"
"On Hausdorff asymmetric normed linear spaces","Houston J. Math",2003,"LM García-Raffi;S Romaguera;EA Sánchez-Pérez"
"Simulation of light collection in scintillators with rough surfaces","Nuclear Instruments and Methods in Physics Research Section A: Accelerators …",1994,"J Bea;A Gadea;LM Garcia-Raffi;J Rico;B Rubio;JL Tain"
"Band gap creation using quasiordered structures based on sonic crystals","Applied Physics Letters",2006,"V Romero-García;E Fuster;LM García-Raffi;EA Sánchez-Pérez;..."
"Wave focusing using symmetry matching in axisymmetric acoustic gradient index lenses","Applied Physics Letters",2013,"V Romero-García;A Cebrecos;R Picó;VJ Sánchez-Morcillo;..."
"Compactness and finite dimension in asymmetric normed linear spaces","Topology and its Applications",2005,"LM García-Raffi"
"A heuristic algorithm based on Monte Carlo methods for the rural postman problem","Computers & operations research",1998,"PF De Córdoba;LMG Raffi;JM Sanchis"
"Introducción de las técnicas de modelización para el estudio de la física y de las matemáticas en los primeros cursos de las carreras técnicas","Enseñanza de las ciencias: revista de investigación y experiencias …",1999,"EAS Pérez;LMG Raffi;JVS Pérez"
"Acoustic Bessel-like beam formation by an axisymmetric grating","Europhysics Letters",2014,"N Jimenez;V Romero-García;R Picó;A Cebrecos;VJ Sánchez-Morcillo;..."
"Nonlinear dispersive waves in repulsive lattices","Physical Review E",2017,"A Mehrem;N Jimenez;LJ Salmerón-Contreras;X García-Andrés;..."
"Sound absorption and diffusion by 2D arrays of Helmholtz resonators","Applied Sciences",2020,"I Herrero-Durá;A Cebrecos;R Picó;V Romero-García;LM García-Raffi;..."
"Análisis de los modelos matemáticos producidos durante la resolución de problemas de Fermi","Bolema: Boletim de Educação Matemática",2017,"I Ferrando;L Albarracín;C Gallart;LM García-Raffi;N Gorgorió"
"Compactness in asymmetric normed spaces","Topology and its Applications",2008,"C Alegre;I Ferrando;LM García-Raffi;EA Sánchez Pérez"
"Broadband quasi perfect absorption using chirped multi-layer porous materials","AIP Advances",2016,"N Jiménez;V Romero-García;A Cebrecos;R Pico;VJ Sánchez-Morcillo;..."
"Enhancement of sound by soft reflections in exponentially chirped crystals","AIP Advances",2014,"A Cebrecos;R Picó;VJ Sánchez-Morcillo;K Staliunas;V Romero-García;..."
"Applications of the complexity space to the general probabilistic divide and conquer algorithms","Journal of Mathematical Analysis and Applications",2008,"LM García-Raffi;S Romaguera;MP Schellekens"
"The bicompletion of an asymmetric normed linear space","Acta Mathematica Hungarica",2002,"LM García-Raffi;S Romaguera;EA Sánchez-Pérez"
"Targeted band gap creation using mixed sonic crystal arrays including resonators and rigid scatterers","Applied physics letters",2007,"E Fuster-Garcia;V Romero-García;JV Sánchez-Pérez;LM Garcia-Raffi"
"Evanescent waves and deaf bands in sonic crystals","Aip Advances",2011,"V Romero-García;LM Garcia-Raffi;JV Sánchez-Pérez"
"Stealth acoustic materials","Physical Review Applied",2019,"V Romero-García;N Lamothe;G Theocharis;O Richoux;LM Garcia-Raffi"
"High-order acoustic Bessel beam generation by spiral gratings","Physics Procedia",2015,"N Jiménez;VJ Sánchez-Morcillo;R Pico;LM Garcia-Raffi;..."
"Octupole correlations in 229Ra","Nuclear Physics A",1999,"LM Fraile;AJ Aas;MJG Borge;B Fogelberg;LM García-Raffi;IS Grant;..."
"Theoretical and experimental evidence of level repulsion states and evanescent modes in sonic crystal stubbed waveguides","New Journal of Physics",2012,"V Romero-García;JO Vasseur;LM Garcia-Raffi;AC Hladky-Hennion"
"Overlapping of acoustic bandgaps using fractal geometries","Europhysics Letters",2010,"S Castiñeira-Ibáñez;V Romero-García;JV Sánchez-Pérez;..."
"Quodons in mica: nonlinear localized travelling excitations in crystals","Springer",2015,"JFR Archilla;N Jiménez;VJ Sánchez-Morcillo;LM García-Raffi"
"Metrizability of the unit ball of the dual of a quasi-normed cone","Bollettino dell'Unione Matematica Italiana",2004,"LM García-Raffi;S Romaguera;EA Sánchez-Pérez;O Valero"
"A real delivery problem dealt with Monte Carlo techniques","Top",2000,"PF de Córdoba;LM García-Raffi;A Mayado;JM Sanchis"
"Nonlinear propagation and control of acoustic waves in phononic superlattices","Comptes Rendus. Physique",2016,"N Jiménez;A Mehrem;R Picó;LM García-Raffi;VJ Sánchez-Morcillo"
"Analytical model to predict the effect of a finite impedance surface on the propagation properties of 2D sonic crystals","Journal of Physics D: Applied Physics",2011,"V Romero-García;JV Sánchez-Pérez;LM Garcia-Raffi"
"Weak topologies on asymmetric normed linear spaces and non-asymptotic criteria in the theory of complexity analysis of algorithms","J. Anal. Appl",2004,"LM García-Raffi;S Romaguera;EA Sánchez-Pérez"
"Non-orthogonal gamma-ray Compton polarimeters","Nuclear Instruments and Methods in Physics Research Section A: Accelerators …",1995,"LM Garcia-Raffi;JL Tain;J Bea;A Gadea;L Palafox;J Rico;B Rubio"
"The supremum asymmetric norm on sequence algebras: a general framework to measure complexity distances","Electronic Notes in Theoretical Computer Science",2003,"LM García-Raffi;S Romaguera;EA Sánchez-Pérez"
"Broadband reduction of the specular reflections by using sonic crystals: A proof of concept for noise mitigation in aerospace applications","Aerospace Science and Technology",2018,"LM García-Raffi;LJ Salmeron-Contreras;I Herrero-Durá;R Picó;..."
"Análisis competencial de una tarea de modelización abierta","Números",2015,"CG Palau;I Ferrando;LM García-Raffi"
"Design and implementation of a tool for analysing student products when they solve Fermi problems","Mathematical modelling and applications: Crossing and researching boundaries …",2017,"C Gallart;I Ferrando;LM García-Raffi;L Albarracín;N Gorgorió"
"Aprender como una máquina: introduciendo la Inteligencia Artificial en la enseñanza secundaria","Modelling in Science Education and Learning",2021,"JM Calabuig Rodriguez;LM García Raffi;EA Sánchez Pérez"
"A Supersonic Crowdion in Mica: Ultradiscrete Kinks with Energy Between K Recoil and Transmission Sputtering","Quodons in Mica: Nonlinear Localized Travelling Excitations in Crystals",2015,"JFR Archilla;YA Kosevich;N Jiménez;VJ Sánchez-Morcillo;..."
"Periodic systems as road traffic noise reducing devices: Prototype and standardization","Environmental Engineering and Management Journal",2015,"S Castiñeira-Ibáñez;V Romero-García;JV Sánchez-Pérez;..."
"Level repulsion and evanescent waves in sonic crystals","Physical Review B—Condensed Matter and Materials Physics",2011,"V Romero-García;JO Vasseur;AC Hladky-Hennion;LM Garcia-Raffi;..."
"Persistence of octupole correlations in 231Ra","Nuclear Physics A",2001,"LM Fraile;MJG Borge;H Mach;R Boutami;AJ Aas;B Fogelberg;..."
"Reforma, interiorismo y diseno de mobiliario para una vivienda antigua","Ph. D. dissertation",2011,"PC Marchante"
"Kaplan-Meier type survival curves for Covid-19: a health data based decision-making tool","Frontiers in public health",2021,"JM Calabuig;LM García-Raffi;A García-Valiente;EA Sánchez-Pérez"
"Natural sonic crystal absorber constituted of seagrass (Posidonia Oceanica) fibrous spheres","Scientific Reports",2021,"L Barguet;V Romero-García;N Jiménez;LM Garcia-Raffi;..."
"Rocket plume URANS simulation using OpenFOAM","Results in Engineering",2019,"MS Escarti-Guillem;S Hoyas;LM García-Raffi"
"Moving excitations in cation lattices","Ukrainian Journal of Physics",2013,"JFR Archilla;YA Kosevich;N Jiménez;VJ Sánchez-Morcillo;..."
"Wave transport in 1D stealthy hyperuniform phononic materials made of non-resonant and resonant scatterers","APL Materials",2021,"V Romero-García;É Chéron;S Kuznetsova;JP Groby;S Félix;V Pagneux;..."
"Modelización matemática en la educación secundaria: manual de uso","Modelling in Science Education and Learning",2019,"CG Palau;IF Palomares;LMG Raffi"
"El profesor ante la actividad modelizadora en el aula de secundaria","Suma",2015,"C Gallart-Palau;I Ferrando Palomares;LM García-Raffi"
"Implementación de tareas de modelización abiertas en el aula de secundaria, análisis previo","Investigación en Educación Matemática XVIII",2014,"C Gallart;I Ferrando;LM García-Raffi"
"Extensions of asymmetric norms to linear spaces","Università degli Studi di Trieste. Dipartimento di Scienze Matematiche",2001,"LM García-Raffi;S Romaguera;EA Sánchez Pérez"
"Monte Carlo simulation of Compton polarimeters","Nuclear Instruments and Methods in Physics Research Section A: Accelerators …",1997,"LM Garcia-Raffi;JL Tain;J Bea;A Gadea;J Rico;B Rubio"
"Nonlinear focusing of ultrasonic waves by an axisymmetric diffraction grating embedded in water","Applied Physics Letters",2015,"N Jimenez;V Romero-García;R Pico;LM Garcia-Raffi;K Staliunas"
"Modelling in science education and learning","Suma: Revista sobre Enseñanza y Aprendizaje de las Matemáticas",2007,"CA Català;LMG Raffi;J Gómez;S Romero"
"Localized interface modes in one-dimensional hyperuniform acoustic materials","Journal of Physics D: Applied Physics",2021,"SM Kuznetsova;JP Groby;LM García-Raffi;V Romero-García"
"Thermodynamic efficiency of solar photovoltaic modules","Environmental Engineering and Management Journal",2015,"D Rusirawan;I Farkas"
"Integration with respect to a vector measure and function approximation","Abstract and Applied Analysis",2000,"Garcia_Raffi;L. M.;Ginestar;D.;Sánchez-Pérez"
"Analysis of the wave propagation properties of a periodic array of rigid cylinders perpendicular to a finite impedance surface","Europhysics Letters",2011,"V Romero-García;JV Sánchez-Pérez;LM Garcia-Raffi"
"Commutative sequences of integrable functions and best approximation with respect to the weighted vector measure distance","Integral Equations and Operator Theory",2006,"LMG Raffi;EAS Pérez;JVS Pérez"
"Normed semialgebras: a mathematical model for the complexity analysis of programs and algorithms","Proc.",2003,"LM García-Raffi;S Romaguera;EA Sánchez-Pérez;O Valero"
"URANS analysis of a launch vehicle aero-acoustic environment","Applied Sciences",2022,"MS Escartí-Guillem;LM García-Raffi;S Hoyas"
"Asymmetric propagation using enhanced self-demodulation in a chirped phononic crystal","AIP Advances",2016,"A Cebrecos;N Jiménez;V Romero-García;R Pico;VJ Sánchez-Morcillo;..."
"Noise certification of a sonic crystal acoustic screen designed using a triangular lattice according to the standards EN 1793 (-1;-2;-3)","EuroNoise, Maastricht",2015,"JV Sánchez-Pérez;CR Michavila;LM García-Raffi;V Romero-Garcia;..."
"Estrategias de aprendizaje basadas en la modelización matemática en Educación Secundaria Obligatoria","XV JAEM",2011,"JV Gómez Urgellés;L Garcia Rafi;L Sierra Galdón;J Blanco"
"Vector measure orthonormal systems and self-weighted functions approximation","Publications of the Research Institute for Mathematical Sciences",2005,"LM García-Raffi;D Ginestar;EAS Pérez"
"Las prácticas de modelización físico-matemática: innovación universitaria desde un punto de vista internacional","Uno: Revista de didáctica de las matematicas",2002,"EAS Pérez;JVS Pérez;F de Campo;LM García"
"Stealth and equiluminous materials for scattering cancellation and wave diffusion","Waves in Random and Complex Media",2024,"S Kuznetsova;JP Groby;LM Garcia-Raffi;V Romero-García"
"Nonlinear self-collimated sound beams in sonic crystals","Physical Review B",2015,"EM Hamham;N Jimenez;R Picó;VJ Sanchez-Morcillo;LM García-Raffi;..."
"Asymmetric Norms and the dual complexity spaces","Universitat Politècnica de València",2008,"LM García Raffi"
"Asymmetric norms and optimal distance points in linear spaces","Topology and its Applications",2008,"LMG Raffi;EAS Pérez"
"Properties of the 6− β-decaying isomer","Zeitschrift für Physik A Hadrons and Nuclei",1996,"A Gadea;B Rubio;JL Taín;J Rico;J Bea;LM García-Raffi;P Kleinheinz;..."
"Tracking turbulent coherent structures by means of neural networks","Energies",2021,"JJ Aguilar-Fuertes;F Noguero-Rodríguez;JC Jaen Ruiz;LM García-RAffi;..."
