"title","journal","year","otros_investigadores"
"Composition operators between weighted inductive limits of spaces of holomorphic functions","Publ. Math. Debrecen",2005,"J Bonet;M Friz;E Jordá"
"Mean ergodic composition operators on Banach spaces of holomorphic functions","Journal of Functional Analysis",2016,"MJ Beltrán-Meneu;MC Gómez-Collado;E Jordá;D Jornet"
"Optimal regularity at the free boundary for the infinity obstacle problem","Interfaces and Free Boundaries",2015,"JD Rossi;EV Teixeira;JM Urbano"
"Extension of vector-valued holomorphic and harmonic functions","Studia Math",2007,"J Bonet;L Frerick;E Jordá"
"An optimal transportation problem with a cost given by the Euclidean distance plus import/export taxes on the boundary","Revista Matemática Iberoamericana",2014,"JM Mazón;JD Rossi;J Toledo"
"Mean ergodicity of weighted composition operators on spaces of holomorphic functions","Journal of Mathematical Analysis and Applications",2016,"MJ Beltrán-Meneu;MC Gómez-Collado;E Jordá;D Jornet"
"Extension of bounded vector‐valued functions","Mathematische Nachrichten",2009,"L Frerick;E Jordá;J Wengenroth"
"Vector-valued meromorphic functions","Archiv der Mathematik",2002,"J Bonet;E Jordá;M Maestre"
"Tingley's problem for -Schatten von Neumann classes","Journal of Spectral Theory",2020,"FJ Fernández-Polo;E Jordá;AM Peralta"
"Ergodic properties of composition operators on Banach spaces of analytic functions","Journal of Mathematical Analysis and Applications",2020,"E Jordá;A Rodríguez-Arenas"
"Dynamics and spectra of composition operators on the Schwartz space","Journal of Functional Analysis",2018,"C Fernández;A Galbis;E Jordá"
"Weighted Vector‐Valued Holomorphic Functions on Banach Spaces","Abstract and Applied Analysis",2013,"E Jordá"
"Composition operators on the Schwartz space","Revista matemática iberoamericana",2018,"A Galbis;E Jordá"
"Strongly continuous semigroups on some Fréchet spaces","Journal of Mathematical Analysis and Applications",2014,"L Frerick;E Jordá;T Kalmes;J Wengenroth"
"Mean ergodic multiplication operators on weighted spaces of continuous functions","Mediterranean Journal of Mathematics",2018,"J Bonet;E Jordá;A Rodriguez"
"Tame linear extension operators for smooth Whitney functions","Journal of Functional Analysis",2011,"L Frerick;E Jordá;J Wengenroth"
"Extension of vector-valued holomorphic and meromorphic functions","Bulletin of the Belgian Mathematical Society-Simon Stevin",2005,"E Jordá"
"Extension of vector-valued functions","Bulletin of the Belgian Mathematical Society-Simon Stevin",2007,"L Frerick;E Jordá"
"The division problem for tempered distributions of one variable","Journal of Functional Analysis",2012,"J Bonet;L Frerick;E Jordá"
"Whitney extension operators without loss of derivatives","Revista Matemática Iberoamericana",2016,"L Frerick;E Jorda Mora;J Wengenroth"
"Supercyclicity of weighted composition operators on spaces of continuous functions","Collectanea mathematica",2020,"MJ Beltrán-Meneu;E Jordá;M Murillo-Arcila"
"Stability of derivations under weak-2-local continuous perturbations","Aequationes mathematicae",2017,"E Jordá;AM Peralta"
