"title","journal","year","otros_investigadores"
"Frequently recurrent operators","Journal of Functional Analysis",2022,"A Bonilla;KG Grosse-Erdmann;A López-Martínez;A Peris"
"Recurrence properties for linear dynamical systems: an approach via invariant measures","Journal de Mathématiques Pures et Appliquées",2023,"S Grivaux;A López-Martínez"
"Questions in linear recurrence: From the T⊕ T-problem to lineability","",2023,"S Grivaux;A López-Martínez;A Peris"
"Recurrent subspaces in Banach spaces","International Mathematics Research Notices",2024,"A López-Martínez"
"Shifts on trees versus classical shifts in chain recurrence","arXiv preprint arXiv:",2024,"A López-Martínez;D Papathanasiou"
"Two remarks on the set of recurrent vectors","arXiv preprint arXiv:",2023,"A López-Martínez;Q Menet"
"Invariant measures from locally bounded orbits","Results in Mathematics",2024,"A López-Martínez"
"Questions in linear recurrence I: the  -recurrence problem","Analysis and Mathematical Physics",2025,"S Grivaux;A López-Martínez;A Peris"
"Chain Recurrence is not hereditary in Linear Dynamics","",2024,"A López-Martínez"
"Recurrence in collective dynamics: From the hyperspace to fuzzy dynamical systems","arXiv preprint arXiv:",2024,"I Álvarez;A López-Martínez;A Peris"
"Combinatorial number theory, recurrence of operators and linear dynamics","Universitat Politècnica de València",2023,"A López Martínez"
"Questions in linear recurrence: From the -problem to lineability","arXiv preprint arXiv:",2022,"S Grivaux;A López-Martínez;A Peris"
"Frequent Recurrence via Invariant Measures","",2022,"A López-Martínez"
"Recurrencia frecuente en la dinámica de operadores","Universitat Politècnica de València",2020,"A López Martínez"
"Análisis Funcional, Teoría de Distribuciones de Schwartz y ChatGPT en Ingeniería Física Autores/as Afiliaciones","",NA,"JA Conejero;L Goiriz;A López-Martínez"
"Functional Analysis, Schwartz Distributions Theory and ChatGPT in Physics Engineering","",NA,"TD de Schwartz;JA Conejero;L Goiriz;A López-Martínez"
"Análisis de la contribución a los ODS de la formación en matemática avanzada","OVACIÓ DOCEN",NA,"JA Conejero;L Goiriz;A López-Martínez"
"INVARIANT MEASURES IMPLY STRONG RECURRENCE","",NA,"A LÓPEZ-MARTÍNEZ"
