"title","journal","year","otros_investigadores"
"NEXT, a HPGXe TPC for neutrinoless double beta decay searches","arXiv preprint arXiv:",2009,"F Granena;T Lux;F Nova;J Rico;F Sanchez;DR Nygren;JAS Barata;..."
"Computation of eigenvalues in proportionally damped viscoelastic structures based on the fixed-point iteration","Applied Mathematics and Computation",2012,"M Lázaro;JL Pérez-Aparicio;M Epstein"
"Multiparametric computation of eigenvalues for linear viscoelastic structures","Computers & Structures",2013,"M Lázaro;JL Pérez–Aparicio"
"Eigensolutions of non-proportionally damped systems based on continuous damping sensitivity","Journal of Sound and Vibration",2016,"M Lázaro"
"Dynamic analysis of frame structures with free viscoelastic layers: New closed-form solutions of eigenvalues and a viscous approach","Engineering Structures",2013,"M Lázaro;JL Pérez-Aparicio"
"The NEXT experiment","Journal of Physics: Conference Series",2009,"J Diaz;N Yahlali;M Ball;JAS Barata;F Borges;E Calvo;S Carcel;..."
"Nonviscous modes of nonproportionally damped viscoelastic systems","Journal of Applied Mechanics",2015,"M Lázaro"
"Characterization of real eigenvalues in linear viscoelastic oscillators and the nonviscous set","Journal of Applied Mechanics",2014,"M Lázaro;JL Pérez-Aparicio"
"Eigensolutions of nonviscously damped systems based on the fixed-point iteration","Journal of Sound and Vibration",2018,"M Lázaro"
"A viscous approach based on oscillatory eigensolutions for viscoelastically damped vibrating systems","Mechanical Systems and Signal Processing",2013,"M Lázaro;JL Pérez-Aparicio;M Epstein"
"Critical damping in nonviscously damped linear systems","Applied Mathematical Modelling",2019,"M Lázaro"
"Learning mechanical vibrations with Wolfram Mathematica","Modelling in Science Education and Learning",2015,"M Lázaro"
"Closed-form eigensolutions of nonviscously, nonproportionally damped systems based on continuous damping sensitivity","Journal of Sound and Vibration",2018,"M Lázaro"
"Approximate critical curves in exponentially damped nonviscous systems","Mechanical Systems and Signal Processing",2019,"M Lázaro"
"On the Accuracy of a Four-Node Delaminated Composite Plate Element and Its Application to Damage Detection","Journal of Vibration and Acoustics (ASME)",2013,"CF Casanova;A Gallego;M Lázaro"
"Elastodynamical properties of Sturmian structured media","Journal of Sound and Vibration",2022,"M Lázaro;A Niemczynowicz;A Siemaszko;LM García-Raffi"
"New interaction formula for plastic resistance of channel sections under combinations of bending moments My, Ed, Mz, Ed and bimoment BEd","Structures",2022,"A Agüero;I Baláž;Y Koleková;M Lázaro"
"Exact determination of critical damping in multiple exponential kernel-based viscoelastic single-degree-of-freedom systems","Mathematics and Mechanics of Solids",2019,"M Lázaro"
"Teoría de vigas en ingeniería aeroespacial","Editorial de la Universidad Politécnica de Valencia",2019,"JLP Aparicio;M Lázaro"
"Proposal of a viscous model for nonviscously damped beams based on fractional derivatives","Shock and Vibration",2018,"M Lázaro;JM Molines-Cano;I Ferrer;V Albero"
"Experiencias para mejorar las competencias transversales y la evaluación continua en Ingeniería Aeroespacial","Recuperado el",2016,"M Lázaro;I Ferrer;P Martin;J Perez-Aparicio;S Hoyas"
"The polynomial pivots as initial values for a new root-finding iterative method","Journal of Applied Mathematics",2015,"M Lázaro;P Martín;A Agüero;I Ferrer"
"The Eigenvalue Problem in Linear Viscoelastic Structures: New Numerical Approaches and the Equivalent Viscous Model (Ph.D. Thesis)","Universitat Politècnica de València",2013,"M Lázaro"
"Laboratorio virtual para la interpretación de las cargas en vuelo","Modelling in Science Education and Learning",2018,"M Lázaro;JB Rodríguez;GG Olivas"
"Analysis of Nonviscous Oscillators Based on the Damping Model Perturbation","Shock and Vibration",2016,"M Lázaro;P Casanova;César F. Ferrer;Ignacio;Martín"
"Boundaries of oscillatory motion in structures with nonviscous dampers","Applied Sciences",2022,"M Lázaro;LM García-Raffi"
"Critical relationships in nonviscous systems with proportional damping","Journal of Sound and Vibration",2020,"M Lázaro;LM García-Raffi"
"Nonviscous Modes of Viscoelastically Damped Vibrating Systems","Viscoelastic and Viscoplastic Materials",2016,"M Lázaro;CF Casanova;C Lázaro"
"The 2024 phononic crystals roadmap","Journal of Physics D: Applied Physics",2025,"Y Jin;D Torrent;BD Rouhani;L He;Y Xiang;FZ Xuan;Z Gu;H Xue;J Zhu;..."
"Analytical approximations for multiple scattering in one-dimensional waveguides with small inclusions","Mechanical Systems and Signal Processing",2025,"M Lázaro;R Wiltshaw;RV Craster;LM García-Raffi"
"Wave propagation in beams with multiple resonators: conditions for weak scattering and the Born approximation","arXiv preprint arXiv:",2024,"M Lázaro;R Wiltshaw;RV Craster;V Romero-García"
"New Interaction Formulae for Plastic Resistances of Z-Sections under Combinations of Bending Moments My,Ed, Mz,Ed and Bimoment BEd","Buildings",2023,"A Agüero;I Baláž;Y Koleková;M Lázaro"
"Modal Analysis Applied to Electric Guitar Design Influence on Manufacturing Parameters","Annals of DAAAM & Proceedings",2020,"F Núñez;SC Gutiérrez;M Lázaro;D Rossi"
"An Innovative Approach For The Implementation Of Blended Learning In The Spanish Vocational Training Qualification Framework","INTED",2017,"I Ferrer;M Cervantes;M Lázaro"
"TOPMOST: A NEW TOOL BASED ON LEARNING OUTCOMES FOR THE ACADEMIC MOBILITY OF VOCATIONAL STUDENTS","INTED",2016,"I Ferrer;M Cervantes;ML Navarro"
"Dispersion relationship of phononic generalized beams","arXiv preprint arXiv:",2024,"M Lázaro;R Wiltshaw;RV Craster;V Romero-García"
"Hyperuniformity of quasiperiodic tilings generated by continued fractions","Physical Review B",2024,"M Lázaro;LM García-Raffi"
"New Interaction Formulae for Plastic Resistances of Z-Sections under Combinations of Bending Moments My, M-Ed, Mz, M-Ed and Bimoment B-Ed","Buildings",2023,"A Aguero Ramón Llin;I Baláz;Y Koleková;M Lázaro"
"Damping perturbation based time integration asymptotic method for structural dynamics","International Journal of Computational Methods",2022,"M Lázaro"
"Measure Theory in Condensed Matter","XIX Encuentros de análisis real y complejo",2019,"LM Garcia-Raffi;M Lázaro;A Niemczynowicz;V Romero-García"
"TEACHING MODAL ANALYSIS: A CHALLENGE USING VIRTUAL LABS AND EXPERIMENTAL TECHNIQUES","INTED",2017,"M Lázaro;I Ferrer"
"EXPERIENCES TO ENHANCE TRANSVERSAL SKILLS IN AEROSPACE ENGINEERING","EDULEARN",2016,"M Lázaro;I Ferrer;P Martín;JL Pérez-Aparicio;A Agüero;S Hoyas"
