"title","journal","year","otros_investigadores"
"Descriptive topology in selected topics of functional analysis","Springer Science & Business Media",2011,"J Kąkol;W Kubiś;M López-Pellicer"
"Metrizable barrelled spaces","CRC Press",1995,"JC Ferrando;ML Pellicer;LMS Ruiz"
"Tightness and distinguished Fréchet spaces","Journal of mathematical analysis and applications",2006,"JC Ferrando;J Kąkol;ML Pellicer;SA Saxon"
"Webs and bounded finitely additive measures","Journal of Mathematical Analysis and Applications",1997,"M López-Pellicer"
"Strong barrelledness properties inl0∞(XA) and bounded finite additive measures","Mathematische Annalen",1990,"JC Ferrando;M López-Pellicer"
"Quasi-Suslin weak duals","Journal of mathematical analysis and applications",2008,"JC Ferrando;J Kakol;ML Pellicer;SA Saxon"
"Compact coverings for Baire locally convex spaces","Journal of mathematical analysis and applications",2007,"J Kakol;ML Pellicer"
"On topological properties of Fréchet locally convex spaces with the weak topology","Topology and its Applications",2015,"SS Gabriyelyan;J Kakol;A Kubzdela;M Lopez-Pellicer"
"Necessary and sufficient conditions for precompact sets to be metrisable","Bulletin of the Australian Mathematical Society",2006,"JC Ferrando;J Kasakol;ML Pellicer"
"On Valdivia strong version of Nikodym boundedness property","Journal of Mathematical Analysis and Applications",2017,"J Kakol;M López-Pellicer"
"Álgebra lineal y geometría: curso teórico-práctico","Marfil",1977,"JG García;ML Pellicer"
"A characterization of trans-separable spaces","Bulletin of the Belgian Mathematical Society-Simon Stevin",2007,"JC Ferrando;J Kąkol;ML Pellicer"
"On countable bounded tightness for spaces Cp (X)","Journal of mathematical analysis and applications",2003,"J Kakol;M Lopez-Pellicer"
"On spaces weakly‐analytic","Mathematische Nachrichten",2017,"JC Ferrando;J Ka̧kol;M López‐Pellicer"
"Convergence estimates of a family of approximation operators of exponential type","Filomat",2020,"V Gupta;M López-Pellicer;HM Srivastava"
"On the separable quotient problem for Banach spaces","Functiones et Approximatio Commentarii Mathematici",2018,"JC Ferrando;J Kąkol;M López-Pellicer;W Śliwa"
"Compact covers and function spaces","Journal of Mathematical Analysis and Applications",2014,"J Kakol;M Lopez-Pellicer;O Okunev"
