"title","journal","year","otros_investigadores"
"Examples of fuzzy metrics and applications","Fuzzy sets and systems",2011,"V Gregori;S Morillas;A Sapena"
"A fast impulsive noise color image filter using fuzzy metrics","Real-Time Imaging",2005,"S Morillas;V Gregori;G Peris-Fajarnés;P Latorre"
"Fuzzy peer groups for reducing mixed Gaussian-impulse noise from color images","IEEE Transactions on Image Processing",2009,"S Morillas;V Gregori;A Hervás"
"Fast detection and removal of impulsive noise using peer groups and fuzzy metrics","Journal of Visual Communication and Image Representation",2008,"JG Camarena;V Gregori;S Morillas;A Sapena"
"On a class of completable fuzzy metric spaces","Fuzzy sets and systems",2010,"V Gregori;S Morillas;A Sapena"
"A new fuzzy color correlated impulse noise reduction method","IEEE transactions on image processing",2007,"S Schulte;S Morillas;V Gregori;EE Kerre"
"Local self-adaptive fuzzy filter for impulsive noise removal in color images","Signal Processing",2008,"S Morillas;V Gregori;G Peris-Fajarnés;A Sapena"
"Isolating impulsive noise pixels in color images by peer group techniques","Computer Vision and Image Understanding",2008,"S Morillas;V Gregori;G Peris-Fajarnés"
"On convergence in fuzzy metric spaces","Topology and its Applications",2009,"V Gregori;A López-Crevillén;S Morillas;A Sapena"
"A simple fuzzy method to remove mixed Gaussian-impulsive noise from color images","IEEE Transactions on Fuzzy Systems",2012,"JG Camarena;V Gregori;S Morillas;A Sapena"
"A fuzzy logic expert system for selecting optimal and sustainable life cycle maintenance and rehabilitation strategies for road pavements","International journal of pavement engineering",2022,"J Santos;C Torres-Machi;S Morillas;V Cerezo"
"Some questions in fuzzy metric spaces","Fuzzy Sets and Systems",2012,"V Gregori;JJ Miñana;S Morillas"
"New adaptive vector filter using fuzzy metrics","Journal of Electronic Imaging",2007,"S Morillas;V Gregori;G Peris-Fajarnes;A Sapena"
"Two-step fuzzy logic-based method for impulse noise detection in colour images","Pattern Recognition Letters",2010,"JG Camarena;V Gregori;S Morillas;A Sapena"
"A new vector median filter based on fuzzy metrics","Image Analysis and Recognition: Second International Conference, ICIAR",2005,"S Morillas;V Gregori;G Peris-Fajarnés;P Latorre"
"Fuzzy bilateral filtering for color images","Image Analysis and Recognition: Third International Conference, ICIAR",2006,"S Morillas;V Gregori;A Sapena"
"Adaptive marginal median filter for colour images","Sensors",2011,"S Morillas;V Gregori;A Sapena"
"Some improvements for image filtering using peer group techniques","Image and Vision Computing",2010,"JG Camarena;V Gregori;S Morillas;A Sapena"
"Cauchyness and convergence in fuzzy metric spaces","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales. Serie …",2017,"V Gregori;JJ Miñana;S Morillas;A Sapena"
"Efficient impulsive noise suppression based on statistical confidence limits","Journal of Imaging Science and Technology",2006,"J Camacho;S Morillas;P Latorre"
"Robustifying vector median filter","Sensors",2011,"S Morillas;V Gregori"
"Completable fuzzy metric spaces","Topology and its Applications",2017,"V Gregori;JJ Miñana;A Sapena"
"Smoothing vs. sharpening of colour images: Together or separated","Applied mathematics and nonlinear sciences",2017,"C Pérez-Benito;S Morillas;C Jordán;JA Conejero"
"On strong fuzzy metrics","Proceedings of the Workshop in Applied Topology WiAT",2009,"A Sapena;S Morillas"
"A note on convergence in fuzzy metric spaces","Iranian Journal of Fuzzy Systems",2014,"V Gregori;JJ Minana;S Morillas"
"Fuzzy analysis for detection of inconsistent data in experimental datasets employed at the development of the CIEDE2000 colour-difference formula","Journal of Modern Optics",2009,"S Morillas;L Gómez-Robledo;R Huertas;M Melgosa"
"Fuzzy averaging filter for impulse noise reduction in colour images with a correction step","Journal of Visual Communication and Image Representation",2018,"V Gregori;S Morillas;B Roig;A Sapena"
"A soft-switching approach to improve visual quality of colour image smoothing filters","Advanced Concepts for Intelligent Vision Systems:",2007,"S Morillas;S Schulte;T Mélange;EE Kerre;V Gregori"
"Perceptual similarity between color images using fuzzy metrics","Journal of Visual Communication and Image Representation",2016,"S Grečova;S Morillas"
"Characterizing a class of completable fuzzy metric spaces","Topology and its Applications",2016,"V Gregori;JJ Miñana;S Morillas;A Sapena"
"Obstacle-free pathway detection by means of depth maps","Journal of Intelligent & Robotic Systems",2011,"N Ortigosa;S Morillas;G Peris-Fajarnés"
"A model based on local graphs for colour images and its application for Gaussian noise smoothing","Journal of Computational and Applied Mathematics",2018,"C Pérez-Benito;S Morillas;C Jordán;JA Conejero"
"A note on local bases and convergence in fuzzy metric spaces","Topology and its Applications",2014,"V Gregori;JJ Miñana;S Morillas"
"Spectral reflectance reconstruction using fuzzy logic system training: color science application","Sensors",2020,"M Maali Amiri;S Garcia-Nieto;S Morillas;MD Fairchild"
"On continuity and uniform continuity in fuzzy metric spaces","Proc. Workshop Appl. Topology WiAT",2009,"V Gregori;A López-Crevillén;S Morillas"
"Color-quality control using color-difference formulas: progress and problems","Third International Conference on Applications of Optics and Photonics",2017,"M Melgosa;L Gómez-Robledo;PA García;S Morillas;..."
"On probabilistic φ-contractions in Menger spaces","Fuzzy Sets and Systems",2017,"V Gregori;JJ Miñana;S Morillas"
"Fuzzy free path detection from disparity maps by using least-squares fitting to a plane","Journal of Intelligent & Robotic Systems",2014,"N Ortigosa;S Morillas"
"3d environment representation through acoustic images, auditory learning in multimedia systems","Current Developments in Technology-Assisted Education",2006,"DC Toledo;T Magal;S Morillas;G Peris-Fajarnés"
"Method to determine the degrees of consistency in experimental datasets of perceptual color differences","JOSA A",2016,"S Morillas;L Gómez-Robledo;R Huertas;M Melgosa"
"Determinación de componentes conexas en el análisis de zonas homogéneas y de detalle en imágenes a color","Modelling in science education and learning",2018,"C Pérez-Benito;S Morillas;CJ Lluch;JA Conejero"
"Colour image smoothing through a soft-switching mechanism using a graph model","IET Image Processing",2012,"C Jordan;S Morillas;E Sanabria-Codesal"
"Graph-based methods for simultaneous smoothing and sharpening of color images","Journal of Computational and Applied Mathematics",2019,"C Pérez-Benito;C Jordán;JA Conejero;S Morillas"
"A new fuzzy impulse noise detection method for colour images","Image Analysis:",2007,"S Morillas;S Schulte;EE Kerre;G Peris-Fajarnés"
"Fuzzy metrics and peer groups for impulsive noise reduction in color images","",2006,"S Morillas"
"On Principal Fuzzy Metric Spaces","Mathematics",2022,"V Gregori;JJ Miñana;S Morillas;A Sapena"
"Using suprathreshold color-difference ellipsoids to estimate any perceptual color-difference","Journal of Visual Communication and Image Representation",2018,"S Morillas;MD Fairchild"
"Impulsive noise filters for colour images","Color Image and Video Enhancement",2015,"S Morillas;V Gregori;A Sapena;JG Camarena;B Roig"
"Fuzzy quasi-metrics for the Sorgenfrey line","Fuzzy Sets and Systems",2013,"V Gregori;S Morillas;B Roig"
"Fuzzy directional-distance vector filter","Applications of Fuzzy Sets Theory:",2007,"S Morillas;V Gregori;J Riquelme;B Defez;G Peris-Fajarnés"
"A study of neural network-based LCD display characterization","London Imaging Meeting",2021,"J Prats-Climent;L Gòmez-Robledo;R Huertas;S García-Nieto;..."
"Fuzzy free path detection based on dense disparity maps obtained from stereo cameras","International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems …",2012,"N Ortigosa;S Morillas;G Peris-Fajarnes;L Dunai"
"Flexural Strength Evaluation of Nonconstant Thickness Ceramic Floorings by Means of the Finite‐Element Method","International Journal of Applied Ceramic Technology",2010,"B Defez;G Peris‐Fajarnés;I Tortajada;F Brusola;S Morillas"
"Proposal of a new fidelity measure between computed image quality and observers quality scores accounting for scores variability","Journal of Visual Communication and Image Representation",2023,"P Latorre-Carmona;R Huertas;M Pedersen;S Morillas"
"Colour image denoising by eigenvector analysis of neighbourhood colour samples","Signal, Image and Video Processing",2020,"P Latorre-Carmona;JJ Miñana;S Morillas"
"Fuzzy metrics application in video spatial deinterlacing","Applications of Fuzzy Sets Theory:",2007,"J Riquelme;S Morillas;G Peris-Fajarnés;D Castro"
"New method for fast detection and removal of impulsive noise using fuzzy metrics","Image Analysis and Recognition: Third International Conference, ICIAR",2006,"JG Camarena;V Gregori;S Morillas;G Peris-Fajarnés"
"Mode choice support through an integrated Delphi-fuzzy logic model","Research in Transportation Business & Management",2024,"S Asgarpour;A Hartmann;S Morillas;J Santos"
"Graphs based methods for simultaneous smoothing and sharpening","MethodsX",2020,"C Pérez-Benito;C Jordán;JA Conejero;S Morillas"
"Cálculo de cubicaciones mediante aproximación funcional e integración: Un caso práctico para alumnos de ingeniería","Modelling in Science Education and Learning",2012,"FJ Cisneros;S Morillas;JG Camarena"
"On the importance of the choice of the (fuzzy) met-ric for a practical application","Applied Topology: Recent progress for Computer Science, Fuzzy Mathematics …",2010,"JG Camarena;S Morillas"
"Assessment of the learning competence of mathematics for freshmen of the computer science degree","IEEE EDUCON",2010,"JA Conejero;J Juan-Huguet;S Morillas;J Más;E Vendrell"
"Fuzzy metrics and color image filtering","Proceedings of the XVI Encuentro de Topología, Almería, Spain",2009,"S Morillas;A Sapena"
"A Fuzzy Logic Inference System for Display Characterization","Iberian Conference on Pattern Recognition and Image Analysis",2023,"K Almutairi;S Morillas;P Latorre-Carmona;M Dansoko"
"Fuzzy Inference System in a Local Eigenvector Based Color Image Smoothing Framework.","IMPROVE",2023,"K Almutairi;S Morillas;PL Carmona"
"A procedure for detection of border communities using convolution techniques","Modelling for Engineering & Human Behaviour",2021,"JM Montañana;A Hervás;S Morillas;PP Soriano Jiménez"
