"title","journal","year","otros_investigadores"
"On the Sylow graph of a group and Sylow nomalizers","Israel Journal of Mathematics",2011,"LS Kazarin;A Martínez Pastor;MD Pérez-Ramos"
"On finite products of groups and supersolubility","Journal of Algebra",2010,"M Arroyo-Jordá;P Arroyo-Jordá;A Martínez-Pastor;MD Pérez-Ramos"
"Fitting classes and products of totally permutable groups","Journal of Algebra",2002,"P Hauck;A Martınez-Pastor;MD Pérez-Ramos"
"On Sylow normalizers of finite groups","Journal of Algebra and Its Applications",2014,"LS Kazarin;A MARTÍNEZ-PASTOR;MD PÉREZ-RAMOS"
"On the product of two -decomposable soluble groups","",2009,"LS Kazarin;A Martínez-Pastor;MD Pérez-Ramos"
"Finite trifactorised groups and-decomposability","Bulletin of the Australian Mathematical Society",2018,"LS Kazarin;A Martínez-Pastor;MD PÉREZ-RAMOS"
"On the product of a π -group and a  π -decomposable group","Journal of Algebra",2007,"LS Kazarin;A Martínez-Pastor;MD Pérez-Ramos"
"Products of -connected groups","Illinois Journal of Mathematics",2003,"P Hauck;A Martínez-Pastor;MD Pérez-Ramos"
"Products of pairwise totally permutable groups","Proceedings of the Edinburgh Mathematical Society",2003,"P Hauck;A Martínez-Pastor;MD Pérez-Ramos"
"Injectors and radicals in products of totally permutable groups","Communications in Algebra",2003,"P Hauck;A Martínez-Pastor;MD Pérez-Ramos"
"On conditional permutability and factorized groups","Annali di Matematica Pura ed Applicata",2014,"M Arroyo-Jordá;P Arroyo-Jordá;A Martínez-Pastor;MD Pérez-Ramos"
"Finite trifactorized groups and formations","Journal of Algebra",2000,"A Ballester-Bolinches;A Martınez-Pastor;MC Pedraza-Aguilera"
"Square-free class sizes in products of groups","Journal of Algebra",2017,"MJ Felipe;A Martínez-Pastor;VM Ortiz-Sotomayor"
"Nilpotent-like Fitting formations of finite soluble groups","Bulletin of the Australian Mathematical Society",2000,"A Ballester-Bolinches;MD Pérez-Ramos;A Martínez-Pastor"
"Prime power indices in factorised groups","Mediterranean Journal of Mathematics",2017,"MJ Felipe;A Martínez-Pastor;VM Ortiz-Sotomayor"
"On the product of two π-decomposable groups","Revista Matemática Iberoamericana",2015,"LS Kazarin;A Martınez-Pastor;MD Pérez-Ramos"
"Pronormal subgroups of a direct product of groups","Journal of Algebra",2009,"B Brewster;A Martínez-Pastor;MD Pérez-Ramos"
"A reduction theorem for a conjecture on products of two π-decomposable groups","Journal of Algebra",2013,"LS Kazarin;A Martínez-Pastor;MD Pérez-Ramos"
"Embedding properties in direct products","LONDON MATHEMATICAL SOCIETY LECTURE NOTE SERIES",2007,"B Brewster;A Martinez-Pastor;MD Perez-Ramos"
"Zeros of irreducible characters in factorised groups","Annali di Matematica Pura ed Applicata",2019,"MJ Felipe;A Martínez-Pastor;VM Ortiz-Sotomayor"
"Extending the Kegel Wielandt Theorem through π-decomposable groups","London Mathematical Society Lecture Notes Series",2011,"LS Kazarin;A Martínez-Pastor;MD Pérez-Ramos"
"Normally embedded subgroups in direct products","Walter de Gruyter",2006,"B Brewster;A Martínez-Pastor;MD Pérez-Ramos"
"A Survey on Sylow Normalizers and Classes of groups","Applied mathematical sciences",2014,"A D'Aniello;LS Kazarin;A Martínez Pastor;MD Perez Ramos"
"A family of dominant Fitting classes of finite soluble groups","Journal of the Australian Mathematical Society",1998,"A Ballester-Bolinches;A Martínez-Pastor;MD Perez-Ramos"
"Thompson-like characterization of solubility for products of finite groups","Annali di Matematica Pura ed Applicata",2021,"P Hauck;LS Kazarin;A Martínez-Pastor;MD Pérez-Ramos"
"On finite groups with square-free conjugacy class sizes","International Journal of Group Theory",2018,"MJ Felipe;A Martinez-Pastor;VM Ortiz-Sotomayor"
"The -property on products of -decomposable groups","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales. Serie …",2021,"LS Kazarin;A Martínez-Pastor;MD Pérez-Ramos"
"On products of groups and indices not divisible by a given prime","Monatshefte für Mathematik",2020,"MJ Felipe;LS Kazarin;A Martínez-Pastor;V Sotomayor"
"Products of finite connected subgroups","Mathematics",2020,"MP Gállego;P Hauck;LS Kazarin;A Martínez-Pastor;MD Pérez-Ramos"
"Products of Groups and Class Sizes of -Elements","Mediterranean Journal of Mathematics",2020,"MJ Felipe;A Martínez-Pastor;VM Ortiz-Sotomayor"
"Primitive subgroups and PST-groups","Bulletin of the Australian Mathematical Society",2014,"A Ballester-Bolinches;JC Beidleman;R ESTEBAN-ROMERO"
"New progress on factorized groups and subgroup permutability","Groups St. Andrews",2013,"M Arroyo-Jordá;P Arroyo-Jordá;ANA MARTINEZ-PASTOR;..."
