"title","journal","year","otros_investigadores"
"A Study about the Integration of the Elliptical Orbital Motion Based on a Special One‐Parametric Family of Anomalies","Abstract and Applied Analysis",2014,"JA López Ortí;FJ Marco Castillo;MJ Martínez Usó"
"A critical discussion on parametric and nonparametric regression methods applied to Hipparcos-FK5 residuals","Astronomy & Astrophysics",2004,"FJ Marco;MJ Martinez;JA López"
"Geometrical definition of a continuous family of time transformations generalizing and including the classic anomalies of the elliptic two-body problem","Journal of Computational and Applied Mathematics",2017,"JAL Ortí;FJM Castillo;MJM Usó"
"Semi-analytical integration algorithms based on the use of several kinds of anomalies as temporal variable","Planetary and Space Science",2008,"JAL Ortí;MJM Usó;FJM Castillo"
"Occultation of planets by the moon in European narrative medieval sources","Journal for the History of Astronomy",2019,"MJ Martínez Usó;FJ Marco Castillo"
"OSCURAUIT SOL: Stone Engravings and Other Contemporary Spanish Records for the a.d. 1239 and a.d. 1354 Eclipses and Their Astronomical Implications","Journal for the History of Astronomy",2016,"MJ Martínez Usó;FJ Marco Castillo;L Ibáñez"
"A note on the use of generalized Sundman anomalies in the numerical integration of the elliptical orbital motion","Abstract and Applied Analysis",2014,"JA López Ortí;FJ Marco Castillo;MJ Martínez Usó"
"Homogenization in compiling ICRF combined catalogs","Astronomy & Astrophysics",2013,"FJ Marco;MJ Martínez;JA López"
"Computational tools to construct semi-analytical planetary theories","International Journal of Computer Mathematics",2008,"JA López Ortí;MJ Martínez Usó;FJ Marco Castillo"
"About C/539W1 and C/1245D1 as the parent comet of 15-BOOTIDS","Planetary and Space Science",2021,"MJ Martínez;FJ Marco"
"Geometrical definition of a continuous family of time transformations on the hyperbolic two-body problem","Journal of Computational and Applied Mathematics",2018,"JAL Ortí;FJM Castillo;MJM Usó"
"A review of the Dall’Olmo survey of meteors, meteor showers and meteorites in the Middle Ages from medieval European sources","Journal for the History of Astronomy",2017,"MJM Usó;FJM Castillo"
"A possible reference to the solar corona in a contemporary report of the AD1239 eclipse","Journal for the History of Astronomy",2022,"MJ Martínez Usó;FJ Marco Castillo"
"GSC+: software for transferring the Guide Star Catalogue on the FK5 system","Planetary and space science",1997,"AL Garcia;LI Yagudin;MJM Uso"
"Medieval Comets. European and Middle Eastern Perspective","Universitat Politècnica de València",2023,"P Sicoli;R Gorelli;MJ Martínez Usó;FJ Marco"
"Global and Local Three-dimensional Studies of The Residual Vector Field from 2MASS and Hipparcos-2 Catalog","Publications of the Astronomical Society of the Pacific",2019,"FJ Marco;MJ Martínez;JA López"
"A Survey of Meteoric Activity over Spain during the Eighth–Fifteenth Centuries","Journal for the History of Astronomy",2016,"MJ Martínez Usó;FJ Marco Castillo"
"Mètodes numèrics per a enginyers","Ed. Univ. Politéc. Valencia",2005,"MJM Usó;FG Palomares;GR Navarro"
"Analysis of systematic differences of astrometric catalogs in a band","The Astronomical Journal",2004,"FJ Marco;MJ Martínez;JA López"
"A Geometrical Study about the Biparametric Family of Anomalies in the Elliptic Two-Body Problem with Extensions to Other Families","Algorithms",2024,"JA López Ortí;FJ Marco Castillo;MJ Martínez Usó"
"Ecuaciones diferenciales. Introducción","",2024,"MJ Martínez Uso"
"Ecuaciones diferenciales. Variables separables","",2024,"MJ Martínez Uso"
"A new point of view about a biparametric family of anomalies in the elliptic motion","Autoeditado por comité congreso",2023,"JA López Ortí;FJ Marco Castillo;MJ Martínez Usó"
"Suma de una serie numérica a partir de una SP","",2023,"MJ Martínez Uso"
"Obtención de la SP de una composición de funciones","",2023,"MJ Martínez Uso"
"La regla de la cadena vectorial","",2023,"MJ Martínez Uso"
"La regla de la cadena escalar","",2023,"MJ Martínez Uso"
"The total eclipse of the sun of July 29, AD1478, in contemporary Spanish documents","Journal for the History of Astronomy",2023,"MJ Martínez Usó;FJ Marco Castillo"
"Función suma de una serie de potencias. Propiedades","",2022,"MJ Martínez Uso"
"Derivación e integración de series de potencias","",2022,"MJ Martínez Uso"
"Series de potencias no centradas en cero.","",2022,"MJ Martínez Uso"
"Cálculo de primitivas mediante series de potencias","",2022,"MJ Martínez Uso"
"Series de potencias","",2022,"MJ Martínez Uso"
"Operaciones con series de potencias","",2022,"MJ Martínez Uso"
"New and improved orbits of historical comets: Late 4th and 5th century","Elsevier",2022,"FJ Marco Castillo;MJ Martínez Usó;P Sicoli;R Gorelli"
"Cambio de variables para integrales dobles. Coordenadas polares: Uso de las coordenadas polares para calcular integrales dobles sobre recintos circulares","Universitat Politècnica de València",2020,"MJ Martínez Uso"
"Cambio de variables para integrales dobles: Uso de diferentes sistemas de coordenadas generales para resolver integrales dobles","Universitat Politècnica de València",2020,"MJ Martínez Uso"
"Calculo de plano tangente y recta normal","Universitat Politècnica de València",2019,"MJ Martínez Uso"
"Integrales dobles. Introducción","Universitat Politècnica de València",2019,"MJ Martínez Uso"
"Integrales dobles sobre recintos generales","Universitat Politècnica de València",2019,"MJ Martínez Uso"
"Suma de series telescópicas","Universitat Politècnica de València",2019,"MJ Martínez Uso"
"Suma de series geométricas","Universitat Politècnica de València",2019,"MJ Martínez Uso"
"Continuidad de funciones de una variable","Universitat Politècnica de València",2019,"MJ Martínez Uso"
"Written on stone: Engraved European medieval solar eclipses","Cambridge University Press",2019,"MJ Martínez Usó;FJ Marco"
"Operaciones con números complejos: potencias y raíces","Universitat Politècnica de València",2018,"MJ Martínez Uso"
"Derivadas parciales de un campo escalar","Universitat Politècnica de València",2018,"MJ Martínez Uso"
"Representación de números complejos: forma binómica, forma polar","Universitat Politècnica de València",2018,"MJ Martínez Uso"
"Números complejos: conceptos fundamentales","Universitat Politècnica de València",2018,"MJ Martínez Uso"
"Desarrollo de Taylor de la función binómica","Universitat Politècnica de València",2018,"MJ Martínez Uso"
"Desarrollo de una función en polinomio de Taylor (McLaurin)","Universitat Politècnica de València",2017,"MJ Martínez Uso"
"Serie de Taylor una función (McLaurin)","Universitat Politècnica de València",2017,"MJ Martínez Uso"
"La función potencial","Universitat Politècnica de València",2017,"MJ Martínez Uso"
"Extremos locales de funciones de dos variables","Universitat Politècnica de València",2017,"MJ Martínez Uso"
"Descomposición en fracciones simples","Universitat Politècnica de València",2017,"MJ Martínez Uso"
"Extremos locales para funciones de varias variables","Universitat Politècnica de València",2017,"MJ Martínez Uso"
"Aplicaciones de la integral de Riemann","Universitat Politècnica de València",2017,"MJ Martínez Uso"
"Integración de funciones racionales","Universitat Politècnica de València",2017,"MJ Martínez Uso"
"Convergencia de series: Criterios para series de términos positivos","Universitat Politècnica de València",2016,"MJ Martínez Uso"
"Convergencia de series: Convergencia absoluta y reordenación","Universitat Politècnica de València",2016,"MJ Martínez Uso"
"Convergencia de Series: Teoremas de Comparación","Universitat Politècnica de València",2016,"MJ Martínez Uso"
"Cálculo de límites: El criterio de Stolz","Universitat Politècnica de València",2016,"MJ Martínez Uso"
"Cálculo de límites de sucesiones: El criterio del Sandwich","Universitat Politècnica de València",2016,"MJ Martínez Uso"
"Cálculo de límites de sucesiones: Aplicación de la fórmula de Stirling","Universitat Politècnica de València",2016,"MJ Martínez Uso"
