"title","journal","year","otros_investigadores"
"Square-free class sizes in products of groups","Journal of Algebra",2017,"MJ Felipe;A Martínez-Pastor;VM Ortiz-Sotomayor"
"Prime power indices in factorised groups","Mediterranean Journal of Mathematics",2017,"MJ Felipe;A Martínez-Pastor;VM Ortiz-Sotomayor"
"Zeros of irreducible characters in factorised groups","Annali di Matematica Pura ed Applicata",2019,"MJ Felipe;A Martínez-Pastor;VM Ortiz-Sotomayor"
"The prime graph on class sizes of a finite group has a bipartite complement","Journal of Algebra",2020,"S Dolfi;E Pacifici;L Sanus;V Sotomayor"
"Análisis de la ansiedad matemática en futuros emprendedores","Innovaciones docentes en tiempos de pandemia. Actas del VI congreso …",2021,"M Maldonado;V Sotomayor"
"On finite groups with square-free conjugacy class sizes","International Journal of Group Theory",2018,"MJ Felipe;A Martinez-Pastor;VM Ortiz-Sotomayor"
"Groups whose prime graph on class sizes has a cut vertex","Israel Journal of Mathematics",2021,"S Dolfi;E Pacifici;L Sanus;V Sotomayor"
"On zeros of irreducible characters lying in a normal subgroup","Annali di Matematica Pura ed Applicata",2020,"MJ Felipe;N Grittini;V Sotomayor"
"Non-solvable groups whose character degree graph has a cut-vertex. I","Vietnam Journal of Mathematics",2023,"S Dolfi;E Pacifici;L Sanus;V Sotomayor"
"On products of groups and indices not divisible by a given prime","Monatshefte für Mathematik",2020,"MJ Felipe;LS Kazarin;A Martínez-Pastor;V Sotomayor"
"Products of Groups and Class Sizes of -Elements","Mediterranean Journal of Mathematics",2020,"MJ Felipe;A Martínez-Pastor;VM Ortiz-Sotomayor"
"Jugando con la Teoría de Grupos: rompecabezas, puzzles y otros entretenimientos matemáticos","Modelling in Science Education and Learning",2018,"MJ Felipe;V Sotomayor"
"On G-character tables for normal subgroups","Quaestiones Mathematicae",2023,"MJ Felipe;MD Pérez-Ramos;V Sotomayor"
"Finite groups whose prime graph on class sizes is a block square","Communications in Algebra",2022,"V Sotomayor"
"Análisis de estructuras algebraicas mediante la modelización de puzzles y rompecabezas","IN-RED",2018,"MJ Felipe Román;V Sotomayor"
"Clases de conjugación y grupos factorizados","Universitat Politècnica de València",2016,"VM Ortiz Sotomayor"
"Groups Whose Common Divisor Graph on p-Regular Classes has Diameter Three","Mediterranean Journal of Mathematics",2025,"MJ Felipe;MK Jean-Philippe;V Sotomayor"
"Codes in algebras of direct products of groups and associated quantum codes","arXiv preprint arXiv:",2024,"M Sales;X Soler-Escrivà;V Sotomayor"
"A completeness criterion for the common divisor graph on -regular class sizes","arXiv preprint arXiv:",2024,"V Sotomayor"
"On -character tables for normal subgroups","arXiv e-prints, arXiv:",2024,"M José Felipe;MD Pérez-Ramos;V Sotomayor"
"Determining hypercentral Hall subgroups in finite groups","Bulletin of the Malaysian Mathematical Sciences Society",2024,"V Sotomayor"
"Classification of groups with triangle-free graphs on p-regular classes","arXiv preprint arXiv:",2024,"MJ Felipe;MK Jean-Philippe;V Sotomayor"
"Classification of groups whose common divisor graph on -regular classes has no triangles","arXiv e-prints, arXiv:",2024,"M José Felipe;MK Jean-Philippe;V Sotomayor"
"Finite groups and the class-size prime graph revisited","arXiv preprint arXiv:",2022,"V Sotomayor"
"Estrategias de co-enseñanza: matemáticas y economía","Suma",2022,"M Maldonado Devis;V Sotomayor"
"On the prime graph associated with class sizes of a finite group","TEMat monográficos",2021,"V Sotomayor"
"Last row effect:¿ influye el sitting en los resultados del estudiante?","IN-RED",2021,"V Sotomayor;M Maldonado;J Villagrasa"
"Grafo asociado a los tamaños de las clases de conjugación de un grupo finito","TEMat: Divulgación de trabajos de estudiantes de matemáticas",2020,"V Sotomayor"
"Conjugacy classes and factorised groups","Universitat Politècnica de València",2019,"VM Ortiz Sotomayor"
"Recursos computacionales algebraicos en el Grado en Matemáticas","Universidad de Alicante. Instituto de Ciencias de la Educación",2019,"VM Ortiz Sotomayor;X Soler-Escrivà"
"Experiències educatives tècniques computacionals en les assignatures d'Àlgebra de la titulació de Matemàtiques","Universitat d’Alacant. Institut de Ciències de l’Educació",2019,"C Alonso-González;R Guerrero Francés;MÁ Navarro-Pérez;..."
"Números enteros, relojes y criptografía","Pi-InnovaMath",2019,"MJ Felipe Román;FJ Monserrat Delpalillo;V Sotomayor"
"Zeros of irreducible characters in factorised groups","",2019,"V Sotomayor;MJ Felipe Román;A Martínez-Pastor"
"Números enteros, relojes y criptografía","Pi-InnovaMath",2019,"MJ Felipe;F Monserrat;VMO Sotomayor"
"Influencia de los tamaños de clase en grupos finitos","TEMat: Divulgación de trabajos de estudiantes de matemáticas",2017,"VM Ortiz Sotomayor"
"Clases de conjugación y grupos factorizados","",2016,"VMO Sotomayor"
"Análisis de la ansiedad matemática en futuros emprendedores","",NA,"M Maldonado;V Sotomayor"
