"title","journal","year","otros_investigadores"
"Scientific literature analysis of Judo in Web of Science","Archives of budo",2013,"MF Peset Mancebo;A Ferrer Sapena;M Villamón Herrera;..."
"Open data y linked open data: su impacto en el área de bibliotecas y documentación","Profesional de la Información",2011,"F Peset;A Ferrer-Sapena;I Subirats-Coll"
"Acceso a los datos públicos y su reutilización: open data y open government","Profesional de la información",2011,"A Ferrer-Sapena;F Peset;R Aleixandre-Benavent"
"An author keyword analysis for mapping Sport Sciences","PloS one",2018,"LM González;X García-Massó;A Pardo-Ibañez;F Peset;J Devís-Devís"
"Web 2.0 en medicina y pediatría (y II).","Acta pediátrica española",2011,"S Coronado Ferrer;F Peset Mancebo;A Ferrer Sapena;..."
"Survival analysis of author keywords: An application to the library and information sciences area","Journal of the Association for Information Science and Technology",2020,"F Peset;F Garzón‐Farinós;LM González;X García‐Massó;..."
"Datos abiertos de investigación. Camino recorrido y cuestiones pendientes","Anales de documentación",2017,"F Peset;R Aleixandre-Benavent;Y Blasco-Gil;A Ferrer-Sapena"
"Compartir los recursos útiles para la investigación: datos abiertos (open data)","Educación Médica",2021,"R Aleixandre-Benavent;AF Sapena;F Peset"
"Data journals: eclosión de nuevas revistas especializadas en datos","El profesional de la información",2015,"A García García;A López Borrull;MF Peset Mancebo"
"Bibliotecas digitales en Internet de libro raro, antiguo e incunables","Anales de documentación",2003,"MFP Mancebo"
"Evolución social y networking en la comunidad biblio-documental","Profesional de la información",2008,"F Peset;A Ferrer-Sapena;T Baiget"
"Guía metodológica para la implantación de una biblioteca digital universitaria","Gijón, España Ediciones Trea",2005,"A Ferrer Sapena;F Peset Mancebo;MT Moreno Núñez;N Lloret Romero"
"The Impact Factor as a measuring tool of the prestige of the journals in research assessment in mathematics","Research evaluation",2016,"A Ferrer-Sapena;EA Sánchez-Pérez;F Peset;LM González;..."
"Informatización de la historia clínica en España","Profesional de la información",2010,"R Aleixandre-Benavent;A Ferrer-Sapena;F Peset"
"Research data sharing in Spain: Exploring determinants, practices, and perceptions","Data",2020,"R Aleixandre-Benavent;A Vidal-Infer;A Alonso-Arroyo;F Peset;..."
"Herramientas de análisis de datos bibliográficos y construcción de mapas de conocimiento: Bibexcel y Pajek","BiD. Textos Universitaris de Biblioteconomia i Documentació",2015,"A García-García;A Pardo-Ibáñez;A Ferrer Sapena;MF Peset Mancebo;..."
"Normalización de la información: la aportación de IraLIS","El Profesional de la Informacion",2007,"T Baiget;JM Rodríguez-Gairín;F Peset;I Subirats;A Ferrer Sapena"
"Gestión de datos de investigación: infraestructuras para su difusión","El profesional de la información",2013,"L Millán González;T Saorín;A Ferrer Sapena;R Alexandre Benavent;..."
"Cómo analizar el impacto de los datos de investigación con métricas: modelos y servicios","El Profesional de la Información",2016,"A Ferrer-Sapena;EA Sánchez-Pérez;R Aleixandre-Benavent;F Peset"
"Factores para la adopción de linked data e implantación de la web semántica en bibliotecas, archivos y museos","Information research",2013,"T Saorín;MF Peset Mancebo;A Ferrer Sapena"
"CVN: normalización de los currículos científicos","Profesional de la información",2008,"JM Báez;F Peset;F Núñez;A Ferrer-Sapena"
"The impact of COVID-19 on sport in twitter: A quantitative and qualitative content analysis","International journal of environmental research and public health",2021,"LM Gonzalez;J Devis-Devis;M Pellicer-Chenoll;M Pans;A Pardo-Ibanez;..."
"Policies regarding public availability of published research data in pediatrics journals","Scientometrics",2019,"R Aleixandre-Benavent;AF Sapena;SC Ferrer;F Peset;AG García"
"Trabajar con datos abiertos en tiempos de pandemia: uso de covidDATA-19","El profesional de la información",2020,"SD Toro;M Isabel;JM Calabuig;A Ferrer Sapena;MF Peset Mancebo"
"Ciencia abierta y gestión de datos de investigación (RDM)","",2017,"F Peset;LM González"
"Implantación de la Open Archives Initiative en España","Information Research",2008,"F Peset;A Ferrer-Sapena"
"Enriqueciendo la investigación en humanidades digitales. Análisis de textos de claustros académicos de la Universidad de Valencia (1775-1779) con KH Coder","Revista española de documentación científica",2019,"Y Blasco Gil;LM González;A Pavón Romero;M Mercado Estrada;..."
"Mathematical properties of weighted impact factors based on measures of prestige of the citing journals","Scientometrics",2015,"A Ferrer-Sapena;EA Sánchez-Pérez;LM González;F Peset;..."
"Reutilización de datos culturales","Anuario ThinkEPI",2012,"A Ferrer-Sapena;F Peset"
"Ciencia abierta y gestión de datos de investigación","Gijón: TREA",2017,"F Peset;LM González"
"Use of OAI protocol and its impact in digital libraries: a case study in Spain, Portugal and Latin America","Prasad, ARD and Madalli, Devika P., Eds. Proceedings International …",2007,"F Peset;A Ferrer;I Subirats;A Muñoz"
"El recuento de los libros de matrícula de la universidad de México","Generalitat Valenciana",1999,"M Peset;MF Mancebo;MF Peset"
"Gestión de los datos brutos de investigación en los investigadores españoles en ciencias de la salud","Trauma (Majadahonda)",2015,"R Aleixandre-Benavent;A Vidal-Infer;A Alonso-Arroyo;A Ferrer-Sapena;..."
"Datasharing: guía práctica para compartir datos de investigación","Profesional de la información",2013,"V Nina-Alcocer;Y Blasco-Gil;F Peset"
"Normativas interoperables sobre control de autoridades para bibliotecas digitales semánticas","Investigación bibliotecológica",2018,"F Garzón-Farinós;F Peset"
"Políticas editoriales en la documentación española e implantación de E-LIS (E-Prints in Library and Information Science)","",2003,"FP Mancebo;IS Coll;AJ Tarradelles;JMB Cruz;NN Doménech;..."
"Universidades españolas y americanas. Época colonial","Valencia: CSIC Generalitat Valenciana",1987,"M Peset"
"FAIR degree assessment in agriculture datasets using the F-UJI tool","Ecological Informatics",2023,"L Petrosyan;R Aleixandre-Benavent;F Peset;JC Valderrama-Zurián;..."
"Carencias informativas de los datos abiertos en España","Anuario ThinkEPI",2014,"MF Peset Mancebo;AL Fernández López"
"ODiSEA: International registry on research data","BiD: textos universitaris de biblioteconomia i documentació",2012,"A García-García;JM Rodríguez-Gairín;T Saorín;LM González;..."
"Colecciones de fotografía en España. Propuesta del directorio de fotografía en España (DeFOTO)","",2010,"M Gato-Gutiérrez;P Benlloch;P Maynés;R Aleixandre;LM González;..."
"Self-defined information indices: application to the case of university rankings","Scientometrics",2020,"A Ferrer-Sapena;E Erdogan;E Jiménez-Fernández;EA Sánchez-Pérez;..."
"Análisis de los directorios privados de información empresarial española","Profesional de la información",2007,"A Ferrer;F Peset"
"Interoperatividad entre repositorios y proveedores de servicios","Repositorios institucionales: una vía hacia el acceso, la visibilidad y la …",2006,"F Peset;J Prats"
"Presentación del proyecto: Guía metodológica para la implantación de una biblioteca Digital Universitaria","Revista general de información y documentación",2002,"AF Sapena;NL Romero;MTM Nuñez"
"Los registros de autoridades personales de la comunidad bibliotecaria revisitados en la web semántica","Anales de Documentación",2018,"F Garzón-Farinós;FP Mancebo"
"Datos abiertos enlazados linked open data (LOD) en documentación científica","Universitat Politècnica de València",2013,"A Garcia Garcia"
"Análisis de la variabilidad de nombres de autor españoles en depósitos digitales universitarios de acceso abierto: un estudio por áreas de conocimiento","Revista española de documentación científica",2009,"E Orduña Malea;MF Peset Mancebo;A Ferrer Sapena"
"New techniques of scientific publication. Third Medes-Lilly workshop","Profesional de La Informacion",2008,"F Peset"
"Nuevas técnicas de publicación científica. Tercera Jornada Medes-Lilly","Profesional de la información",2008,"F Peset"
"Enriching research in digital humanities. Analysis of the University of Valencia scholar cloisters (1775-1779) with KH Coder","Revista Espanola De Documentacion Cientifica",2020,"Y Blasco Gil;LM Gonzalez;A Pavon-Romero;M Mercado-Estrada;..."
"Tools for analysing bibliographic data and making knowledge maps: Bilbexcel and Pajek","Bid-Textos Universitaris de Biblioteconomia I Documentacio",2015,"A Garcia-Garcia;A Pardo-Ibanez;A Ferrer Sapena;F Peset;..."
"Factors for the adoption of linked data and implementation of web semantics in libraries, archives and museums","INFORMATION RESEARCH-AN INTERNATIONAL ELECTRONIC JOURNAL",2013,"T Saorin;F Peset;A Ferrer-Sapena"
"DSpace and the standardization of the information: names of Spanish authors","",2007,"F Peset;T Baiget;A Ferrer-Sapena;JM Rodríguez-Gairín"
"Recursos de información distribuidos en red: contenidos digitales para unidades documentales de arte en España","Homenaje a Juan Antonio Sagredo Fernández: estudios de bibliografía y …",2001,"F Peset"
"Share useful resources for research: Open data","Elsevier",2019,"R Aleixandre-Benavent;A Ferrer-Sapena;F Peset"
"Citations to arXiv preprints by indexed journals and their impact on research evaluation","Journal of Information Science Theory and Practice",2018,"A Ferrer-Sapena;R Aleixandre-Benavent;F Peset;EA Sánchez-Pérez"
"Text mining versus redes neuronales. Dos métodos de análisis  aplicados al caso de las políticas de las revistas sobre datos","",2014,"A García-García;X García-Massó;A Ferrer-Sapena;LM González;..."
"Access to and reuse of public data: open data and open government","Profesional de la Informacion",2011,"A Ferrer-Sapena;F Peset;R Aleixandre-Benavent"
"El aprendizaje desde la práctica: integración de nuevas metodologías docentes en Documentación","Scire: representación y organización del conocimiento",2004,"FP Mancebo;AF Sapena;NL Romero"
