"title","journal","year","otros_investigadores"
"Rainbow-trapping absorbers: Broadband, perfect and asymmetric sound absorption by subwavelength panels for transmission problems","Scientific reports",2017,"N Jiménez;V Romero-García;V Pagneux;JP Groby"
"Ultra-thin metamaterial for perfect and quasi-omnidirectional sound absorption","Applied Physics Letters",2016,"N Jiménez;W Huang;V Romero-García;V Pagneux;JP Groby"
"Perfect and broadband acoustic absorption by critically coupled sub-wavelength resonators","Scientific reports",2016,"V Romero-García;G Theocharis;O Richoux;A Merkel;V Tournat;..."
"Use of complex frequency plane to design broadband and sub-wavelength absorbers","The Journal of the Acoustical Society of America",2016,"V Romero-García;G Theocharis;O Richoux;V Pagneux"
"Quasiperfect absorption by subwavelength acoustic panels in transmission using accumulation of resonances due to slow sound","Physical Review B",2017,"N Jiménez;V Romero-García;V Pagneux;JP Groby"
"Control of acoustic absorption in one-dimensional scattering by resonant scatterers","Applied Physics Letters",2015,"A Merkel;G Theocharis;O Richoux;V Romero-García;V Pagneux"
"Formation of high-order acoustic Bessel beams by spiral diffraction gratings","Physical Review E",2016,"N Jiménez;R Picó;V Sánchez-Morcillo;V Romero-García;..."
"Limits of slow sound propagation and transparency in lossy, locally resonant periodic structures","New Journal of Physics",2014,"G Theocharis;O Richoux;VR García;A Merkel;V Tournat"
"Evidences of evanescent Bloch waves in phononic crystals","Applied Physics Letters",2010,"V Romero-García;JV Sánchez-Pérez;S Castiñeira-Ibáñez;..."
"Tunable wideband bandstop acoustic filter based on two-dimensional multiphysical phenomena periodic systems","Journal of applied physics",2011,"V Romero-García;JV Sánchez-Pérez;LM Garcia-Raffi"
"Multi-resonant scatterers in sonic crystals: Locally multi-resonant acoustic metamaterial","Journal of Sound and Vibration",2013,"V Romero-García;A Krynkin;LM Garcia-Raffi;O Umnova;..."
"Metadiffusers: Deep-subwavelength sound diffusers","Scientific reports",2017,"N Jiménez;TJ Cox;V Romero-García;JP Groby"
"Sharp acoustic vortex focusing by Fresnel-spiral zone plates","Applied Physics Letters",2018,"N Jiménez;V Romero-García;LM García-Raffi;F Camarena;K Staliunas"
"Enhancement of sound in chirped sonic crystals","Applied Physics Letters",2013,"V Romero-García;R Picó;A Cebrecos;VJ Sánchez-Morcillo;K Staliunas"
"Evanescent modes in sonic crystals: Complex dispersion relation and supercell approximation","Journal of Applied Physics",2010,"V Romero-García;JV Sánchez-Pérez;LM Garcia-Raffi"
"Underwater metamaterial absorber with impedance-matched composite","Science Advances",2022,"S Qu;N Gao;A Tinel;B Morvan;V Romero-García;JP Groby;P Sheng"
"Unidirectional zero sonic reflection in passive -symmetric Willis media","Physical Review B",2018,"A Merkel;V Romero-García;JP Groby;J Li;J Christensen"
"Acoustic waves in periodic structures, metamaterials, and porous media","Ch. the Transfer Matrix Method in Acoustics, Springer International …",2021,"N Jiménez;O Umnova;JP Groby"
"Extraordinary absorption of sound in porous lamella-crystals","Scientific reports",2014,"J Christensen;V Romero-García;R Picó;A Cebrecos;FJG De Abajo;..."
"Design, manufacture and characterization of an acoustic barrier made of multi-phenomena cylindrical scatterers arranged in a fractal-based geometry","Archives of Acoustics",2012,"S Castineira-Ibanez;C Rubio;V Romero-Garcia;JV Sánchez-Pérez;..."
"Acoustic modeling of micro-lattices obtained by additive manufacturing","Applied Acoustics",2020,"J Boulvert;J Costa-Baptista;T Cavalieri;M Perna;ER Fotsing;..."
"Hole distribution in phononic crystals: Design and optimization","The Journal of the Acoustical Society of America",2009,"V Romero-García;JV Sánchez-Pérez;LM García-Raffi;JM Herrero;..."
"Three-dimensional multiresonant lossy sonic crystal for broadband acoustic attenuation: Application to train noise reduction","Applied Acoustics",2019,"T Cavalieri;A Cebrecos;JP Groby;C Chaufour;V Romero-García"
"Propagating and evanescent properties of double-point defects in sonic crystals","New Journal of Physics",2010,"V Romero-García;JV Sánchez-Pérez;LM Garcia-Raffi"
"Optimally graded porous material for broadband perfect absorption of sound","Journal of Applied Physics",2019,"J Boulvert;T Cavalieri;J Costa-Baptista;L Schwan;V Romero-García;..."
"Optimization of sonic crystal attenuation properties by ev-MOGA multiobjective evolutionary algorithm","Structural and Multidisciplinary Optimization",2009,"JM Herrero;S García-Nieto;X Blasco;V Romero-García;..."
"Second-harmonic generation for dispersive elastic waves in a discrete granular chain","Physical Review E—Statistical, Nonlinear, and Soft Matter Physics",2013,"VJ Sánchez-Morcillo;I Pérez-Arjona;V Romero-García;V Tournat;..."
"Fundamentals and applications of acoustic metamaterials: from seismic to radio frequency","John Wiley & Sons",2019,"V Romero-Garcia;AC Hladky-Hennion"
"Interpretation of the acoustic black hole effect based on the concept of critical coupling","Journal of Sound and Vibration",2020,"J Leng;V Romero-García;A Pelat;R Pico;JP Groby;F Gautier"
"Perfect absorption in mirror-symmetric acoustic metascreens","Physical Review Applied",2020,"V Romero-García;N Jiménez;JP Groby;A Merkel;V Tournat;..."
"Tunable acoustic waveguides in periodic arrays made of rigid square-rod scatterers: theory and experimental realization","Journal of Physics D: Applied Physics",2013,"V Romero-García;C Lagarrigue;JP Groby;O Richoux;V Tournat"
"Band gap creation using quasiordered structures based on sonic crystals","Applied Physics Letters",2006,"V Romero-García;E Fuster;LM García-Raffi;EA Sánchez-Pérez;..."
"Design of acoustic metamaterials made of Helmholtz resonators for perfect absorption by using the complex frequency plane","Comptes Rendus. Physique",2020,"V Romero-García;N Jimenez;G Theocharis;V Achilleos;A Merkel;..."
"Wave focusing using symmetry matching in axisymmetric acoustic gradient index lenses","Applied Physics Letters",2013,"V Romero-García;A Cebrecos;R Picó;VJ Sánchez-Morcillo;..."
"Folded metaporous material for sub-wavelength and broadband perfect sound absorption","Applied Physics Letters",2020,"J Boulvert;J Costa-Baptista;T Cavalieri;V Romero-García;G Gabard;..."
"Perfect absorption of sound by rigidly-backed high-porous materials","Acta Acustica united with Acustica",2018,"N Jiménez;V Romero-García;JP Groby"
"Complex dispersion relation of surface acoustic waves at a lossy metasurface","Applied Physics Letters",2017,"L Schwan;A Geslain;V Romero-García;JP Groby"
"Aerogel-based metasurfaces for perfect acoustic energy absorption","Applied Physics Letters",2019,"AA Fernández-Marín;N Jiménez;JP Groby;J Sánchez-Dehesa;..."
"Acoustic Bessel-like beam formation by an axisymmetric grating","Europhysics Letters",2014,"N Jimenez;V Romero-García;R Picó;A Cebrecos;VJ Sánchez-Morcillo;..."
"Sound absorption and diffusion by 2D arrays of Helmholtz resonators","Applied Sciences",2020,"I Herrero-Durá;A Cebrecos;R Picó;V Romero-García;LM García-Raffi;..."
"Broadband quasi perfect absorption using chirped multi-layer porous materials","AIP Advances",2016,"N Jiménez;V Romero-García;A Cebrecos;R Pico;VJ Sánchez-Morcillo;..."
"Enhancement of sound by soft reflections in exponentially chirped crystals","AIP Advances",2014,"A Cebrecos;R Picó;VJ Sánchez-Morcillo;K Staliunas;V Romero-García;..."
"Targeted band gap creation using mixed sonic crystal arrays including resonators and rigid scatterers","Applied physics letters",2007,"E Fuster-Garcia;V Romero-García;JV Sánchez-Pérez;LM Garcia-Raffi"
"Evanescent waves and deaf bands in sonic crystals","Aip Advances",2011,"V Romero-García;LM Garcia-Raffi;JV Sánchez-Pérez"
"Stealth acoustic materials","Physical Review Applied",2019,"V Romero-García;N Lamothe;G Theocharis;O Richoux;LM Garcia-Raffi"
"High-order acoustic Bessel beam generation by spiral gratings","Physics Procedia",2015,"N Jiménez;VJ Sánchez-Morcillo;R Pico;LM Garcia-Raffi;..."
"Perfect, broadband, and sub-wavelength absorption with asymmetric absorbers: Realization for duct acoustics with 3D printed porous resonators","Journal of Sound and Vibration",2022,"J Boulvert;T Humbert;V Romero-García;G Gabard;ER Fotsing;A Ross;..."
"Limits of flexural wave absorption by open lossy resonators: reflection and transmission problems","New Journal of Physics",2019,"J Leng;F Gautier;A Pelat;R Pico;JP Groby;V Romero-García"
