"title","journal","year","otros_investigadores"
"The Hausdorff fuzzy metric on compact sets","Fuzzy sets and systems",2004,"J Rodrı́guez-López;S Romaguera"
"Denotational semantics for programming languages, balanced quasi-metrics and fixed points","International Journal of Computer Mathematics",2008,"J Rodríguez-López;S Romaguera;O Valero"
"S-topologies and bounded convergences","Journal of mathematical analysis and applications",2008,"G Beer;S Naimpally;J Rodríguez-López"
"Aggregation of fuzzy quasi-metrics","Information Sciences",2021,"T Pedraza;J Rodríguez-López;Ó Valero"
"The relationship between the Vietoris topology and the Hausdorff quasi-uniformity","Topology and its Applications",2002,"J Rodríguez-López;S Romaguera"
"The Hausdorff fuzzy quasi-metric","Fuzzy Sets and Systems",2010,"J Rodríguez-López;S Romaguera;JM Sánchez-Álvarez"
"On fuzzy uniformities induced by a fuzzy metric space","Fuzzy Sets and Systems",2018,"J Gutierrez Garcia;J Rodríguez López;S Romaguera Bonilla"
"Wijsman and hit-and-miss topologies of quasi-metric spaces","Set-Valued Analysis",2003,"J Rodríguez-López;S Romaguera"
"On hyperspace topologies via distance functionals in quasi-metric spaces","Acta Mathematica Hungarica",2006,"J Cao;J Rodríguez-López"
"An extension of the dual complexity space and an application to computer science","Topology and its Applications",2009,"J Rodríguez-López;MP Schellekens;O Valero"
"Aggregation of weak fuzzy norms","Symmetry",2021,"T Pedraza;J Ramos-Canós;J Rodríguez-López"
"Some properties of bornological convergences","Topology and its Applications",2011,"J Rodríguez-López;MA Sánchez-Granero"
"Asymptotic complexity of algorithms via the nonsymmetric Hausdorff distance","Computing Letters",2004,"J Rodríguez-López;S Romaguera;O Valero"
"Aggregation of L-Probabilistic Quasi-Uniformities","Mathematics",2020,"T Pedraza;J Rodríguez-López"
"Convergence of fuzzy sets with respect to the supremum metric","Fuzzy Sets and Systems",2014,"T Pedraza;J Rodríguez-López;S Romaguera"
"Fuzzy uniform structures","Filomat",2017,"J Rodríguez López"
"The Wijsman topology of a fuzzy metric space","Fuzzy Sets and Systems",2016,"JG Garcia;J Rodríguez-López;S Romaguera;M Sanchis"
"Closedness of bounded convex sets of asymmetric normed linear spaces and the Hausdorff quasi-metric","Bulletin of the Belgian Mathematical Society-Simon Stevin",2006,"J Rodríguez-López;S Romaguera"
