"title","journal","year","otros_investigadores"
"Optimal domain and integral extension of operators","Operator Theory: Advances and Applications",2008,"S Okada;W Ricker;EAS Pérez"
"Control of noise by trees arranged like sonic crystals","Journal of sound and vibration",2006,"R Martínez-Sala;C Rubio;LM García-Raffi;JV Sánchez-Pérez;..."
"Spaces of p-integrable Functions with Respect to a Vector Measure","Positivity",2006,"A Fernández;F Mayoral;F Naranjo;C Sáez;EA Sánchez-Pérez"
"Sequence spaces and asymmetric norms in the theory of computational complexity","Mathematical and computer modelling",2002,"LM García-Raffi;S Romaguera;EA Sánchez-Pérez"
"Compactness arguments for spaces of -integrable functions with respect to a vector measure and factorization of operators through Lebesgue-Bochner spaces","Illinois Journal of Mathematics",2001,"EAS Pérez"
"Validation of the use of Actigraph GT3X accelerometers to estimate energy expenditure in full time manual wheelchair users with spinal cord injury","Spinal cord",2013,"X García-Massó;P Serra-Añó;LM García-Raffi;EA Sánchez-Pérez;..."
"Open data, big data:¿ hacia dónde nos dirigimos?","Anuario ThinkEPI",2013,"A Ferrer-Sapena;EA Sánchez-Pérez"
"Epidemiological, Microbiological, Clinical, and Prognostic Factors of Bacteremia Caused by High-Level Vancomycin-Resistant Enterococcus Species","European Journal of Clinical Microbiology and Infectious Diseases",2000,"V Peset;P Tallon;C Sola;E Sanchez;A Sarrion;C Perez-Belles;A Vindel;..."
"Bicompleting weightable quasi-metric spaces and partial metric spaces","Rendiconti del Circolo Matematico di Palermo",2002,"S Oltra;S Romaguera;EA Sánchez-Pérez"
"The dual space of an asymmetric normed linear space","Quaestiones Mathematicae",2003,"LM García-Raffi;R Sanchez-Pérez"
"On Hausdorff asymmetric normed linear spaces","Houston J. Math",2003,"LM García-Raffi;S Romaguera;EA Sánchez-Pérez"
"Lipschitz operator ideals and the approximation property","Journal of Mathematical Analysis and Applications",2016,"D Achour;P Rueda;EA Sánchez-Pérez;R Yahi"
"Generalized perfect spaces","Indagationes Mathematicae",2008,"JM Calabuig;O Delgado;EAS Pérez"
"Band gap creation using quasiordered structures based on sonic crystals","Applied Physics Letters",2006,"V Romero-García;E Fuster;LM García-Raffi;EA Sánchez-Pérez;..."
"Survival analysis of author keywords: An application to the library and information sciences area","Journal of the Association for Information Science and Technology",2020,"F Peset;F Garzón‐Farinós;LM González;X García‐Massó;..."
"Computing complexity distances between algorithms","Kybernetika",2003,"S Romaguera;EA Sánchez-Pérez;O Valero"
"Introducción de las técnicas de modelización para el estudio de la física y de las matemáticas en los primeros cursos de las carreras técnicas","Enseñanza de las ciencias: revista de investigación y experiencias …",1999,"EAS Pérez;LMG Raffi;JVS Pérez"
"Information management in healthcare and environment: Towards an automatic system for fake news detection","International journal of environmental research and public health",2020,"P Lara-Navarra;H Falciani;EA Sánchez-Pérez;A Ferrer-Sapena"
"Compactness in asymmetric normed spaces","Topology and its Applications",2008,"C Alegre;I Ferrando;LM García-Raffi;EA Sánchez Pérez"
"Maurey–Rosenthal factorization of positive operators and convexity","Journal of mathematical analysis and applications",2004,"A Defant;EAS Pérez"
"The bicompletion of an asymmetric normed linear space","Acta Mathematica Hungarica",2002,"LM García-Raffi;S Romaguera;EA Sánchez-Pérez"
"Dreaming machine learning: Lipschitz extensions for reinforcement learning on financial markets","Neurocomputing",2020,"JM Calabuig;H Falciani;EA Sánchez-Pérez"
"Correlation between impact factor and public availability of published research data in Information Science and Library Science journals","Scientometrics",2016,"R Aleixandre-Benavent;LM Moreno-Solano;A Ferrer Sapena;EAS Pérez"
"Factorization of p-dominated polynomials through Lp-spaces","Michigan Mathematical Journal",2014,"P Rueda;EA Sánchez Pérez"
"Factorizing operators on Banach function spaces through spaces of multiplication operators","Journal of mathematical analysis and applications",2010,"JM Calabuig;O Delgado;EAS Pérez"
"Factorization of strongly (p, σ)-continuous multilinear operators","Linear and Multilinear Algebra",2014,"D Achour;E Dahia;P Rueda;EA Sánchez Pérez"
"On operator ideals related to (p, σ)-absolutely continuous operators","Studia Mathematica",2000,"JAL Molina;EAS Pérez"
