"title","journal","year","otros_investigadores"
"Dirichlet series and holomorphic functions in high dimensions","Cambridge University Press",2019,"A Defant;D García;M Maestre;P Sevilla-Peris"
"A new direct method for solving the Black–Scholes equation","Applied mathematics letters",2005,"L Jódar;P Sevilla-Peris;JC Cortes;R Sala"
"A new multilinear insight on Littlewood's 4/3-inequality","Journal of Functional Analysis",2009,"A Defant;P Sevilla-Peris"
"Summation of Coefficients of Polynomials on                  Spaces","",2016,"V Dimant;P Sevilla-Peris"
"Analytic-numerical approximating processes of diffusion equation with data uncertainty","Computers & Mathematics with Applications",2005,"JC Cortés;P Sevilla-Peris;L Jódar"
"The Bohnenblust-Hille cycle of ideas from a modern point of view","Functiones et Approximatio Commentarii Mathematici",2014,"A Defant;P Sevilla-Peris"
"Multipliers of Dirichlet series and monomial series expansions of holomorphic functions in infinitely many variables","Mathematische Annalen",2017,"F Bayart;A Defant;L Frerick;M Maestre;P Sevilla-Peris"
"Composition operators between weighted spaces of holomorphic functions on Banach spaces","Annales Fennici Mathematici",2004,"D García;M Maestre;P Sevilla-Peris"
"On the spectra of algebras of analytic functions","Contemporary Mathematics",2012,"DG Carando;D García Rodríguez;M Maestre Vera;P Sevilla Peris"
"Limit Orders and Multilinear Forms on ℓp Spaces","Publications of the Research Institute for Mathematical Sciences",2006,"D Carando;V Dimant;P Sevilla-Peris"
"Convergence of Dirichlet polynomials in Banach spaces","Transactions of the American Mathematical Society",2011,"A Defant;P Sevilla-Peris"
"Spectra of weighted algebras of holomorphic functions","Mathematische Zeitschrift",2009,"D Carando;P Sevilla-Peris"
"Bohr’s absolute convergence problem for ℋp-Dirichlet series in Banach spaces","Analysis & PDE",2014,"D Carando;A Defant;P Sevilla-Peris"
"Bohr's strips for Dirichlet series in Banach spaces","Functiones et Approximatio Commentarii Mathematici",2011,"A Defant;D García;M Maestre;P Sevilla-Peris"
"Ideals of multilinear forms–a limit order approach","Positivity",2007,"D Carando;V Dimant;P Sevilla-Peris"
"Exact and numerical solution of Black–Scholes matrix equation","Applied mathematics and computation",2005,"JC Cortés;L Jódar;R Sala;P Sevilla-Peris"
"Weakly compact composition operators between weighted spaces","Note di Matematica",2006,"D Garcia;M Maestre;P Sevilla-Peris"
"Composition operators on spaces of double Dirichlet series","Revista Matemática Complutense",2021,"F Bayart;J Castillo-Medina;D García;M Maestre;P Sevilla-Peris"
"Asymptotic estimates on the von Neumann inequality for homogeneous polynomials","Journal für die reine und angewandte Mathematik (Crelles Journal)",2018,"D Galicer;S Muro;P Sevilla-Peris"
"The dirichlet-bohr radius","arXiv preprint arXiv:",2014,"D Carando;A Defant;D García;M Maestre;P Sevilla-Peris"
"The Bohnenblust-Hille inequality combined with an inequality of Helson","Proceedings of the American Mathematical Society",2015,"D Carando;A Defant;P Sevilla-Peris"
"Hausdorff–Young-type inequalities for vector-valued Dirichlet series","Transactions of the American Mathematical Society",2020,"D Carando;F Marceca;P Sevilla-Peris"
"Estimates for vector valued Dirichlet polynomials","Monatshefte für Mathematik",2014,"A Defant;U Schwarting;P Sevilla-Peris"
"Mean ergodic composition operators on spaces of holomorphic functions on a Banach space","Journal of Mathematical Analysis and Applications",2021,"D Jornet;D Santacreu;P Sevilla-Peris"
"A note on abscissas of Dirichlet series","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales. Serie …",2019,"A Defant;A Pérez;P Sevilla-Peris"
"Almost sure-sign convergence of Hardy-type Dirichlet series","Journal d'Analyse Mathématique",2018,"D Carando;A Defant;P Sevilla-Peris"
"Some polynomial versions of cotype and applications","Journal of Functional Analysis",2016,"D Carando;A Defant;P Sevilla-Peris"
"Cotype 2 estimates for spaces of polynomials on sequence spaces","Israel Journal of Mathematics",2002,"A Defant;M Maestre;P Sevilla-Peris"
"Mean ergodic composition operators in spaces of homogeneous polynomials","Journal of Mathematical Analysis and Applications",2020,"D Jornet;D Santacreu;P Sevilla-Peris"
"A Riemann manifold structure of the spectra of weighted algebras of holomorphic functions","Topology",2009,"D Carando;D García;M Maestre;P Sevilla-Peris"
"Function spaces and operators between them","Springer",2023,"J Bonet;D Jornet;P Sevilla-Peris"
"A note on the symmetry of sequence spaces","Mathematical Notes",2021,"D Carando;M Mazzitelli;P Sevilla-Peris"
"Isomorphic copies of ℓ1 for m‐homogeneous non‐analytic Bohnenblust–Hille polynomials","Mathematische Nachrichten",2017,"JA Conejero;JB Seoane‐Sepúlveda;P Sevilla‐Peris"
"Convergence of monomial expansions in Banach spaces","The Quarterly Journal of Mathematics",2012,"A Defant;P Sevilla-Peris"
"Multilinear H\"" older-type inequalities on Lorentz sequence spaces","arXiv preprint arXiv:",2008,"D Carando;V Dimant;P Sevilla-Peris"
"Constructing approximate diffusion processes with uncertain data","Mathematics and Computers in Simulation",2006,"JC Cortés;P Sevilla-Peris;L Jódar"
"Fréchet spaces of general Dirichlet series","Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales. Serie …",2021,"A Defant;T Fernández Vidal;I Schoolmann;P Sevilla-Peris"
"Diagonal extendible multilinear operators between-spaces","Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie …",2014,"D Carando;V Dimant;P Sevilla-Peris;R Villafañe"
"Extendibility of bilinear forms on Banach sequence spaces","Israel Journal of Mathematics",2014,"D Carando;P Sevilla-Peris"
"Homomorphisms between algebras of holomorphic functions","Abstract and Applied Analysis",2014,"V Dimant;D García;M Maestre;P Sevilla-Peris"
"A note on Bohnenblust–Hille–Helson type inequality","arXiv preprint arXiv:",2013,"D Carando;A Defant;P Sevilla-Peris"
"Sobre espacios y álgebras de funciones holomorfas","Universitat de València",2004,"P Sevilla-Peris"
"Monomial convergence on ℓr","Analysis & PDE",2021,"D Galicer;M Mansilla;S Muro;P Sevilla-Peris"
"Hardy space of translated Dirichlet series","Mathematische Zeitschrift",2021,"T Fernandez Vidal;D Galicer;M Mereb;P Sevilla-Peris"
"Monomial expansions of --functions in infinitely many variables","arXiv preprint arXiv:",2012,"A Defant;L Frerick;M Maestre;P Sevilla-Peris"
"Approximating processes of stochastic diffusion models under spatial uncertainty","Proc. ASMDA",2005,"L Jódar;JC Cortés;P Sevilla;L Villafuerte"
"Invertibility in tensor products of Q-algebras","Studia Mathematica",2002,"S Dineen;P Sevilla-Peris"
"Compact weighted composition operators on spaces of holomorphic functions on Banach spaces","Journal of Operator Theory",2023,"J Bonet;D Jornet;D Santacreu;P Sevilla-Peris"
"A Montel-type theorem for Hardy spaces of holomorphic functions","Mediterranean Journal of Mathematics",2022,"T Fernández Vidal;D Galicer;P Sevilla-Peris"
"Multipliers for Hardy spaces of Dirichlet series","arXiv preprint arXiv:",2022,"TF Vidal;D Galicer;P Sevilla-Peris"
"Composition Operators on Weighted Spaces of Holomorphic Functions on JB                      *-triples","Letters in Mathematical Physics",2006,"M Mackey;P Sevilla-Peris;JA Vallejo"
"On the convergence of some classes of Dirichlet series","Proceedings of the XIIth “Dr. Antonio AR Monteiro” Congress",NA,"D Carando;P Sevilla-Peris"
"Hypercontractivity and strips of convergence in Hardy spaces of general Dirichlet series","arXiv preprint arXiv:",2024,"D Carando;A Defant;F Marceca;I Schoolmann;P Sevilla-Peris"
"Dirichlet series from the infinite dimensional point of view","Functiones et Approximatio Commentarii Mathematici",2018,"A Defant;D García;M Maestre;P Sevilla-Peris"
"Cluster values for algebras of analytic functions","Advances in Mathematics",2018,"D Carando;D Galicer;S Muro;P Sevilla-Peris"
"Unconditionality for m-homogeneous polynomials on L (infinity) n","Studia Mathematica",2016,"A Defant;P Sevilla Peris"
"Sharpness in Bohr's Inequality","arXiv preprint arXiv:",2024,"M Guillén;P Sevilla-Peris"
"Some Remarks on Improved Versions of Bohr’s Inequality","DACIU",2024,"MG Sánchez;MM Vera;P Sevilla-Peris"
"Duality and Linear Operators","Function Spaces and Operators between them",2023,"J Bonet;D Jornet;P Sevilla-Peris"
"Spaces of Holomorphic and Differentiable Functions and Operators Between Them","Function Spaces and Operators between them",2023,"J Bonet;D Jornet;P Sevilla-Peris"
"Locally Convex Spaces","Function Spaces and Operators between them",2023,"J Bonet;D Jornet;P Sevilla-Peris"
"Schwartz Distributions and Linear Partial Differential Operators","Function Spaces and Operators between them",2023,"J Bonet;D Jornet;P Sevilla-Peris"
"Convergence of Sequences of Functions","Function Spaces and Operators between them",2023,"J Bonet;D Jornet;P Sevilla-Peris"
"Transitive and Mean Ergodic Operators","Function Spaces and Operators between them",2023,"J Bonet;D Jornet;P Sevilla-Peris"
"Decoupling inequalities with exponential constants","Mathematische Annalen",2023,"D Carando;F Marceca;P Sevilla-Peris"
"Multipliers for Hardy spaces of Dirichlet series","Annales de l'Institut Fourier",2022,"T Fernandez Vidal;D Galicer;P Sevilla-Peris"
"Hardy spaces and holomorphic functions of infinitely many variables","TEMat monográficos",2020,"J Chirinos;E González;N González;A López-Martínez;H Méndez;..."
"VLADIMIR BARANOVSKY, VICTOR GINZBURG AND JEREMY PECHARICH","",2012,"E COTTERILL;A DEFANT;P SEVILLA-PERIS;S DRAGOMIR;R PETIT;..."
"Contemporary Mathematics Volume 561, 2012","Topics in Complex Analysis and Operator Theory: Third Winter School in …",2012,"D Carando;D García;M Maestre;P Sevilla-Peris"
"olume 63","",2012,"F ALBIAC;E BRIEM;V BARANOVSKY;V GINZBURG;J PECHARICH;..."
"Solución numérica de procesos estocásticos con difusividad térmica variable","Métodos numéricos en ingeniería",2005,"L Villafuerte;JC Cortés;L Jódar;P Sevilla-Peris"
"Document downloaded from","",NA,"D Carando;D Galicer;S Muro;P Sevilla Peris"
"Document downloaded from","",NA,"D Galicer;M Mansilla;S Muro;P Sevilla Peris"
"Research Article Homomorphisms between Algebras of Holomorphic Functions","",NA,"V Dimant;D García;M Maestre;P Sevilla-Peris"
"ANALYSIS & PDE","",NA,"D GALICER;M MANSILLA;S MURO;P SEVILLA-PERIS"
"ANALYSIS & PDE","",NA,"D CARANDO;A DEFANT;P SEVILLA-PERIS"
"Encuentro de la Red de Análisis Funcional y Aplicaciones","",NA,"J Betancor;G Muñoz;I Parissis;P Sevilla-Peris"
