title,journal,year,otros_investigadores
Thermocapillar and thermogravitatory waves in a convection problem,,2004,Hoyas S.; Herrero H.; Mancho A.M.
Sensitivity study of resolution and convergence requirements for the extended overlap region in wall-bounded turbulence,American Physical Society,2024,Hoyas S.; Vinuesa R.; Schmid P.; Nagib H.
Erratum: New scaling laws for turbulent Poiseuille flow with wall transpiration (J. Fluid Mech. (2014) 746 (99-122) DOI: 10.1017/jfm.2014.98),Cambridge University Press,2021,Avsarkisov V.; Oberlack M.; Hoyas S.
High-resolution simulations of a turbulent boundary layer impacting two obstacles in tandem,American Physical Society,2023,Atzori M.; Torres P.; Vidal A.; Le Clainche S.; Hoyas S.; Vinuesa R.
Codimension-three bifurcations in a Bénard-Marangoni problem,,2013,Hoyas S.; Gil A.; Fajardo P.; Pérez-Quiles M.J.
URANS Analysis of a Launch Vehicle Aero-Acoustic Environment,MDPI,2022,Escartí-Guillem M.S.; García-Raffi L.M.; Hoyas S.
Turbulence Statistics of Arbitrary Moments of Wall-Bounded Shear Flows: A Symmetry Approach,American Physical Society,2022,Oberlack M.; Hoyas S.; Kraheberger S.V.; Alcántara-Ávila F.; Laux J.
Sequential and Parallel Algorithms to Compute Turbulent Coherent Structures,Multidisciplinary Digital Publishing Institute (MDPI),2024,Gandía-Barberá S.; Cremades A.; Vinuesa R.; Hoyas S.; Pérez-Quiles M.J.
Turbulent plane Couette flow at moderately high Reynolds number,Cambridge University Press,2014,Avsarkisov V.; Hoyas S.; Oberlack M.; García-Galache J.P.
Horizontal gradient effects on the flow stability in a cylindrical container in a Bèrnard–Marangoni problem,Elsevier B.V.,2024,López-Núñez E.; Fajardo P.; Hoyas S.; Pérez-Quiles M.J.
Additive-feature-attribution methods: A review on explainable artificial intelligence for fluid dynamics and heat transfer,Elsevier B.V.,2025,Cremades A.; Hoyas S.; Vinuesa R.
New mean velocity scaling laws for turbulent Poiseuille flow with wall transpiration,Zakon Group LLC,2020,Avsarkisov V.; Oberlack M.; Hoyas S.; Khujadze G.
Scaling of the velocity fluctuations in turbulent channels up to Reτ=2003,American Institute of Physics Inc.,2006,Hoyas S.; Jiménez J.
Cfd simulation of a hyperloop capsule inside a low-pressure environment using an aerodynamic compressor as propulsion and drag reduction method,MDPI AG,2021,Lluesma-Rodríguez F.; González T.; Hoyas S.
Set-up analysis and optimization of cfd simulations for radial turbines,,2013,Galindo J.; Hoyas S.; Fajardo P.; Navarro R.
"Evacuated-Tube, High-Speed, Autonomous Maglev (Hyperloop) Transport System for Long-Distance Travel: An overview",Institute of Electrical and Electronics Engineers Inc.,2021,Lluesma F.; Arguedas A.; Hoyas S.; Sanchez A.; Vicen J.
Numerical modelling of cavitation: Validation and parametric studies,,2012,Margot X.; Hoyas S.; Gil A.; Patouna S.
