title,journal,year,otros_investigadores
A branch-and-cut algorithm for the Orienteering Arc Routing Problem,Elsevier Ltd,2016,Archetti C.; Corberán Á.; Plana I.; Sanchis J.M.; Speranza M.G.
The windy clustered prize-collecting arc-routing problem,INFORMS Inst.for Operations Res.and the Management Sciences,2011,Corberán A.; Fernández E.; Franquesa C.; Sanchis J.M.
Drone arc routing problems,Wiley-Liss Inc.,2018,Campbell J.F.; Corberán Á.; Plana I.; Sanchis J.M.
A cutting plane algorithm for the General Routing Problem,Elsevier,2001,Corberán A.; Letchford A.N.; Sanchis J.M.
On the Distance-Constrained Close Enough Arc Routing Problem,Elsevier B.V.,2021,Corberán Á.; Plana I.; Reula M.; Sanchis J.M.
The directed profitable rural postman problem with incompatibility constraints,Elsevier B.V.,2017,Colombi M.; Corberán Á.; Mansini R.; Plana I.; Sanchis J.M.
The Profitable Close-Enough Arc Routing Problem,Elsevier Ltd,2022,Bianchessi N.; Corberán Á.; Plana I.; Reula M.; Sanchis J.M.
The Hierarchical Mixed Rural Postman Problem: Polyhedral analysis and a branch-and-cut algorithm,Elsevier B.V.,2017,Colombi M.; Corberán Á.; Mansini R.; Plana I.; Sanchis J.M.
The multi-purpose K-drones general routing problem,John Wiley and Sons Inc,2023,Campbell J.; Corberán Á.; Plana I.; Sanchis J.M.; Segura P.
"Arc routing problems: A review of the past, present, and future",Wiley-Liss Inc.,2021,Corberán Á.; Eglese R.; Hasle G.; Plana I.; Sanchis J.M.
New heuristic algorithms for the windy rural postman problem,,2005,Benavent E.; Corberán A.; Piñana E.; Plana I.; Sanchis J.M.
Zigzag inequalities: A new class of facet-inducing inequalities for Arc Routing Problems,,2006,Corberán A.; Plana I.; Sanchis J.M.
Min-Max K-vehicles windy rural postman problem,,2009,Benavent E.; Corberán A.; Plana I.; Sanchis J.M.
New results on the Windy Postman Problem,,2012,Corberán A.; Oswald M.; Plana I.; Reinelt G.; Sanchis J.M.
A new branch-and-cut algorithm for the generalized directed rural postman problem,INFORMS Inst.for Operations Res.and the Management Sciences,2016,Avila T.; Corberán A.; Plana I.; Sanchis J.M.
The mixed general routing polyhedron,,2003,Corberán A.; Romero A.; Sanchis J.M.
A comparison of two different formulations for arc routing problems on mixed graphs,,2006,Corberán A.; Mota E.; Sanchis J.M.
A matheuristic for the Team Orienteering Arc Routing Problem,Elsevier B.V.,2015,Archetti C.; Corberán Á.; Plana I.; Sanchis J.M.; Speranza M.G.
Routing problems revisited: Path integral formalism and Monte Carlo methods,Elsevier Science Publishers B.V.,1999,de Cordoba P.Fernandez; Raffi L.M.Garcia; Sanchis J.M.; Ferrando A.
The team orienteering arc routing problem,INFORMS Inst.for Operations Res.and the Management Sciences,2014,Archetti C.; Speranza M.G.; Corberán Á.; Sanchis J.M.; Plana I.
New facets and an enhanced branch-and-cut for the min-max K-vehicles windy rural postman problem,,2011,Benavent E.; Corberán A.; Plana I.; Sanchis J.M.
The stacker crane problem and the directed general routing problem,Wiley-Liss Inc.,2015,Ávila T.; Corberán A.; Plana I.; Sanchis J.M.
A branch & cut algorithm for the windy general routing problem and special cases,,2007,Corberán A.; Plana I.; Sanchis J.M.
The min max multi-trip drone location arc routing problem,Elsevier Ltd,2025,Corberán T.; Plana I.; Sanchis J.M.
Theoretical and computational analysis of a new formulation for the Rural Postman Problem and the General Routing Problem,Elsevier Ltd,2024,Corberán Á.; Plana I.; Sanchis J.M.; Segura P.
The multidepot drone general routing problem with duration and capacity constraints,John Wiley and Sons Inc,2024,Corberán T.; Plana I.; Sanchis J.M.; Segura P.
A branch-price-and-cut algorithm for the min-max k-vehicle windy rural postman problem,,2014,Benavent E.; Corberán A.; Desaulniers G.; Lessard F.; Plana I.; Sanchis J.M.
The windy general routing polyhedron: A global view of many known arc routing polyhedra,,2008,Corberán A.; Plana I.; Sanchis J.M.
Solving the length constrained K-drones rural postman problem,Elsevier B.V.,2021,Campbell J.F.; Corberán Á.; Plana I.; Sanchis J.M.; Segura P.
A GRASP heuristic for the mixed Chinese postman problem,,2002,Corberán A.; Martí R.; Sanchis J.M.
