title,journal,year,otros_investigadores
The Meir-Keeler fixed point theorem for quasi-metric spaces and some consequences,MDPI AG,2019,Romaguera S.; Tirado P.
Presymmetric w-Distances on Metric Spaces,Multidisciplinary Digital Publishing Institute (MDPI),2024,Romaguera S.; Tirado P.
Contraction maps on complexity spaces and itexpoDC algorithms,,2007,Romaguera S.; Schellekens M.P.; Tirado P.; Valero O.
The Banach fixed point theorem in fuzzy quasi-metric spaces with application to the domain of words,Elsevier,2007,Romaguera S.; Sapena A.; Tirado P.
The property of presymmetry for w-distances on quasi-metric spaces,University of Nis,2024,Romaguera S.; Tirado P.
New results on the mathematical foundations of asymptotic complexity analysis of algorithms via complexity spaces,,2012,Romaguera S.; Tirado P.; Valero O.
α − ψ-Contractive Type Mappings on Quasi-Metric Spaces,University of Nis,2021,Romaguera S.; Tirado P.
Characterizing complete fuzzy metric spaces via fixed point results,MDPI AG,2020,Romaguera S.; Tirado P.
Generalized contractive set-valued maps on complete preordered quasi-metric spaces,,2013,Marín J.; Romaguera S.; Tirado P.
A Quasi-Metric lattice Approach for Access Prediction in Replicated Database Protocols,American Institute of Physics Inc.,2008,Castro-Company F.; Romaguera S.; Sánchez-Álvarez J.M.; Tirado P.
On Yager and Hamacher t-norms and fuzzy metric spaces,John Wiley and Sons Ltd,2014,Castro-Company F.; Tirado P.
Complete partial metric spaces have partially metrizable computational models,,2012,Romaguera S.; Tirado P.; Valero O.
Contraction Maps on Ifqm-spaces with Application to Recurrence Equations of Quicksort,,2009,Romaguera S.; Tirado P.
GENERATING w-DISTANCES ON METRIC SPACES FROM A FUZZY APPROACH AND AN APPLICATION TO THE FIXED,Yokohama Publications,2024,Romaguera S.; Tirado P.
Diffuse contraction functions and fixed-point methods applied to algorithmic complexity analysis; [Funciones de contracción difusa y métodos de punto fijo aplicados al análisis de la complejidad algorítmica],"International Institute of Informatics and Systemics, IIIS",2014,Romaguera S.; Tirado P.
Application of wavelet analysis to generate a streamflow time series,,2010,Tirado P.; Pulido M.
The bicompletion of intuitionistic fuzzy quasi-metric spaces,,2012,Castro-Company F.; Tirado P.
FIXED POINT THEOREMS THAT CHARACTERIZE COMPLETENESS OF G-METRIC SPACES,Yokohama Publications,2022,Romaguera S.; Tirado P.
Revisiting Bianchini and Grandolfi Theorem in the Context of Modified ω -Distances,Birkhauser Verlag AG,2019,Alegre Gil C.; Karapınar E.; Marín Molina J.; Tirado Peláez P.
On the fixed point theory in bicomplete quasi-metric spaces,International Scientific Research Publications,2016,Alegre C.; Dağ H.; Romaguera S.; Tirado P.
"Contraction mappings in fuzzy quasi-metric spaces and [0,1]-fuzzy posets",,2012,Tirado P.
The complexity probabilistic quasi-metric space,,2011,Romaguera S.; Tirado P.
The banach contraction principle in fuzzy quasi-metric spaces and in product complexity spaces: Two approaches to study the cost of algorithms with a finite system of recurrence equations,,2012,Castro-Company F.; Romaguera S.; Tirado P.
The average running time of an algorithm as a midpoint between fuzzy sets,,2009,Tirado P.; Valero O.
Characterizations of quasi-metric and G-metric completeness involving w-distances and fixed points,Walter de Gruyter GmbH,2022,Karaplnar E.; Romaguera S.; Tirado P.
Application of the banach fixed point theorem on fuzzy quasi-metric spaces to study the cost of algorithms with two recurrence equations,,2010,Castro-Company F.; Romaguera S.; Tirado P.
Characterizations of quasi-metric completeness in terms of kannan-type fixed point theorems,Hacettepe University,2017,Alegre C.; Dağ H.; Romagueraz S.; Tirado P.
Some classes of t-norms and fuzzy metric spaces,,2012,Castro-Company F.; Tirado P.
Contractive multivalued maps in terms of Q-functions on complete quasimetric spaces,Hindawi Publishing Corporation,2014,Karapinar E.; Romaguera S.; Tirado P.
Partial Metrics Viewed as w-Distances: Extending Some Powerful Fixed-Point Theorems,Multidisciplinary Digital Publishing Institute (MDPI),2024,Romaguera S.; Tirado P.
A discussion on p-geraghty contraction on mw-quasi-metric spaces,MDPI AG,2020,Alegre C.; Fulga A.; Karapinar E.; Tirado P.
On fixed point theorems in intuitionistic fuzzy metric spaces,,2007,Romaguera S.; Tirado P.
A fixed point theorem for preordered complete fuzzy quasi-metric spaces and an application,Hindawi Publishing Corporation,2014,Castro-Company F.; Romaguera S.; Tirado P.
Weakly contractive multivalued maps and w-distances on complete quasi-metric spaces,Hindawi Publishing Corporation,2011,Marín J.; Romaguera S.; Tirado P.
A new model based on a fuzzy quasi-metric type Baire applied to analysis of complexity,IOS Press,2014,Tirado P.
On compactness and g-completeness in fuzzy metric spaces,University of Sistan and Baluchestan,2012,Tirado P.
Q -functions on quasimetric spaces and fixed points for multivalued maps,,2011,Romaguera S.; Marín J.; Tirado P.
The bicompletion of fuzzy quasi-metric spaces,,2011,Castro-Company F.; Romaguera S.; Tirado P.
On the domain of formal balls of the Sorgenfrey quasi-metric space,Elsevier,2016,Romaguera S.; Schellekens M.P.; Tirado P.; Valero O.
On the bicompletion of intuitionistic fuzzy quasi-metric spaces,University of Sistan and Baluchestan,2016,Castro-Company F.; Tirado P.
On the construction of metrics from fuzzy metrics and its application to the fixed point theory of multivalued mappings,Springer International Publishing,2015,Castro-Company F.; Romaguera S.; Tirado P.
