PP Carreras;J Bonet;;;;;
KD Bierstedt;J Bonet;J Taskinen;;;;
J Bonet;P Domanski;M Lindstrom;J Taskinen;;;
KD Bierstedt;J Bonet;A Galbis;;;;
J Bonet;P Domanski;M Lindstrom;;;;
J Bonet;A Peris;;;;;
J Bonet;R Meise;SN Melikhov;;;;
KD Bierstedt;J Bonet;;;;;
J Bonet;RW Braun;R Meise;BA Taylor;;;
J Bonet;M Lindstrom;E Wolf;;;;
KD Bierstedt;J Bonet;;;;;
AA Albanese;J Bonet;;;;;
KD Bierstedt;J Bonet;;;;;
J Bonet;PP Carreras;;;;;
J Bonet;F Martinez-Gimenez;A Peris;;;;
J Bonet;F Martinez-Gimenez;A Peris;;;;
J Bonet;F Martinez-Gimenez;A Peris;;;;
J Bonet;P Domanski;M Lindstrom;;;;
ML Abo;;;;;;
J Bonet;L Frerick;A Peris;J Wengenroth;;;
J Bonet;;;;;;
J Bonet;P Domanski;;;;;
J Bonet;P Domanski;;;;;
ree;KD Bierstedt;;;;;
J Bonet;P Domanski;;;;;
J Bonet;R Meise;;;;;
J Bonet;P Domanski;;;;;
J Bonet;;;;;;
J Bonet;M Friz;E Jorda;;;;
J Bonet;E Wolf;;;;;
J Bonet;WJ Ricker;;;;;
J Bonet;M Lindstrom;E Wolf;;;;
KD Bierstedt;J Bonet;;;;;
J Bonet;A Galbis;R Meise;;;;
J Bonet;JC Diaz;;;;;
J Bonet;R Meise;BA Taylor;;;;
J Bonet;R Meise;BA Taylor;;;;
J Bonet;;;;;;
J Bonet;JCD Alcaide;J Taskinen;;;;
AA Albanese;J Bonet;WJ Ricker;;;;
J Bonet;P Domanski;;;;;
J Bonet;L Frerick;E Jorda;;;;
J Bonet;P Domanski;;;;;
KD Bierstedt;J Bonet;;;;;
J Bonet;A Peris;;;;;
J Bonet;A Bonilla;;;;;
J Bonet;S Dierolf;;;;;
J Bonet;M Friz;;;;;
AA Albanese;J Bonet;WJ Ricker;;;;
AA Albanese;J Bonet;WJ Ricker;;;;
M Beltran;J Bonet;C Fernandez;;;;
J Bonet;;;;;;
AA Albanese;J Bonet;WJ Ricker;;;;
J Bonet;P Domanski;;;;;
J Bonet;C Fernandez;R Meise;;;;
AA Albanese;J Bonet;WJ Ricker;;;;
AA Albanese;J Bonet;WJ Ricker;;;;
AA Albanese;J Bonet;WJ Ricker;;;;
