JM Calabuig;O Delgado;EAS Perez;;;
JM Calabuig;H Falciani;EAS Perez;;;
JM Calabuig;O Delgado;EAS Perez;;;
JM Calabuig;O Delgado;MA Juan;EAS Perez;;
JM Calabuig;LM Garcia Raffi;EAS Perez;;;
SD Toro;M Isabel;JM Calabuig;A Ferrer Sapena;MF Peset Mancebo;
JM Calabuig;LM Garcia Raffi;A Garcia-Valiente;EAS Perez;;
JM Calabuig;S Lajara;J Rodriguez Ruiz;EAS Perez;;
JM Calabuig;J Rodriguez;EAS Perez;;;
JM Calabuig;P Gregori;EAS Perez;;;
A Ferrer Sapena;JM Calabuig;EAS Perez;C Vidal Cabo;;
JM Calabuig;MA Juan Blanco;EAS Perez;;;
E Erdogan;JM Calabuig;EAS Perez;;;
JM Calabuig;F Galaz-Fontes;EM Navarrete;EAS Perez;;
O Blasco;JM Calabuig;T Signes;;;
JM Calabuig;J Rodriguez;P Rueda;EAS Perez;;
JM Calabuig;J Rodriguez;EAS Perez;;;
JM Calabuig;J Rodriguez;EAS Perez;;;
JM Calabuig;J Rodriguez;EAS Perez;;;
O Blasco;;;;;
JM Calabuig;I Ferrando Palomares;C Gallart-Palau;LM Garcia Raffi;;
JM Calabuig;J Rodriguez;EAS Perez;;;
JM Calabuig;LM Garcia Raffi;EAS Perez;;;
O Blasco;JM Calabuig;;;;
JM Calabuig;F Galaz-Fontes;E Jimenez-Fernandez;EAS Perez;;
JM Calabuig;J Rodriguez;EA Sanchez Perez;;;
JM Calabuig;M Fernandez Unzueta;F Galaz-Fontes;EAS Perez;;
JM Calabuig;J Rodriguez Ruiz;EAS Perez;;;
O Blasco;JM Calabuig;;;;
R Arnau;JM Calabuig;E Erdogan;EAS Perez;;
JM Calabuig;E Jimenez-Fernandez;EAS Perez;S Manzanares;;
JM Calabuig;M Fernandez-Unzueta;F Galaz-Fontes;EAS Perez;;
JM Calabuig;OG Bravo;MA Juan;EAS Perez;;
JM Calabuig;EJ Fernandez;MA Juan;EAS Perez;;
JM Calabuig;LM Garcia Raffi;EAS Perez;;;
O Blasco;JM Calabuig;;;;
JM Calabuig;E Jimenez Fernandez;MA Juan;EAS Perez;;
L Agud;JM Calabuig;EAS Perez;;;
AR Arnau Notari;JM Calabuig;C Catalan;LM Garcia Raffi;JM Pardo Gila;
JM Calabuig;H Falciani;AF Sapena;LMG Raffi;EAS Perez;
JM Calabuig;EAS Perez;;;;
L Agud;JM Calabuig;EAS Perez;;;
JM Calabuig;MF Unzueta;F Galaz-Fontes;EAS Perez;;
JM Calabuig;H Falciani;A Ferrer Sapena;LM Garcia Raffi;E Raso;
L Agud;JM Calabuig;S Lajara;EAS Perez;;
JM Calabuig;A Ferrer Sapena;EAS Perez;;;
R Arnau;JM Calabuig;E Erdogan;EAS Perez;;
R Arnau;JM Calabuig;LM Garcia Raffi;EAS Perez;S Sanjuan;
R Arnau;JM Calabuig;E Erdogan;EAS Perez;;
R Arnau;JM Calabuig;EAS Perez;;;
R Arnau;JM Calabuig;EAS Perez;;;
A Ferrer Sapena;JM Calabuig;EAS Perez;C Vidal Cabo;;
JM Calabuig;LM Garcia Raffi;A Garcia-Valiente;EAS Perez;;
L Agud;JM Calabuig;MA Juan;EAS Perez;;
AF Sapena;JMC Rodriguez;MFP Mancebo;IS del Toro;;
O Blasco;JM Calabuig;EAS Perez;;;
O Blasco;JM Calabuig;;;;
JM Calabuig;H Falciani;A Ferrer Sapena;LM Garcia Raffi;;
JM Calabuig;EAS Perez;S Sanjuan;;;
S Sanjuan;DA Mendez;R Arnau;JM Calabuig;X Aguirre;F Estelles
JM Calabuig;C Catalan;LM Garcia Raffi;EAS Perez;;
R Arnau;JM Calabuig;EAS Perez;;;
JM Calabuig;;;;;
JM Calabuig;L Cotino Hueso;A Ferrer Sapena;;;
R Arnau;JM Calabuig;A Gonzalez;EAS Perez;;
AR Arnau Notari;LM Garcia Raffi;JM Calabuig;;;
AR Arnau-Notari;JM Calabuig;E Erdogan;EAS Perez;;
JM Calabuig;LM Garcia Raffi;;;;
A Niemczynowicz;RA Kycia;M Jaworski;A Siemaszko;JM Calabuig;
JM Calabuig;E Jimenez Fernandez;EAS Perez;;;
A Ferrer Sapena;JM Calabuig;LM Garcia Raffi;EAS Perez;;
AF Sapena;JMC Rodriguez;EAS Perez;CV Cabo;;
JM Calabuig;M Fernandez-Unzueta;F Galaz-Fontes;EAS Perez;;
JM Calabuig;M Fernandez-Unzueta;F Galaz-Fontes;EAS Perez;;
JS Bejarano-Ballen;F Peset;JM Calabuig;A Ferrer Sapena;;
JM Calabuig;H Falciani;EAS Perez;;;
JM Calabuig;H Falciani;EAS Perez;;;
JM Calabuig;H Falciani;LM Garcia Raffi;EAS Perez;;
JM Calabuig;MF Peset Mancebo;;;;
JM Calabuig;J Rodriguez;EAS Perez;;;
JM Calabuig;J Rodriguez;EAS Perez;;;
O Blasco;;;;;
JM Calabuig;;;;;
JM Calabuig;;;;;
R Arnau;JM Calabuig;E Erdogan;EAS Perez;;
Pea Sanchez;C Vidal Cabo;A Ferrer Sapena;JM Calabuig;;
LM Garcia Raffi;JM Calabuig;I Ferrando;E Fuster;;
JL de la Rosa;H Falciani;JM Calabuig;LMG Raffi;EAS Perez;
JM Calabuig;LMG Raffi;EAS Perez;;;
JM Calabuig;;;;;
JM Calabuig;O Blasco;;;;
JM Calabuig;;;;;
O Blasco;JM Calabuig;;;;
O Blasco;JM Calabuig;EAS Perez;;;
JM Calabuig;O Delgado;MA Juan;EAS Perez;;
