C Cobollo;AJ Guirao;V Montesinos;;;;
C Cobollo;AJ Guirao;V Montesinos;;;;
C Cobollo;P Hajek;;;;;
C Cobollo;A Peris;;;;;
C Cobollo;S Dantas;P Hajek;M Jung;;;
C Cobollo;AJ Guirao;V Montesinos;;;;
C Cobollo;D Isert;G Lopez-Perez;M Martin;Y Perreau;A Quero;A Quilis
C Cobollo;D Isert;G Lopez Perez;M Martin;Y Perreau;;
C Cobollo;AJ Guirao;V Montesinos;;;;
C Cobollo;A Cordero Barbero;JR Torregrosa Sanchez;;;;
C Cobollo;;;;;;
AA Almirall;C Cobollo;H Jardon Sanchez;CM Murillo;A Quilis;;
C Cobollo Gomez;;;;;;
AA Almirall;C Cobollo;H Jardon Sanchez;C Martin Murillo;;;
C Cobollo;AJ Guirao;V Montesinos;;;;
