G Munoz-Gil;G Volpe;MA Garcia-March;E Aghion;A Argun;CB Hong
JA Conejero;V Muller;A Peris;;;
T Bermudez;A Bonilla;J Conejero;A Peris;;
JA Conejero;C Lizama;F Rodenas;;;
C Saez;N Romero;JA Conejero;JM Garcia-Gomez;;
JA Conejero;A Peris;;;;
P Lindblad;D Fuente;F Borbe;B Cicchi;JA Conejero;N Couto
MEI Martinez;J Antonino Daviu;PF de Cordoba;JA Conejero;;
JA Conejero;A Peris;;;;
ME Iglesias Martinez;PF de Cordoba;J Antonino Daviu;JA Conejero;;
F Bastin;JA Conejero;C Esser;JB Seoane Sepulveda;;
RM Aron;JA Conejero;A Peris;JB Seoane Sepulveda;;
JA Conejero;EM Mangino;;;;
VE Garcia Felix;JA Conejero;JL Diez-Ruano;;;
RM Aron;JA Conejero;A Peris;JB Seoane Sepulveda;;
D Fuente;J Keller;JA Conejero;M Rogner;S Rexroth;JF Urchueguia
S Asensio-Cuesta;V Blanes-Selva;JA Conejero;A Frigola;MG Portoles;
JA Conejero;A Peris;M Trujillo;;;
C Perez-Benito;S Morillas;C Jordan;JA Conejero;;
A Sanchez-Roncero;O Garibo i Orts;JA Conejero;H Eivazi;F Mallor;
L Gumaelius;M Almqvist;A Arnadottir;A Axelsson;JA Conejero;
F Larosa;S Hoyas;J Garcia-Martinez;JA Conejero;F Fuso Nerini;
JA Conejero;M Kostic;PJ Miana;;;
ME Iglesias Martinez;J Antonino Daviu;P Fernandez de Cordoba;;;
P Parra-Rivas;S Hetzel;YV Kartashov;PF de Cordoba;;
MA Lozano;OG Orts;E Pinol;M Rebollo;K Polotskaya;MA Garcia-March
JA Conejero;C Lizama;M Murillo Arcila;JB Seoane Sepulveda;;
O Garibo i Orts;A Baeza-Bosca;MA Garcia-March;JA Conejero;;
JA Conejero;C Jordan;E Sanabria-Codesal;;;
X Barrachina;JA Conejero;;;;
FJ Perez-Benito;P Villacampa-Fernandez;JA Conejero;;;
JA Conejero;M Fenoy;M Murillo Arcila;JB Seoane Sepulveda;;
S Asensio-Cuesta;JM Garcia-Gomez;JL Poza-Lujan;JA Conejero;;
E Hernandez-Orallo;M Murillo Arcila;CT Calafate;JC Cano;JA Conejero;
MEI Martinez;J Antonino Daviu;PF de Cordoba;JA Conejero;L Dunai;
C Perez-Benito;S Morillas;C Jordan;JA Conejero;;
JA Conejero;;;;;
J Bes;JA Conejero;;;;
N Firbas;O Garibo i Orts;MA Garcia-March;JA Conejero;;
C Moret Tatay;LG Lemus Zuniga;DA Tortosa;D Gamermann;;
JA Conejero;C Jordan;E Sanabria-Codesal;;;
J Bes;JA Conejero;D Papathanasiou;;;
