MF Peset Mancebo;A Ferrer Sapena;M Villamon Herrera;;;
F Peset;A Ferrer Sapena;I Subirats Coll;;;
A Ferrer Sapena;F Peset;R Aleixandre Benavent;;;
A Ferrer Sapena;EAS Perez;;;;
F Peset;F Garzon Farinos;LM Gonzalez;X Garcia Masso;;
P Lara Navarra;H Falciani;EAS Perez;A Ferrer Sapena;;
F Peset;R Aleixandre Benavent;Y Blasco Gil;A Ferrer Sapena;;
R Aleixandre Benavent;AF Sapena;F Peset;;;
R Aleixandre Benavent;LM Moreno Solano;A Ferrer Sapena;EAS Perez;;
R Aleixandre Benavent;A Ferrer Sapena;;;;
N Lloret Romero;MT Moreno Nunez;F Peset Mancebo;A Ferrer Sapena;;
S Coronado Ferrer;F Peset Mancebo;A Ferrer Sapena;;;
F Peset;A Ferrer Sapena;T Baiget;;;
A Ferrer Sapena;EAS Perez;F Peset;LM Gonzalez;;
T Saorin;MF Peset Mancebo;A Ferrer Sapena;;;
R Aleixandre Benavent;A Ferrer Sapena;F Peset;;;
R Aleixandre Benavent;A Vidal Infer;A Alonso Arroyo;F Peset;;
A Garcia Garcia;A Pardo Ibanez;A Ferrer Sapena;MF Peset Mancebo;;
T Baiget;JM Rodriguez Gairin;F Peset;I Subirats;A Ferrer Sapena;
L Millan Gonzalez;T Saorin;A Ferrer Sapena;R Alexandre Benavent;;
A Ferrer Sapena;EAS Perez;R Aleixandre Benavent;F Peset;;
R Aleixandre Benavent;JL Aleixandre Tudo;A Ferrer Sapena;;;
JM Baez;F Peset;F Nunez;A Ferrer Sapena;;
R Aleixandre Benavent;AF Sapena;SC Ferrer;F Peset;AG Garcia;
SD Toro;M Isabel;JM Calabuig;A Ferrer Sapena;MF Peset Mancebo;
S Coronado Ferrer;A Ferrer Sapena;R Aleixandre Benavent;;;
R Aleixandre Benavent;A Vidal Infer;A Alonso Arroyo;;;
F Peset;A Ferrer Sapena;;;;
A Ferrer Sapena;EAS Perez;LM Gonzalez;F Peset;;
A Ferrer Sapena;F Peset;;;;
A Ferrer Sapena;;;;;
A Ferrer Sapena;EAS Perez;;;;
R Aleixandre Benavent;A Vidal Infer;A Alonso Arroyo;JG de Dios;;
A Ferrer Sapena;JM Calabuig;EAS Perez;C Vidal Cabo;;
R Aleixandre Benavent;A Ferrer Sapena;A Alonso Arroyo;;;
F Peset;A Ferrer Sapena;I Subirats Coll;A Munoz;;
R Aleixandre Benavent;A Vidal Infer;A Alonso Arroyo;A Ferrer Sapena;;
A Manetti;A Ferrer Sapena;EAS Perez;P Lara Navarra;;
R Aleixandre Benavent;A Ferrer Sapena;A Alonso Arroyo;A Vidal Infer;;
AG Garcia;A Pardo Ibanez;AF Sapena;FP Mancebo;LMG Moreno;
L Petrosyan;R Aleixandre Benavent;F Peset;JC Valderrama Zurian;;
A Garcia Garcia;JM Rodriguez Gairin;T Saorin;LM Gonzalez;;
