R Martinez-Sala;C Rubio;LM Garcia Raffi;JV Sanchez-Perez;;;;
N Jimenez;R Pico;V Sanchez Morcillo;V Romero-Garcia;;;;
V Romero-Garcia;JV Sanchez-Perez;S Castineira-Ibanez;;;;;
V Romero-Garcia;JV Sanchez-Perez;LM Garcia Raffi;;;;;
V Romero-Garcia;A Krynkin;LM Garcia Raffi;O Umnova;;;;
N Jimenez;V Romero-Garcia;LM Garcia Raffi;F Camarena;K Staliunas;;;
LM Garcia Raffi;S Romaguera;EAS Perez;;;;;
V Romero-Garcia;JV Sanchez-Perez;LM Garcia Raffi;;;;;
X Garcia-Masso;P Serra-Ano;LM Garcia Raffi;EAS Perez;;;;
JFR Archilla;YA Kosevich;N Jimenez;VJ Sanchez-Morcillo;;;;
S Castineira-Ibanez;C Rubio;V Romero-Garcia;JV Sanchez-Perez;;;;
K Gulda;W Kurcewicz;AJ Aas;MJG Borge;DG Burke;B Fogelberg;;
V Romero-Garcia;JV Sanchez-Perez;LM Garcia Raffi;JM Herrero;;;;
V Romero-Garcia;JV Sanchez-Perez;LM Garcia Raffi;;;;;
JM Herrero;S Garcia-Nieto;X Blasco;V Romero-Garcia;;;;
LM Garcia Raffi;R Sanchez-Perez;;;;;;
LM Garcia Raffi;S Romaguera;EAS Perez;;;;;
J Bea;A Gadea;LM Garcia Raffi;J Rico;B Rubio;JL Tain;;
V Romero-Garcia;E Fuster;LM Garcia Raffi;EAS Perez;;;;
V Romero-Garcia;A Cebrecos;R Pico;VJ Sanchez-Morcillo;;;;
LM Garcia Raffi;;;;;;;
PF De Cordoba;LM Garcia Raffi;JM Sanchis;;;;;
EAS Perez;LM Garcia Raffi;JVS Perez;;;;;
N Jimenez;V Romero-Garcia;R Pico;A Cebrecos;VJ Sanchez-Morcillo;;;
A Mehrem;N Jimenez;LJ Salmeron-Contreras;X Garcia-Andres;;;;
I Herrero-Dura;A Cebrecos;R Pico;V Romero-Garcia;LM Garcia Raffi;;;
I Ferrando;L Albarracin;C Gallart;LM Garcia Raffi;N Gorgorio;;;
C Alegre;I Ferrando;LM Garcia Raffi;EAS Perez;;;;
N Jimenez;V Romero-Garcia;A Cebrecos;R Pico;VJ Sanchez-Morcillo;;;
A Cebrecos;R Pico;VJ Sanchez-Morcillo;K Staliunas;V Romero-Garcia;;;
LM Garcia Raffi;S Romaguera;MP Schellekens;;;;;
LM Garcia Raffi;S Romaguera;EAS Perez;;;;;
