J Aznar Bellver;F Guijarro Martinez;;;
R Cervello Royo;F Guijarro Martinez;K Michniuk;;
F Guijarro Martinez;JA Poyatos;;;
R Arevalo;J Garcia;F Guijarro Martinez;A Peris;
D Visbal Cadavid;M Martinez Gomez;F Guijarro Martinez;;
F Garcia;V Gimenez;F Guijarro Martinez;;
F Garcia;F Guijarro Martinez;I Moya;;
F Garcia;J Gonzalez Bueno;F Guijarro Martinez;J Oliver;
I Arribas;F Garcia;F Guijarro Martinez;J Oliver;R Tamosiuniene
F Garcia;F Guijarro Martinez;I Moya;;
F Garcia;F Guijarro Martinez;J Oliver;;
F Garcia;F Guijarro Martinez;J Oliver;R Tamosiuniene;
J Aznar;F Guijarro Martinez;JM Moreno Jimenez;;
R Cervello Royo;F Guijarro Martinez;;;
F Guijarro Martinez;I Moya Clemente;J Saleemi;;
F Garcia;J Gonzalez Bueno;F Guijarro Martinez;J Oliver;R Tamosiuniene
F Guijarro Martinez;P Tsinaslanidis;;;
F Guijarro Martinez;M Martinez Gomez;D Visbal Cadavid;;
G Garcia Martinez;F Guijarro Martinez;JA Poyatos;;
J Aznar;J Ferris Onate;F Guijarro Martinez;;
J Aznar;F Guijarro Martinez;;;
T Gomez Navarro;M Garcia Melon;F Guijarro Martinez;M Preuss;
F Garcia Garcia;J Gonzalez Bueno;F Guijarro Martinez;J Oliver Muncharaz;
J Aznar;F Guijarro Martinez;;;
J Aznar Bellver;F Guijario Martinez;;;
R Cervello Royo;F Guijarro Martinez;V Martinez Gomez;;
J Aznar Bellver;R Gonzalez Mora;F Guijarro Martinez;AA Lopez Perales;
F Garcia;F Guijarro Martinez;I Moya;;
C Burmann;F Garcia;F Guijarro Martinez;J Oliver;
P Tsinaslanidis;F Guijarro Martinez;;;
F Guijarro Martinez;I Moya Clemente;J Saleemi;;
F Guijarro Martinez;;;;
F Guijarro Martinez;;;;
R Cervello Royo;F Guijarro Martinez;T Pfahler;M Preuss;
F Guijarro Martinez;F Garcia Garcia;;;
F Garcia;F Guijarro Martinez;I Moya;;
JA Bellver;FG Martinez;JMM Jimenez;;
X Wang;F Garcia;F Guijarro Martinez;I Moya;
FG Garcia;FG Martinez;IM Clemente;;
F Garcia;F Guijarro Martinez;J Oliver;;
F Guijarro Martinez;;;;
F Guijarro Martinez;I Moya;;;
F Garcia Garcia;F Guijarro Martinez;I Moya Clemente;;
F Garcia;FG Martinez;I Clemente;;
