J Bonet;M Friz;E Jorda;;;;
MJ Beltran;MC Gomez Collado;E Jorda;D Jornet;;;
JD Rossi;EV Teixeira;JM Urbano;;;;
J Bonet;L Frerick;E Jorda;;;;
JM Mazon;JD Rossi;J Toledo;;;;
MJ Beltran;MC Gomez Collado;E Jorda;D Jornet;;;
L Frerick;E Jorda;J Wengenroth;;;;
J Bonet;E Jorda;M Maestre;;;;
FJ Fernandez Polo;E Jorda;AM Peralta;;;;
E Jorda;A Rodriguez Arenas;;;;;
C Fernandez;A Galbis;E Jorda;;;;
E Jorda;;;;;;
A Galbis;E Jorda;;;;;
L Frerick;E Jorda;T Kalmes;J Wengenroth;;;
J Bonet;E Jorda;A Rodriguez;;;;
L Frerick;E Jorda;J Wengenroth;;;;
E Jorda;;;;;;
L Frerick;E Jorda;;;;;
J Bonet;L Frerick;E Jorda;;;;
L Frerick;E Jorda;J Wengenroth;;;;
MJ Beltran;E Jorda;M Murillo Arcila;;;;
E Jorda;AM Peralta;;;;;
MC Gomez Collado;E Jorda;D Jornet;;;;
AA Albanese;E Jorda;C Mele;;;;
MJ Beltran;E Jorda;;;;;
E Jorda;;;;;;
C Fernandez;A Galbis;E Jorda;;;;
J Galindo;E Jorda;;;;;
LM Del Pezzo;CA Mosquera;E Jorda;;;;
E Jorda;AM Zarco;;;;;
E Jorda;AM Peralta;;;;;
E Jorda;AM Zarco;;;;;
E Jorda;;;;;;
FJ Fernandez Polo;E Jorda;AM Peralta;;;;
J Bonet;M Gomez Collado;E Jorda;D Jornet;;;
MC Gomez Collado;E Jorda;;;;;
MJ Beltran;J Bonet;E Jorda;;;;
D Garcia;E Jorda;M Maestre;;;;
MJ Beltran;J Bonet;E Jorda;;;;
J Galindo;E Jorda;A Rodriguez Arenas;;;;
L Frerick;E Jorda;J Wengenroth;;;;
V Asensio;E Jorda;T Kalmes;;;;
J Galindo;E Jorda;A Rodriguez Arenas;;;;
MJ Beltran;J Bonet;E Jorda;;;;
E Jorda;;;;;;
L Frerick;A Jakobs;E Jorda;J Wengenroth;;;
MJ Beltran;E Jorda;M Murillo Arcila;;;;
MJ Beltran;E Jorda;M Murillo Arcila;;;;
R Aron;J Bonet;CG Collado;D Jornet;M Maestre;M Acosta;O Blasco
MJ Beltran;MC Gomez;E Jorda;D Jornet;;;
E Jorda;;;;;;
DS Ferra;;;;;;
E Jorda;MJ Beltran;M Murillo Arcila;;;;
E Jorda;;;;;;
