MJ Beltran Meneu;MC Gomez Collado;E Jorda;D Jornet;;;
C Boiti;D Jornet;A Oliaro;;;;
C Boiti;D Jornet;A Oliaro;;;;
MJ Beltran Meneu;MC Gomez Collado;E Jorda;D Jornet;;;
C Boiti;D Jornet;A Oliaro;;;;
AA Albanese;D Jornet;A Oliaro;;;;
C Fernandez;A Galbis;D Jornet;;;;
C Boiti;D Jornet;A Oliaro;G Schindl;;;
C Boiti;D Jornet;;;;;
C Fernandez;A Galbis;D Jornet;;;;
V Asensio;D Jornet;;;;;
C Boiti;D Jornet;J Juan Huguet;;;;
C Fernandez;A Galbis;D Jornet;;;;
C Boiti;D Jornet;;;;;
AA Albanese;D Jornet;A Oliaro;;;;
AA Albanese;D Jornet;;;;;
AA Albanese;D Jornet;;;;;
MC Gomez Collado;E Jorda;D Jornet;;;;
D Jornet;D Santacreu;P Sevilla Peris;;;;
C Boiti;D Jornet;A Oliaro;G Schindl;;;
C Boiti;D Jornet;A Oliaro;;;;
JM Bonet;C Gomez Collado;J David;E Wolf;;;
D Jornet;D Santacreu;P Sevilla Peris;;;;
C Boiti;D Jornet;;;;;
D Jornet;A Oliaro;;;;;
J Bonet;D Jornet;P Sevilla Peris;;;;
V Asensio;C Boiti;D Jornet;A Oliaro;;;
D Jornet;V Montesinos;A Roca;;;;
J Bonet;M Gomez Collado;E Jorda;D Jornet;;;
AA Albanese;D Jornet;;;;;
C Fernandez;A Galbis;D Jornet;;;;
C Boiti;D Jornet;A Oliaro;G Schindl;;;
C Boiti;D Jornet;A Oliaro;G Schindl;;;
J Bonet;D Jornet;D Santacreu;P Sevilla Peris;;;
MC Gomez Collado;D Jornet Casanova;;;;;
DJ Casanova;;;;;;
V Asensio;C Boiti;D Jornet;A Oliaro;;;
B Chiara;J David;A Oliaro;S Gerhard;;;
C Boiti;D Jornet;;;;;
C Boiti;D Jornet;A Oliaro;;;;
J Bonet;D Jornet;P Sevilla Peris;;;;
J Bonet;D Jornet;P Sevilla Peris;;;;
J Bonet;D Jornet;P Sevilla Peris;;;;
J Bonet;D Jornet;P Sevilla Peris;;;;
J Bonet;D Jornet;P Sevilla Peris;;;;
J Bonet;D Jornet;P Sevilla Peris;;;;
R Aron;J Bonet;CG Collado;D Jornet;M Maestre;M Acosta;O Blasco
E Buzano;C Boiti;D Jornet;A Oliaro;;;
M Jose Beltran;MC Gomez;E Jorda;D Jornet;;;
O Blasco;;;;;;
C Boiti;D Jornet;A Oliaro;G Schindl;;;
M Cappiello;S Coriasco;S Furdos;M Hitrik;H Jacobowitz;MR Jahnke;
DS Ferra;;;;;;
C Boiti;D Jornet;;;;;
