RR Jimenez Munguia;V Galan;F Martinez Gimenez;A Peris;
S Bartoll;F Martinez Gimenez;A Peris;;
F Martinez Gimenez;P Oprocha;A Peris;;
JA Conejero;F Martinez Gimenez;;;
Bermudez T; Bonilla A;F Martinez Gimenez;A Peris;
V Galan;F Martinez Gimenez;P Oprocha;A Peris;
J Bonet;F Martinez Gimenez;A Peris;;
J Bonet;F Martinez Gimenez;A Peris;;
F Martinez Gimenez;A Peris;F Rodenas;;
S Bartoll;F Martinez Gimenez;A Peris;F Rodenas;
F Martinez Gimenez;P Oprocha;A Peris;;
F Martinez Gimenez;EAS Perez;;;
C Gilmore;F Martinez Gimenez;A Peris;;
JA Antonino Daviu;F Martinez Gimenez;A Peris;N Ramezanzadeh;F Rodenas
S Bartoll;F Martinez Gimenez;M Murillo Arcila;A Peris;
RM Abu Saris;F Martinez Gimenez;A Peris;;
D Cava;JM Lagaron;F Martinez Gimenez; Gavara R;
JA Conejero;F Martinez Gimenez;A Peris;F Rodenas;
S Bartoll;F Martinez Gimenez;A Peris;F Rodenas;
MC Gomez Collado;F Martinez Gimenez;A Peris;F Rodenas;
F Martinez Gimenez;A Peris;;;
JA Conejero;F Martinez Gimenez;A Peris;F Rodenas;
JC Hernandez;JA Antonino Daviu;F Martinez Gimenez;A Peris;
JA Antonino Daviu;M Riera Guasp;J Roger Folch;F Martinez Gimenez;A Peris
J Bonet;F Martinez Gimenez;A Peris;;
F Martinez Gimenez;A Peris;;;
F Martinez Gimenez;;;;
S Bartoll;F Martinez Gimenez;A Peris;;
F Martinez Gimenez;A Peris;;;
F Martinez Gimenez;A Peris;;;
