M Clerici;Y Hu;P Lassonde;C Milian;A Couairon;DN Christodoulides;;;
C Milian;DV Skryabin;;;;;;;
C Milian;AV Gorbach;M Taki;AV Yulin;DV Skryabin;;;;
G Point;Y Brelet;A Houard;V Jukna;C Milian;J Carbonnel;Y Liu;;
C Xie;V Jukna;C Milian;R Giust;I Ouadghiri Idrissi;T Itina;JM Dudley;;
G Point;C Milian;A Couairon;A Mysyrowicz;A Houard;;;;
I Dicaire;V Jukna;C Praz;C Milian;L Summerer;A Couairon;;;
V Jukna;C Milian;C Xie;T Itina;J Dudley;F Courvoisier;A Couairon;;
C Milian;DV Skryabin;A Ferrando;;;;;;
C Milian;YV Kartashov;L Torner;;;;;;
FR Arteaga Sierra;C Milian;I Torres Gomez;M Torres Cisneros;G Molto;;;;
S Minardi;C Milian;D Majus;A Gopal;G Tamosauskas;A Couairon;;;
V Jukna;A Jarnac;C Milian;Y Brelet;J Carbonnel;YB Andre;;;
C Milian;DE Ceballos Herrera;DV Skryabin;A Ferrando;;;;;
C Milian;A Ferrando;DV Skryabin;;;;;;
FR Arteaga Sierra;C Milian;I Torres Gomez;M Torres Cisneros;;;;;
T Marest;CM Arabi;M Conforti;A Mussot;C Milian;DV Skryabin;;;
JH Talla Mbe;C Milian;YK Chembo;;;;;;
C Milian;A Jarnac;Y Brelet;V Jukna;A Houard;A Mysyrowicz;;;
YV Kartashov;C Milian;VV Konotop;L Torner;;;;;
P Parra Rivas;S Hetzel;YV Kartashov;PF de Cordoba;;;;;
A Ferrando;C Milian;DV Skryabin;;;;;;
C Milian;DV Skryabin;;;;;;;
Y Sun;P Parra Rivas;C Milian;YV Kartashov;M Ferraro;F Mangini;;;
C Milian;YV Kartashov;DV Skryabin;L Torner;;;;;
C Milian;T Marest;A Kudlinski;DV Skryabin;;;;;
T Marest;CM Arabi;M Conforti;A Mussot;C Milian;DV Skryabin;;;
V Milian Sanchez;A Mocholi Salcedo;C Milian;VA Kolombet;G Verdu;;;;
C Milian;V Jukna;A Couairon;A Houard;B Forestier;J Carbonnel;Y Liu;;
C Milian;YV Kartashov;DV Skryabin;L Torner;;;;;
TJ Wang;MH Ebrahim;I Afxenti;D Adamou;AC Dada;R Li;Y Leng;;
SB Ivars;YV Kartashov;L Torner;JA Conejero;C Milian;;;;
T Marest;CM Arabi;M Conforti;A Mussot;C Milian;DV Skryabin;;;
G Molto;M Arevalillo Herraez;C Milian;M Zacares;V Hernandez;;;;
FR Arteaga Sierra;C Milian;I Torres Gomez;M Torres Cisneros;;;;;
S Alyatkin;C Milian;YV Kartashov;KA Sitnik;I Gnusov;JD Topfer;;;
F Scholkmann;V Milian Sanchez;A Mocholi Salcedo;C Milian;;;;;
SA Hussain;C Milian;C Crotti;L Kowalczuk;F Alahyane;Z Essaidi;;;
SB Ivars;YV Kartashov;PF de Cordoba;JA Conejero;L Torner;C Milian;;;
AN Grum Grzhimailo;YV Popov;EV Gryzlova;AV Solovayov;;;;;
N Gonzalez Baquedano;N Arzate;I Torres Gomez;A Ferrando;;;;;
I Suarez;JP Martinez Pastor;MF Oszajca;NA Luchinger;B Graves;;;;
V Jukna;A Couairon;I Dicaire;C Praz;C Milian;A Couairon;L Summerer;;
A Ferrando;C Milian;N Gonzalez;G Molto;P Loza;M Arevalillo Herraez;;;
A Houard;Y Brelet;A Jarnac;J Carbonnel;A Mysyrowicz;C Milian;;;
NG Baquedano;S Vargas;N Arzate;I Torres Gomez;A Martinez Rios;;;;
MEI Martinez;MAG March;CM Enrique;PF de Cordoba;;;;;
Y Sun;P Parra Rivas;C Milian;M Ferraro;F Mangini;M Zitelli;;;
T Marest;CM Arabi;M Conforti;A Mussot;C Milian;DV Skryabin;;;
YV Kartashov;C Milian;VV Konotop;L Torner;;;;;
K Plamann;SA Hussain;F Alahyane;A Couairon;C Crotti;Z Essaidi;;;
V Jukna;A Jarnac;C Milian;Y Brelet;J Carbonnel;YB Andre;;;
A Ferrando;YP Bliokh;KY Bliokh;M Zacares;C Milian;DE Ceballos;;;
Q Tang;Y Zhang;YV Kartashov;C Milian;;;;;
SB Ivars;C Milian;M Botey;R Herrero;K Staliunas;;;;
SB Ivars;C Milian;M Botey;K Staliunas;R Herrero;;;;
Y Sun;P Parra Rivas;C Milian;YV Kartashov;M Ferraro;F Mangini;;;
SB Ivars;YV Kartashov;PF De Cordoba;JA Conejero;L Torner;C Milian;;;
P Parra Rivas;S Hetzel;YV Kartashov;PF De Cordoba;JA Conejero;;;;
Y Sun;P Parra Rivas;C Milian;M Ferraro;F Mangini;S Wabnitz;;;
Y Sun;P Parra Rivas;C Milian;YV Kartashov;M Ferraro;F Mangini;;;
Y Sun;P Parra Rivas;C Milian;YV Kartashov;M Ferraro;F Mangini;;;
W TJ;E MH;I Afxenti;D Adamou;C Milian;D AC;Y Leng;D JC;D Faccio
I Suarez;JP Martinez Pastor;MF Oszajca;NA Luchinger;B Graves;;;;
DN Puzyrev;NV Alexeeva;IV Barashenkov;BA Malomed;C Milian;;;;
T Marest;CM Arabi;M Conforti;A Mussot;A Kudlinski;C Milian;;;
V Jukna;C Milian;A Mysyrowicz;A Couairon;A Houard;;;;
C Milian;T Marest;A Kudlinski;DV Skryabin;;;;;
M Clerici;Y Hu;P Lassonde;C Milian;A Couairon;D Christodoulides;;;
C Milian;V Jukna;A Couairon;A Houard;A Mysyrowicz;;;;
S Minardi;C Milian;D Majus;A Gopal;G Tamosauskas;A Couairon;;;
G Point;C Milian;A Couairon;A Mysyrowicz;A Houard;;;;
M Clerici;Y Hu;P Lassonde;C Milian;A Couairon;D Christodoulides;;;
C Xie;V Jukna;C Milian;R Giust;T Itina;A Couairon;JM Dudley;;
C Milian;AV Gorbach;M Taki;DV Skryabin;;;;;
M Clerici;Y Hu;P Lassonde;C Milian;A Couairon;D Christodoulides;;;
C Xie;V Jukna;IO Idrissi;C Milian;R Giust;L Furfaro;P Lacourt;;
M Clerici;Y Hu;P Lassonde;C Milian;A Couairon;D Christodoulides;;;
G Point;Y Brelet;C Milian;L Arantchouk;B Prade;J Carbonnel;;;
A Couairon;V Jukna;C Milian;CL Arnold;S Akturk;A Mysyrowicz;;;
A Couairon;V Jukna;C Milian;CL Arnold;S Akturk;A Mysyrowicz;;;
S Minardi;D Majus;A Gopal;G Tamosauskas;C Milian;A Couairon;;;
G Point;Y Brelet;A Houard;V Jukna;C Milian;J Carbonnel;A Couairon;;
C Milian;A Jarnac;Y Brelet;V Jukna;A Houard;A Mysyrowicz;;;
C Milian;DE Ceballos Herrera;DV Skryabin;A Ferrando;;;;;
C Milian;;;;;;;;
C Milian;;;;;;;;
DE Ceballos Herrera;J Sanchez Mondragon;A Alejo Molina;;;;;;
MA Fuentes Fuentes;G Lopez Galmiche;A Vazquez Guardado;;;;;;
A Ferrando;C Milian;D Ceballos;DV Skryabin;;;;;
A Ferrando;C Milian;D Ceballos;I Orquin;MA Garcia March;;;;
M Clerici;Y Hu;P Lassonde;C Milian;A Couairon;DN Christodoulides;;;
M Clerici;Y Hu;P Lassonde;C Milian;A Couairon;DN Christodoulides;;;
V Jukna;C Milian;R Guillermin;JP Sessarego;D Fattaccioli;;;;
G Point;C Milian;V Jukna;A Couairon;A Mysyrowicz;A Houard;;;
A Ferrando;C Milian;DE Ceballos Herrera;DV Skryabin;;;;;
