MJ Felipe;A Martinez Pastor;V Sotomayor;
MJ Felipe;A Martinez Pastor;V Sotomayor;
MJ Felipe;A Martinez Pastor;V Sotomayor;
S Dolfi;E Pacifici;L Sanus;V Sotomayor
M Maldonado;V Sotomayor;;
MJ Felipe;A Martinez Pastor;V Sotomayor;
S Dolfi;E Pacifici;L Sanus;V Sotomayor
MJ Felipe;N Grittini;V Sotomayor;
S Dolfi;E Pacifici;L Sanus;V Sotomayor
MJ Felipe;LS Kazarin;A Martinez Pastor;V Sotomayor
MJ Felipe;A Martinez Pastor;V Sotomayor;
MJ Felipe;V Sotomayor;;
MJ Felipe;MD Perez Ramos;V Sotomayor;
V Sotomayor;;;
MJ Felipe;V Sotomayor;;
V Sotomayor;;;
MJ Felipe;MK Jean Philippe;V Sotomayor;
M Sales;X Soler Escriva;V Sotomayor;
V Sotomayor;;;
M Jose Felipe;MD Perez Ramos;V Sotomayor;
V Sotomayor;;;
MJ Felipe;MK Jean Philippe;V Sotomayor;
M Jose Felipe;MK Jean Philippe;V Sotomayor;
V Sotomayor;;;
M Maldonado Devis;V Sotomayor;;
V Sotomayor;;;
V Sotomayor;M Maldonado;J Villagrasa;
V Sotomayor;;;
V Sotomayor;;;
V Sotomayor;X Soler Escriva;;
C Alonso Gonzalez;R Guerrero Frances;MA Navarro Perez;
MJ Felipe;FJ Monserrat Delpalillo;V Sotomayor;
V Sotomayor;MJ Felipe;A Martinez Pastor;
V Sotomayor;;;
V Sotomayor;;;
M Maldonado;V Sotomayor;;
