K Grosse Erdmann;A Peris Manguillot;;;;;
J Bes;A Peris;;;;;
J Antonino Daviu;M Riera Guasp;J Roger Folch;F Martinez Gimenez;;;
R Arevalo;J Garcia;F Guijarro;A Peris;;;
J Bonet;A Peris;;;;;
J Bes;A Peris;;;;;
JA Conejero;V Muller;A Peris;;;;
T Bermudez;A Bonilla;F Martinez Gimenez;A Peris;;;
NC Bernardes Jr;A Bonilla;V Muller;A Peris;;;
T Bermudez;A Bonilla;J Conejero;A Peris;;;
F Martinez Gimenez;A Peris;;;;;
A Peris;;;;;;
NC Bernardes;A Bonilla;V Muller;A Peris;;;
A Peris;;;;;;
T Bermudez;A Bonilla;A Peris;;;;
J Bes;Q Menet;A Peris;Y Puig;;;
JL Garcia Guirao;D Kwietniak;M Lampart;P Oprocha;A Peris;;
F Martinez Gimenez;P Oprocha;A Peris;;;;
J Bes;O Martin;A Peris;S Shkarin;;;
J Bonet;F Martinez Gimenez;A Peris;;;;
J Bonet;F Martinez Gimenez;A Peris;;;;
J Bonet;F Martinez Gimenez;A Peris;;;;
J Bes;O Martin;A Peris;;;;
JA Conejero;A Peris;;;;;
R Aron;J Bes;F Leon;A Peris;;;
J Bonet;L Frerick;A Peris;J Wengenroth;;;
A Peris;L Saldivia;;;;;
NC Bernardes Jr;A Bonilla;A Peris;X Wu;;;
KG Grosse Erdmann;A Peris;;;;;
JA Conejero;A Peris;;;;;
M Murillo Arcila;A Peris;;;;;
F Martinez Gimenez;P Oprocha;A Peris;;;;
RM Aron;JA Conejero;A Peris;JB Seoane Sepulveda;;;
G Costakis;A Peris;;;;;
AA Albanese;X Barrachina;EM Mangino;A Peris;;;
F Martınez Gimenez;A Peris;;;;;
A Peris;;;;;;
A Bonilla;KG Grosse Erdmann;A Lopez Martinez;A Peris;;;
KG Grosse Erdmann;A Peris;;;;;
J Bes;Q Menet;A Peris;Y Puig;;;
RM Aron;JA Conejero;A Peris;JB Seoane Sepulveda;;;
NC Bernardes Jr;A Bonilla;A Peris;;;;
J Bonet;A Peris;;;;;
RR Jimenez Munguia;RA Martinez Avendano;A Peris;;;;
JC Hernandez;J Antonino Daviu;F Martinez Gimenez;A Peris;;;
JA Conejero;A Peris;M Trujillo;;;;
X Barrachina;A Peris;;;;;
S Bartoll;F Martinez Gimenez;A Peris;;;;
A Peris;;;;;;
