F Peset;A Ferrer Sapena;M Villamon Herrera;;;
F Peset;A Ferrer Sapena;I Subirats Coll;;;
A Ferrer Sapena;F Peset;R Aleixandre Benavent;;;
LM Gonzalez;X Garcia Masso;A Pardo Ibanez;F Peset;J Devis Devis;
S Coronado Ferrer;F Peset;A Ferrer Sapena;;;
F Peset;F Garzon Farinos;LM Gonzalez;X Garcia Masso;;
F Peset;R Aleixandre Benavent;Y Blasco Gil;A Ferrer Sapena;;
R Aleixandre Benavent;A Ferrer Sapena;F Peset;;;
A Garcia Garcia;A Lopez Borrull;F Peset;;;
MFP Mancebo;;;;;
F Peset;A Ferrer Sapena;T Baiget;;;
A Ferrer Sapena;F Peset;MT Moreno Nunez;N Lloret Romero;;
A Ferrer Sapena;EAS Perez;F Peset;LM Gonzalez;;
R Aleixandre Benavent;A Ferrer Sapena;F Peset;;;
R Aleixandre Benavent;A Vidal Infer;A Alonso Arroyo;F Peset;;
A Garcia Garcia;A Pardo Ibanez;A Ferrer Sapena;F Peset;;
T Baiget;JM Rodriguez Gairin;F Peset;I Subirats;A Ferrer Sapena;
L Millan Gonzalez;T Saorin;A Ferrer Sapena;R Alexandre Benavent;;
A Ferrer Sapena;EAS Perez;R Aleixandre Benavent;F Peset;;
T Saorin;F Peset;A Ferrer Sapena;;;
JM Baez;F Peset;F Nunez;A Ferrer Sapena;;
LM Gonzalez;J Devis Devis;M Pellicer Chenoll;M Pans;A Pardo Ibanez;
R Aleixandre Benavent;A Ferrer Sapena;SC Ferrer;F Peset;AG Garcia;
SD Toro;M Isabel;JM Calabuig;A Ferrer Sapena;F Peset;
F Peset;LM Gonzalez;;;;
F Peset;A Ferrer Sapena;;;;
Y Blasco Gil;LM Gonzalez;A Pavon Romero;M Mercado Estrada;;
A Ferrer Sapena;EAS Perez;LM Gonzalez;F Peset;;
A Ferrer Sapena;F Peset;;;;
F Peset;LM Gonzalez;;;;
F Peset;A Ferrer;I Subirats;A Munoz;;
M Peset;MF Mancebo;MF Peset;;;
R Aleixandre Benavent;A Vidal Infer;A Alonso Arroyo;A Ferrer Sapena;;
V Nina Alcocer;Y Blasco Gil;F Peset;;;
F Garzon Farinos;F Peset;;;;
FP Mancebo;IS Coll;AJ Tarradelles;JMB Cruz;NN Domenech;
M Peset;;;;;
L Petrosyan;R Aleixandre Benavent;F Peset;JC Valderrama Zurian;;
F Peset;AL Fernandez Lopez;;;;
A Garcia Garcia;JM Rodriguez Gairin;T Saorin;LM Gonzalez;;
M Gato Gutierrez;P Benlloch;P Maynes;R Aleixandre;LM Gonzalez;
A Ferrer Sapena;E Erdogan;E Jimenez Fernandez;EAS Perez;;
A Ferrer;F Peset;;;;
F Peset;J Prats;;;;
A Ferrer Sapena;NL Romero;MTM Nunez;;;
F Garzon Farinos;FP Mancebo;;;;
A Garcia Garcia;;;;;
E Orduna Malea;F Peset;A Ferrer Sapena;;;
F Peset;;;;;
F Peset;;;;;
Y Blasco Gil;LM Gonzalez;A Pavon Romero;M Mercado Estrada;;
A Garcia Garcia;A Pardo Ibanez;A Ferrer Sapena;F Peset;;
T Saorin;F Peset;A Ferrer Sapena;;;
F Peset;T Baiget;A Ferrer Sapena;JM Rodriguez Gairin;;
F Peset;;;;;
R Aleixandre Benavent;A Ferrer Sapena;F Peset;;;
A Ferrer Sapena;R Aleixandre Benavent;F Peset;EAS Perez;;
A Garcia Garcia;X Garcia Masso;A Ferrer Sapena;LM Gonzalez;;
A Ferrer Sapena;F Peset;R Aleixandre Benavent;;;
FP Mancebo;A Ferrer Sapena;NL Romero;;;
E Abadal;R Aleixandre;A Canals;A Ferrer;I Garrigos;T Hernandez
F Peset;A Ferrer Sapena;MF Garzon Farinos;;;
A Lopez Borrull;R Melero;C Olle Castella;F Peset;;
R Aleixandre Benavent;A Vidal Infer;A Alonso Arroyo;JG de Dios;;
R Aleixandre Benavent;A Ferrer Sapena;F Peset;;;
R Aleixandre Benavent;A Ferrer Sapena;F Peset;;;
F Peset;;;;;
F Peset;T Baiget;;;;
F Peset;;;;;
T Baiget;A Ferrer Sapena;JA Ontalba Ruiperez;E Orduna Malea;;
T Baiget;F Peset;I Subirats Coll;JM Rodriguez Gairin;A Ferrer Sapena;
F Peset;A Ortin Perez;;;;
N Galan Serrano;N Lloret;F Peset;F Torres Faus;;
F Peset;;;;;
A De Robbio;I Subirats Coll;A Cosco;C Vidal Cabo;F Peset;
A Ferrer Sapena;R Aleixandre Benavent;F Peset;A Vidal Infer;;
F Peset;Y Blasco Gil;;;;
LM Gonzalez Moreno;F Peset;;;;
F Peset;A Fernandez;A Ferrer Sapena;A Garcia Garcia;R Aleixandre;
A Ferrer Sapena;EAS Perez;F Peset;LM Gonzalez;;
F Peset;;;;;
V Nina Alcocer;Y Blasco Gil;F Peset;;;
LM Gonzalez;F Peset;;;;
LM Gonzalez;T Saorin;A Ferrer Sapena;R Aleixandre Benavent;;
A Garcia Garcia;X Garcia Masso;A Ferrer Sapena;;;
F Peset;A Ferrer Sapena;I Subirats Coll;;;
E Beneito;F Peset;A Ferrer;R Aleixandre;;
F Peset;T Baiget;;;;
F Peset;A Ferrer Sapena;JM Rodriguez Gairin;T Baiget;I Subirats Coll;
F Peset;A Ferrer;T Baiget;;;
MF Peset;M Cabrera;N Lloret;L Tolosa;;
M Ayala Gascon;A Gandia Balaguer;R Aleixandre Benavent;;;
A Sixto Costoya;A Ferrer Sapena;R Aleixandre Benavent;F Peset;;
F Peset;;;;;
L Petrosyan;R Aleixandre Benavent;F Peset;JC Valderrama Zurian;;
Y Blasco Gil;F Peset;;;;
A De Robbio;I Subirats;F Peset;;;
F Peset;I Subirats Coll;;;;
L Petrosyan;A Sixto Costoya;F Peset;A Ferrer Sapena;;
P Luiza;SC Andrea;VZ Juan Carlos;F Peset;A Ferrer Sapena;
L Petrosyan;A Garcia Garcia;F Peset;A Ferrer Sapena;;
B Ortiz Campos;E Tendero;JC Valderrama Zurian;;;
L Petrosyan;H Falciani;E Raso;A Ferrer Sapena;F Peset;P Lara
F Peset;A Ferrer Sapena;;;;
A Ferrer Sapena;F Peset;M Calabuig;C Vidal;A Fuster;
A De Robbio;I Subirats;F Peset;;;
R Aleixandre Benavent;F Sapena;F Peset;;;
F Peset;C Vidal Cabo;D Arroyo Mora;R Aleixandre Benavent;;
C Olle;E Abadal;R Aleixandre;A Canals;A Ferrer Sapena;
F Peset;D Arroyo;R Aleixandre Benavent;C Vidal Cabo;;
R Melero;E Abadal;R Aleixandre Garrido;A Canals;A Ferrer Sapena;
F Garzon Farinos;F Peset;;;;
F Peset;;;;;
F Peset;JS Bejarano Ballen;;;;
JS Bejarano Ballen;F Peset;JM Calabuig;A Ferrer Sapena;;
F Peset;;;;;
A Ferrer Sapena;EAS Perez;F Peset;;;
R Albinana Bertomeu;C Garcia Gomez;LM Gonzalez;F Peset;;
YB Gil;F Peset;LM Gonzalez;MM EStrada;CP Romero;AC Peset
F Peset;A Ferrer Sapena;F Garzon Farinos;;;
JM Calabuig;F Peset;;;;
F Peset;;;;;
A Ferrer Sapena;F Peset;R Aleixandre Benavent;A Vidal Infer;;
S Diago Gonzalvo;JS Bejarano Ballen;A Ferrer Sapena;F Peset;;
R Aleixandre Benavent;A Ferrer Sapena;A Vidal Infer;A Alonso Arroyo;;
JM Rodriguez Gairin;L Gonzalez;F Peset;T Saorin;X Garcia Masso;
A Ferrer Sapena;JM Rodriguez Gairin;F Peset;T Baiget;I Subirats;
R Aleixandre Benavent;L Castello Cogollos;D Melero Fuentes;;;
R Albinana;JM Rodriguez Gairin;A Ferrer Sapena;L Millan Gonzalez;;
F Peset;R Aleixandre Benavent;S Diago Gonzalvo;A Ferrer Sapena;;
R Aleixandre;F Peset;;;;
A Donate Cifuentes;F Peset;A Ferrer Sapena;C Garcia;;
F Peset;;;;;
A Ferrer Sapena;EAS Perez;R Aleixandre Benavent;F Peset;;
A Donate Cifuentes;F Peset;A Ferrer Sapena;C Garcia;;
I Aleixos;R Albinana;J Morales Aznar;F Peset;;
F Peset;R Aleixandre Benavent;A Lopez Borrull;;;
F Peset;;;;;
A Donate;F Peset;A Ferrer Sapena;C Garcia;;
