N Jimenez;V Romero Garcia;V Pagneux;JP Groby;;;;
N Jimenez;W Huang;V Romero Garcia;V Pagneux;JP Groby;;;
V Romero Garcia;G Theocharis;O Richoux;A Merkel;V Tournat;;;
V Romero Garcia;G Theocharis;O Richoux;V Pagneux;;;;
N Jimenez;V Romero Garcia;V Pagneux;JP Groby;;;;
A Merkel;G Theocharis;O Richoux;V Romero Garcia;V Pagneux;;;
N Jimenez;R Pico;V Sanchez Morcillo;V Romero Garcia;;;;
G Theocharis;O Richoux;VR Garcia;A Merkel;V Tournat;;;
V Romero Garcia;JV Sanchez Perez;S Castineira Ibanez;;;;;
V Romero Garcia;JV Sanchez Perez;LM Garcia Raffi;;;;;
V Romero Garcia;A Krynkin;LM Garcia Raffi;O Umnova;;;;
N Jimenez;TJ Cox;V Romero Garcia;JP Groby;;;;
N Jimenez;V Romero Garcia;LM Garcia Raffi;F Camarena;K Staliunas;;;
V Romero Garcia;R Pico;A Cebrecos;VJ Sanchez Morcillo;K Staliunas;;;
V Romero Garcia;JV Sanchez Perez;LM Garcia Raffi;;;;;
S Qu;N Gao;A Tinel;B Morvan;V Romero Garcia;JP Groby;P Sheng;
A Merkel;V Romero Garcia;JP Groby;J Li;J Christensen;;;
N Jimenez;O Umnova;JP Groby;;;;;
J Christensen;V Romero Garcia;R Pico;A Cebrecos;FJG De Abajo;;;
S Castineira Ibanez;C Rubio;V Romero Garcia;JV Sanchez Perez;;;;
J Boulvert;J Costa Baptista;T Cavalieri;M Perna;ER Fotsing;;;
V Romero Garcia;JV Sanchez Perez;LM Garcia Raffi;JM Herrero;;;;
T Cavalieri;A Cebrecos;JP Groby;C Chaufour;V Romero Garcia;;;
V Romero Garcia;JV Sanchez Perez;LM Garcia Raffi;;;;;
J Boulvert;T Cavalieri;J Costa Baptista;L Schwan;V Romero Garcia;;;
JM Herrero;S Garcia Nieto;X Blasco;V Romero Garcia;;;;
VJ Sanchez Morcillo;I Perez Arjona;V Romero Garcia;V Tournat;;;;
V Romero Garcia;AC Hladky Hennion;;;;;;
J Leng;V Romero Garcia;A Pelat;R Pico;JP Groby;F Gautier;;
V Romero Garcia;N Jimenez;JP Groby;A Merkel;V Tournat;;;
V Romero Garcia;C Lagarrigue;JP Groby;O Richoux;V Tournat;;;
V Romero Garcia;E Fuster;LM Garcia Raffi;EA Sanchez Perez;;;;
V Romero Garcia;N Jimenez;G Theocharis;V Achilleos;A Merkel;;;
V Romero Garcia;A Cebrecos;R Pico;VJ Sanchez Morcillo;;;;
J Boulvert;J Costa Baptista;T Cavalieri;V Romero Garcia;G Gabard;;;
N Jimenez;V Romero Garcia;JP Groby;;;;;
L Schwan;A Geslain;V Romero Garcia;JP Groby;;;;
AA Fernandez Marin;N Jimenez;JP Groby;J Sanchez Dehesa;;;;
N Jimenez;V Romero Garcia;R Pico;A Cebrecos;VJ Sanchez Morcillo;;;
I Herrero Dura;A Cebrecos;R Pico;V Romero Garcia;LM Garcia Raffi;;;
N Jimenez;V Romero Garcia;A Cebrecos;R Pico;VJ Sanchez Morcillo;;;
A Cebrecos;R Pico;VJ Sanchez Morcillo;K Staliunas;V Romero Garcia;;;
E Fuster Garcia;V Romero Garcia;JV Sanchez Perez;LM Garcia Raffi;;;;
V Romero Garcia;LM Garcia Raffi;JV Sanchez Perez;;;;;
V Romero Garcia;N Lamothe;G Theocharis;O Richoux;LM Garcia Raffi;;;
N Jimenez;VJ Sanchez Morcillo;R Pico;LM Garcia Raffi;;;;
J Boulvert;T Humbert;V Romero Garcia;G Gabard;ER Fotsing;A Ross;;
J Leng;F Gautier;A Pelat;R Pico;JP Groby;V Romero Garcia;;
J Plisson;A Pelat;F Gautier;VR Garcia;T Bourdon;;;
V Romero Garcia;JO Vasseur;LM Garcia Raffi;AC Hladky Hennion;;;;
S Castineira Ibanez;V Romero Garcia;JV Sanchez Perez;;;;;
N Jimenez;JP Groby;V Pagneux;V Romero Garcia;;;;
A Lardeau;JP Groby;V Romero Garcia;;;;;
A Cebrecos;V Romero Garcia;R Pico;I Perez Arjona;V Espinosa;;;
N Jimenez;JP Groby;V Romero Garcia;;;;;
C Bricault;C Pezerat;M Collet;A Pyskir;P Perrard;G Matten;;
V Romero Garcia;JV Sanchez Perez;LM Garcia Raffi;;;;;
N Jimenez;JP Groby;V Romero Garcia;;;;;
MJ Rivera;M Trujillo;V Romero Garcia;JAL Molina;E Berjano;;;
LM Garcia Raffi;LJ Salmeron Contreras;I Herrero Dura;R Pico;;;;
J Zhang;V Romero Garcia;G Theocharis;O Richoux;V Achilleos;;;
T Cavalieri;J Boulvert;V Romero Garcia;G Gabard;M Escouflaire;;;
W Huang;L Schwan;V Romero Garcia;JM Genevaux;JP Groby;;;
N Jimenez;J Ealo;RD Muelas Hurtado;A Duclos;V Romero Garcia;;;
S Castineira Ibanez;V Romero Garcia;JV Sanchez Perez;;;;;
V Romero Garcia;JO Vasseur;AC Hladky Hennion;LM Garcia Raffi;;;;
T Cavalieri;J Boulvert;G Gabard;V Romero Garcia;M Escouflaire;;;
A Terroir;L Schwan;T Cavalieri;V Romero Garcia;G Gabard;JP Groby;;
E Ballestero;N Jimenez;JP Groby;S Dance;H Aygun;V Romero Garcia;;
J Zhang;V Romero Garcia;G Theocharis;O Richoux;V Achilleos;;;
C Olivier;G Poignand;M Mallejac;V Romero Garcia;G Penelet;A Merkel;;
JP Groby;M Mallejac;A Merkel;V Romero Garcia;V Tournat;D Torrent;;
L Barguet;V Romero Garcia;N Jimenez;LM Garcia Raffi;;;;
A Geslain;JP Groby;V Romero Garcia;F Cervera;J Sanchez Dehesa;;;
J Zhang;V Romero Garcia;G Theocharis;O Richoux;V Achilleos;;;
T Cavalieri;J Boulvert;L Schwan;G Gabard;V Romero Garcia;JP Groby;;
J Zhang;V Romero Garcia;G Theocharis;O Richoux;V Achilleos;;;
MJ Rivera;JAL Molina;M Trujillo;V Romero Garcia;EJ Berjano;;;
V Romero Garcia;E Cheron;S Kuznetsova;JP Groby;S Felix;V Pagneux;;
M Mallejac;A Merkel;J Sanchez Dehesa;J Christensen;V Tournat;;;
V Romero Garcia;;;;;;;
J Boulvert;G Gabard;V Romero Garcia;JP Groby;;;;
A Cebrecos;D Krattiger;VJ Sanchez Morcillo;V Romero Garcia;;;;
N Jimenez;V Romero Garcia;R Pico;LM Garcia Raffi;K Staliunas;;;
M Botey;YC Cheng;V Romero Garcia;R Pico;R Herrero;;;
V Romero Garcia;;;;;;;
E Cheron;S Felix;JP Groby;V Pagneux;V Romero Garcia;;;
