S Okada;W Ricker;EAS Perez;;;;
R Martinez Sala;C Rubio;LM Garcia Raffi;EAS Perez;;;
A Fernandez;F Mayoral;F Naranjo;C Saez;EAS Perez;;
LM Garcia Raffi;S Romaguera;EAS Perez;;;;
EAS Perez;;;;;;
X Garcia Masso;P Serra Ano;LM Garcia Raffi;EAS Perez;;;
A Ferrer Sapena;EAS Perez;;;;;
V Peset;P Tallon;C Sola;E Sanchez;A Sarrion;C Perez Belles;A Vindel
S Oltra;S Romaguera;EAS Perez;;;;
LM Garcia Raffi;R EAS Perez;;;;;
LM Garcia Raffi;S Romaguera;EAS Perez;;;;
D Achour;P Rueda;EAS Perez;R Yahi;;;
JM Calabuig;O Delgado;EAS Perez;;;;
V Romero Garcia;E Fuster;LM Garcia Raffi;EAS Perez;;;
F Peset;F Garzon Farinos;LM Gonzalez;X Garcia Masso;;;
S Romaguera;EAS Perez;O Valero;;;;
EAS Perez;LM Garcia Raffi;JVS Perez;;;;
P Lara Navarra;H Falciani;EAS Perez;A Ferrer Sapena;;;
C Alegre;I Ferrando;LM Garcia Raffi;EAS Perez;;;
A Defant;EAS Perez;;;;;
LM Garcia Raffi;S Romaguera;EAS Perez;;;;
JM Calabuig;H Falciani;EAS Perez;;;;
R Aleixandre Benavent;LM Moreno Solano;A Ferrer Sapena;EAS Perez;;;
P Rueda;EAS Perez;;;;;
JM Calabuig;O Delgado;EAS Perez;;;;
D Achour;E Dahia;P Rueda;EAS Perez;;;
JAL Molina;EAS Perez;;;;;
D Pellegrino;P Rueda;EAS Perez;;;;
A Ferrer Sapena;EAS Perez;F Peset;LM Gonzalez;;;
E Dahia;D Achour;EAS Perez;;;;
LM Garcia Raffi;S Romaguera;EAS Perez;O Valero;;;
JM Calabuig;O Delgado;MA Juan;EAS Perez;;;
A Ferrer Sapena;EAS Perez;R Aleixandre Benavent;F Peset;;;
LM Garcia Raffi;S Romaguera;EAS Perez;;;;
JAL Molina;EAS Perez;;;;;
LM Garcia Raffi;S Romaguera;EAS Perez;;;;
O Delgado;EAS Perez;;;;;
E Perez;;;;;;
EAS Perez;;;;;;
JM Calabuig Rodriguez;LM Garcia Raffi;EAS Perez;;;;
A Fernandez;F Mayoral;F Naranjo;C Saez;EAS Perez;;
A Fernandez;F Mayoral;F Naranjo;EAS Perez;;;
A Defant;EAS Perez;;;;;
JM Calabuig;LM Garcia Raffi;A Garcia Valiente;EAS Perez;;;
C Palazuelos;EAS Perez;P Tradacete;;;;
S Oltra;S Romaguera;EAS Perez;;;;
S Romaguera;EAS Perez;O Valero;;;;
S Oltra;EAS Perez;O Valero;;;;
S Okada;WJ Ricker;EAS Perez;;;;
S Romaguera;EAS Perez;O Valero;;;;
LM Garcia Raffi;S Romaguera;EAS Perez;;;;
E Jimenez Fernandez;A Sanchez;EAS Perez;;;;
X Blasco;G Reynoso Meza;EAS Perez;JVS Perez;;;
A Ferrer Sapena;EAS Perez;LM Gonzalez;F Peset;;;
D Achour;E Dahia;P Rueda;EAS Perez;;;
OGBG Bravo;EAS Perez;;;;;
JM Calabuig;J Rodriguez;EAS Perez;;;;
A Ferrer Sapena;EAS Perez;;;;;
N Jonard Perez;EAS Perez;;;;;
JM Calabuig Rodriguez;S Lajara;J Rodriguez Ruiz;EAS Perez;;;
EA Martinez;EAS Perez;;;;;
A Ferrer Sapena;JM Calabuig;EAS Perez;C Vidal Cabo;;;
O Delgado Garrido;EAS Perez;;;;;
JM Calabuig;P Gregori;EAS Perez;;;;
A Fernandez;F Mayoral;F Naranjo;C Saez;EAS Perez;;
S Romaguera;EAS Perez;O Valero;;;;
F Martinez Gimenez*;EAS Perez;;;;;
EAS Perez;;;;;;
EAS Perez;;;;;;
H Falciani;EAS Perez;;;;;
O Delgado;EAS Perez;;;;;
EAS Perez;P Tradacete Perez;;;;;
EAS Perez;;;;;;
OG Bravo;EAS Perez;;;;;
JM Calabuig Rodriguez;MA Juan Blanco;EAS Perez;;;;
EJ Fernandez;MA Juan;EAS Perez;;;;
LM Garcia Raffi;D Ginestar;EAS Perez;;;;
A Manetti;A Ferrer Sapena;EAS Perez;P Lara Navarra;;;
A Manzano;P Rueda;EAS Perez;;;;
E Erdogan;EAS Perez;O Gok;;;;
EAS Perez;P Tradacete;;;;;
D Achour;A Alouani;P Rueda;EAS Perez;;;
P Rueda;EAS Perez;A Tallab;;;;
N Jonard Perez;EAS Perez;;;;;
I Ferrando;EAS Perez;;;;;
LM Garcia Raffi;EAS Perez;JVS Perez;;;;
LM Garcia Raffi;S Romaguera;EAS Perez;O Valero;;;
EAS Perez;;;;;;
E Erdogan;JM Calabuig;EAS Perez;;;;
P Rueda;EAS Perez;;;;;
MA Juan;EAS Perez;;;;;
JM Calabuig;F Galaz Fontes;EM Navarrete;EAS Perez;;;
LM Garcia Raffi;D Ginestar;EAS Perez;;;;
EAS Perez;JVS Perez;F de Campo;LM Garcia Raffi;;;
E Checa;MJ Felipe;J Marin;EAS Perez;EAS Perez;;
X Blasco;G Reynoso Meza;EAS Perez;EAS Perez;;;
JM Calabuig;J Rodriguez;P Rueda;EAS Perez;;;
S Brach;EAS Perez;D Werner;;;;
P Rueda;EAS Perez;;;;;
JM Calabuig;J Rodriguez;EAS Perez;;;;
JM Calabuig;J Rodriguez;EAS Perez;;;;
LM Garcia Raffi;EAS Perez;;;;;
EAS Perez;;;;;;
D Achour;E Dahia;P Rueda;EAS Perez;;;
