S Romaguera;P Tirado;;
S Romaguera;P Tirado;;
S Romaguera;MP Schellekens;P Tirado;O Valero
S Romaguera;A Ferrer Sapena;P Tirado;
S Romaguera;P Tirado;;
S Romaguera;P Tirado;O Valero;
S Romaguera;P Tirado;;
S Romaguera;P Tirado;;
J Marin;S Romaguera;P Tirado;
F Castro Company;S Romaguera;JM Sanchez Alvarez;P Tirado
F Castro Company;P Tirado;;
S Romaguera;P Tirado;O Valero;
S Romaguera;P Tirado;;
S Romaguera;P Tirado;;
S Romaguera;P Tirado;;
P Tirado; Pulido M;;
F Castro Company;P Tirado;;
S Romaguera;P Tirado;;
C Alegre;E Karapinar;J Marin Molina;P Tirado
C Alegre;H Dag;S Romaguera;P Tirado
P Tirado;;;
S Romaguera;P Tirado;;
F Castro Company;S Romaguera;P Tirado;
P Tirado;O Valero;;
E Karapinar;S Romaguera;P Tirado;
F Castro Company;S Romaguera;P Tirado;
C Alegre;H Dag; Romagueraz S;P Tirado
F Castro Company;P Tirado;;
E Karapinar;S Romaguera;P Tirado;
S Romaguera;P Tirado;;
C Alegre; Fulga A;E Karapinar;P Tirado
S Romaguera;P Tirado;;
F Castro Company;S Romaguera;P Tirado;
J Marin;S Romaguera;P Tirado;
P Tirado;;;
P Tirado;;;
S Romaguera; J Marin;P Tirado;
F Castro Company;S Romaguera;P Tirado;
S Romaguera;MP Schellekens;P Tirado;O Valero
F Castro Company;P Tirado;;
F Castro Company;S Romaguera;P Tirado;
