title,journal,year
Finite line-source model for borehole heat exchangers: effect of vertical temperature variations,Geothermics,2009.0
Decay modes of sigma and lambda hypernuclei,Physics Reports,1990.0
Reconstruction and analysis of genome-scale metabolic model of a photosynthetic bacterium,BMC systems biology,2010.0
Improving parameter estimates obtained from thermal response tests: Effect of ambient air temperature variations,Geothermics,2011.0
Spatial soliton formation in photonic crystal fibers,Optics Express,2003.0
Vortex transmutation,Physical Review Letters,2005.0
Semiphenomenological approach to nucleon properties in nuclear matter,Physical Review Applied,1992.0
Vortex solitons in photonic crystal fibers,Optics Express,2004.0
Roper excitation in Î±-proton scattering,Physical Review Applied,1996.0
Flux coupling and transcriptional regulation within the metabolic network of the photosynthetic bacterium Synechocystis sp. PCC6803,Biotechnology journal,2011.0
Mesonic and binding contributions to the EMC effect in a relativistic many-body approach,No indexada,1996.0
Projectile delta excitation in alpha-proton scattering,No indexada,1995.0
Semiexplicit method for wall temperature linked equations (SEWTLE): a general finite-volume technique for the calculation of complex heat exchangers,Numerical Heat Transfer: Part B: Fundamentals,2001.0
Coherent pion production in the (3He t) reaction in nuclei,Physics Letters A,1993.0
Metabolic flux analysis of the hydrogen production potential in Synechocystis sp. PCC6803,international journal of hydrogen energy,2009.0
Muon capture revisited,No indexada,1990.0
Forward-backward equations for nonlinear propagation in axially invariant optical systems,Physical Review Applied,2005.0
Mathematical modelling and analytical solution for workpiece temperature in grinding,Applied Mathematical Modelling,2007.0
Generation and Evaluation of a Genome-Scale Metabolic Network Model of Synechococcus elongatus PCC7942,Metabolites,2014.0
Higher-order spectral analysis of stray flux signals for faults detection in induction motors,Applied Mathematics and Nonlinear Sciences,2020.0
Heat transfer analysis of intermittent grinding processes,International Journal of Heat and Mass Transfer,2008.0
Projectile and target delta excitation in the (3He t) and (3He 3He) reactions,No indexada,1992.0
Water content water activity glass transition temperature relationships of spray-dried borojo as related to changes in color and mechanical properties,Food Biophysics,2011.0
A heuristic algorithm based on Monte Carlo methods for the rural postman problem,Computers & Operations Research,1998.0
Coherent pion production in neutrino nucleus collision in the 1 GeV region,Physical Review Applied,1997.0
Detection of nonadjacent rotor faults in induction motors via spectral subtraction and autocorrelation of stray flux signals,IEEE Transactions on Industry Applications,2019.0
ExGUtils: A python package for statistical analysis with the ex-Gaussian probability density,Frontiers in Psychology,2018.0
A Review on Mesonic Decay of I Hypernuclei,Progress of Theoretical Physics Supplement,1994.0
Experimental and modeling analysis of Synechocystis sp. PCC 6803 growth,Journal of molecular microbiology and biotechnology,2012.0
A transfer matrix method for the analysis of fractal quantum potentials,European journal of physics,2005.0
An entropic picture of emergent quantum mechanics,International Journal of Geometric Methods in Modern Physics,2012.0
Deep inelastic lepton scattering in nuclei at x> 1 and the nucleon spectral function,No indexada,1996.0
Coherent pion production induced by protons and light ions,No indexada,1995.0
The effect of corrective feedback on performance in basic cognitive tasks: an analysis of RT components,Psychologica Belgica,2016.0
A real delivery problem dealt with Monte Carlo techniques,Top,2000.0
Transport properties of strongly coupled plasmas,Physical Review Applied,1998.0
On the recent claim of correlation between radioactive decay rates and space weather,The European Physical Journal C,2020.0
Emergent quantum mechanics as a classical irreversible thermodynamics,International Journal of Geometric Methods in Modern Physics,2013.0
Rotor fault detection in induction motors based on time-frequency analysis using the bispectrum and the autocovariance of stray flux signals,Energies,2019.0
Quartic Kerr cavity combs: bright and dark solitons,Optics Letters,2022.0
 meson transparency in nuclei from  resonant interactions,Physical Review Applied,2017.0
The effects of age and emotional valence on recognition memory: An exâ€Gaussian components analysis,Scandinavian journal of psychology,2014.0
A code to calculate (high order) Bessel functions based on the continued fractions method,Computer Physics Communications,1993.0
Automation on the generation of genome-scale metabolic models,Journal of Computational Biology,2012.0
Proton and light ion induced charge exchange reactions in nuclei,Physica Scripta,1993.0
Hollow gold nanoparticles produced by femtosecond laser irradiation,The journal of physical chemistry letters,2020.0
The role of age and emotional valence in word recognition: an ex-gaussian analysis,Studia Psychologica,2015.0
Isoscalar Roper excitation in p (I I+a) reactions in the 10 15 GeV region,Physics Letters A,1996.0
Nodal solitons and the nonlinear breaking of discrete symmetry,Optics Express,2005.0
Fluctuations in measured radioactive decay rates inside a modified Faraday cage: Correlations with space weather,Scientific Reports,2020.0
Emergent quantum mechanics as a thermal ensemble,International Journal of Geometric Methods in Modern Physics,2014.0
Automatic classification of winding asymmetries in wound rotor induction motors based on bicoherence and fuzzy C-means algorithms of stray flux signals,IEEE Transactions on Industry Applications,2021.0
