title,journal,year
Descriptive topology in selected topics of functional analysis,Springer,2011.0
Metrizable barrelled spaces,CRC Press,1995.0
Tightness and distinguished Frechet spaces,Journal of Mathematical Analysis and Applications,2006.0
Webs and bounded finitely additive measures,Journal of Mathematical Analysis and Applications,1997.0
Strong barrelledness properties inl0(XA) and bounded finite additive measures,Mathematische Annalen,1990.0
Quasi Suslin weak duals,Journal of Mathematical Analysis and Applications,2008.0
Compact coverings for Baire locally convex spaces,Journal of Mathematical Analysis and Applications,2007.0
On topological properties of Frechet locally convex spaces with the weak topology,Topology,2015.0
Necessary and sufficient conditions for precompact sets to be metrisable,Bulletin of the Australian Mathematical Society,2006.0
On Valdivia strong version of Nikodym boundedness property,Journal of Mathematical Analysis and Applications,2017.0
Algebra lineal y geometria: curso teorico practico,,1977.0
A characterization of trans separable spaces,Bulletin of the Belgian Mathematical Society Simon Stevin,2007.0
On countable bounded tightness for spaces Cp(X),Journal of Mathematical Analysis and Applications,2003.0
On spaces weakly analytic,Mathematische Nachrichten,2017.0
Convergence estimates of a family of approximation operators of exponential type,Filomat,2020.0
On the separable quotient problem for Banach spaces,Functiones et Approximatio Commentarii Mathematici,2018.0
Compact covers and function spaces,Journal of Mathematical Analysis and Applications,2014.0
A revised closed graph theorem for quasi Suslin spaces,Czechoslovak Mathematical Journal,2009.0
Lindelof spaces C(X) over topological groups,Walter de Gruyter,2008.0
Bounded tightness conditions for locally convex spaces and spaces C(X),Centro de Investigacion Operativa Universidad Miguel Hernandez de Elche,2004.0
Barreled spaces of class n and of class Xo.,No indexada,1989.0
Jordan basis for an infinite dimensional space,Portugaliae Mathematica,1985.0
On Nikodym and Rainwater sets for ba (R) and a Problem of M. Valdivia,Filomat,2019.0
Descriptive topology and functional analysis II,Springer,2019.0
Web compact spaces Frechet Urysohn groups and a Suslin closed graph theorem,Mathematische Nachrichten,2010.0
A characterization of distinguished Frechet spaces,Mathematische Nachrichten,2006.0
