title,journal,year
Scientific literature analysis of Judo in Web of Science,Archives of budo,2013.0
Open data y linked open data: su impacto en el area de bibliotecas y documentacion,PROFESIONAL DE LA INFORMACION,2011.0
Acceso a los datos publicos y su reutilizacion: open data y open government,PROFESIONAL DE LA INFORMACION,2011.0
An author keyword analysis for mapping Sport Sciences,PloS one,2018.0
Web 2.0 en medicina y pediatria (y II).,No indexada,2011.0
Survival analysis of author keywords: An application to the library and information sciences area,Journal of the Association for Information Science and Technology,2020.0
Datos abiertos de investigacion. Camino recorrido y cuestiones pendientes,Anales de Documentacion,2017.0
Compartir los recursos utiles para la investigacion: datos abiertos (open data),Educacion Medica,2021.0
Data journals: eclosion de nuevas revistas especializadas en datos,El Profesional de la Informacion,2015.0
Bibliotecas digitales en Internet de libro raro antiguo e incunables,Anales de Documentacion,2003.0
Evolucion social y networking en la comunidad biblio documental,PROFESIONAL DE LA INFORMACION,2008.0
Guia metodologica para la implantacion de una biblioteca digital universitariaGijon,No indexada,2005.0
The Impact Factor as a measuring tool of the prestige of the journals in research assessment in mathematics,Research evaluation,2016.0
Informatizacion de la historia clinica en Espana,PROFESIONAL DE LA INFORMACION,2010.0
Research data sharing in Spain: Exploring determinants practices and perceptions,Data,2020.0
Herramientas de analisis de datos bibliograficos y construccion de mapas de conocimiento: Bibexcel y Pajek,Bid Textos Universitaris de Biblioteconomia I Documentacio,2015.0
Normalizacion de la informacion: la aportacion de IraLIS,El Profesional de la Informacion,2007.0
Gestion de datos de investigacion: infraestructuras para su difusion,El Profesional de la Informacion,2013.0
Como analizar el impacto de los datos de investigacion con metricas: modelos y servicios,El Profesional de la Informacion,2016.0
Factores para la adopcion de linked data e implantacion de la web semantica en bibliotecas archivos y museos,Information Research,2013.0
CVN: normalizacion de los curriculos cientificos,PROFESIONAL DE LA INFORMACION,2008.0
The impact of COVID 19 on sport in twitter: A quantitative and qualitative content analysis,International Journal of Environmental Research and Public Health,2021.0
Policies regarding public availability of published research data in pediatrics journals,Scientometrics,2019.0
Trabajar con datos abiertos en tiempos de pandemia: uso de covidDATA 19,El Profesional de la Informacion,2020.0
Ciencia abierta y gestion de datos de investigacion (RDM),,2017.0
Implantacion de la Open Archives Initiative en Espana,Information Research,2008.0
Enriqueciendo la investigacion en humanidades digitales. Analisis de textos de claustros academicos de la Universidad de Valencia (1775 1779) con KH Coder,REVISTA ESPANOLA DE DOCUMENTACION CIENTIFICA,2019.0
Mathematical properties of weighted impact factors based on measures of prestige of the citing journals,Scientometrics,2015.0
Reutilizacion de datos culturales,Anuario ThinkEPI,2012.0
Ciencia abierta y gestion de datos de investigacion,No indexada,2017.0
Use of OAI protocol and its impact in digital libraries: a case study in Spain Portugal and Latin America Prasad ARD and Madalli Devika P.,Conferencia,2007.0
El recuento de los libros de matricula de la universidad de Mexico,No indexada,1999.0
Gestion de los datos brutos de investigacion en los investigadores espanoles en ciencias de la salud,No indexada,2015.0
Datasharing: guia practica para compartir datos de investigacion,PROFESIONAL DE LA INFORMACION,2013.0
Normativas interoperables sobre control de autoridades para bibliotecas digitales semanticas,Investigacion bibliotecologica,2018.0
Politicas editoriales en la documentacion espanola e implantacion de E LIS (E Prints in Library and Information Science),,2003.0
Universidades espanolas y americanas. Epoca colonial,Valencia: CSIC Generalitat Valenciana,1987.0
FAIR degree assessment in agriculture datasets using the F UJI tool,Ecological Informatics,2023.0
Carencias informativas de los datos abiertos en Espana,Anuario ThinkEPI,2014.0
ODiSEA: International registry on research data,Bid Textos Universitaris de Biblioteconomia I Documentacio,2012.0
Colecciones de fotografia en Espana. Propuesta del directorio de fotografia en Espana (DeFOTO),,2010.0
Self defined information indices: application to the case of university rankings,Scientometrics,2020.0
Analisis de los directorios privados de informacion empresarial espanola,PROFESIONAL DE LA INFORMACION,2007.0
Interoperatividad entre repositorios y proveedores de servicios,,2006.0
Presentacion del proyecto: Guia metodologica para la implantacion de una biblioteca Digital Universitaria,Revista general de informacion y documentacion,2002.0
Los registros de autoridades personales de la comunidad bibliotecaria revisitados en la web semantica,Anales de Documentacion,2018.0
Datos abiertos enlazados linked open data (LOD) en documentacion cientifica,Universitat Politecnica de Valencia,2013.0
Analisis de la variabilidad de nombres de autor espanoles en depositos digitales universitarios de acceso abierto: un estudio por areas de conocimiento,REVISTA ESPANOLA DE DOCUMENTACION CIENTIFICA,2009.0
New techniques of scientific publication. Third Medes Lilly workshop,PROFESIONAL DE LA INFORMACION,2008.0
Nuevas tecnicas de publicacion cientifica. Tercera Jornada Medes Lilly,PROFESIONAL DE LA INFORMACION,2008.0
Enriching research in digital humanities. Analysis of the University of Valencia scholar cloisters (1775 1779) with KH Coder,REVISTA ESPANOLA DE DOCUMENTACION CIENTIFICA,2020.0
Tools for analysing bibliographic data and making knowledge maps: Bilbexcel and Pajek,Bid Textos Universitaris de Biblioteconomia I Documentacio,2015.0
Factors for the adoption of linked data and implementation of web semantics in libraries archives and museums,Information research an international electronic journal,2013.0
DSpace and the standardization of the information: names of Spanish authors,,2007.0
Recursos de informacion distribuidos en red: contenidos digitales para unidades documentales de arte en Espana,Conferencia,2001.0
Share useful resources for research: Open data,Elsevier,2019.0
Citations to arXiv preprints by indexed journals and their impact on research evaluation,Journal of Information Science Theory and Practice,2018.0
Text mining versus redes neuronales. Dos metodos de analisis  aplicados al caso de las politicas de las revistas sobre datos,,2014.0
Access to and reuse of public data: open data and open government,PROFESIONAL DE LA INFORMACION,2011.0
El aprendizaje desde la practica: integracion de nuevas metodologias docentes en Documentacion,Scire: Representacion y organizacion del conocimiento,2004.0
Maredata: red tematica sobre datos de investigacion en abierto: EN Ecosistemas del Acceso Abierto,Ediciones Universidad de Salamanca,2018.0
Documentacion en otorrinolaringologia. Compartir datos de investigacion de otorrinolaringologia en un ecosistema de ciencia abierta.,REVISTA ORL,2018.0
10 Aspectos a considerar por parte de las revistas cientificas en Ciencias Sociales antes de disenar una politica de datos,,2017.0
Open availability of articles and raw research data in spanish pediatrics journals,Anales de Pediatria,2015.0
Electronic medical records in Spain,PROFESIONAL DE LA INFORMACION,2010.0
El factor de impacto bibliografico,FMC Formacion Medica Continuada en Atencion Primaria,2010.0
No todos somos iguales ante los baremos de la ciencia. Las ciencias sociales europeas,Anuario ThinkEPI,2008.0
Catalogacion si pero como,Anuario ThinkEPI,2008.0
E LIS: una comunidad internacional de profesionales,El Profesional de la Informacion,2008.0
Normalizacion de la firma de autores por disciplina en repositorios catalanes: una aproximacion estadistica,,2008.0
Authority records for authors names in Library and Information Science,,2007.0
Tendencias internacionales en el acceso libre a la documentacion cientifica digital: OAI Open Archives Initiative,,2007.0
El mapa de lectura publica valenciana: un instrumento de trabajo y planificacion,Espana. Ministerio de Cultura. Subdireccion General de Publicaciones,2002.0
La ardilla del norte de California: el Gopher,No indexada,1995.0
E LIS between old and new forms of Grey Literature encompasses new forms of relationship among librarians in the different country,,2019.0
Los cientificos ante los datos abiertos. Red Maredata.,,2016.0
Una aproximacion a la visibilidad de la investigacion en historia cultural y de las universidades: instrucciones minimas,,2016.0
Aplicaciones basicas en la Red para la explotacion y representacion de datos,Anuario ThinkEPI,2015.0
Research data management in Spain: results from a DATASEA project survey,,2015.0
The lack of stability of the impact factor of the mathematical journals,,2015.0
Comunicacion cientifica en revistas de acceso abierto,,2015.0
Datasharing: a practical guide to share research data,PROFESIONAL DE LA INFORMACION,2013.0
Datos de investigacion: reflexiones sobre su acceso abierto,,2013.0
Managing and disseminating research data,PROFESIONAL DE LA INFORMACION,2013.0
Mejores practicas en reuso de conjuntos de datos publicados online como material adicional a los articulos,,2012.0
Linked open data and Open data. Its impact in the field of libraries and information science,PROFESIONAL DE LA INFORMACION,2011.0
OA applications for special and media collections. Processing information from audio and image files and iconic objects: museum and archives,,2010.0
OSTI DOE la fuente de informacion sobre energia. Entrevista a Karen Spence,PROFESIONAL DE LA INFORMACION,2009.0
Integracion de la informacion sobre biblioteconomia y documentacion en Espana. La colaboracion entre E LIS EXIT e IraLIS, SEDIC,2009.0
Impact of OAI protocol in Spain Portugal and Latin America,,2008.0
Organizacion de la informacion artistica en entornos hipertexto e hipermedia,,2001.0
Metodos para el estudio de la actividad academica y cientifica de investigadores singulares,,
The compliance to FAIR principles of shared data in addiction research,Scientometrics,2025.0
El dilema de las palabras vacias en la revision humana del procesamiento automatizado,,2023.0
FAIR degree assessment in agriculture datasets using the F UJI tool [Dataset],Figshare,2023.0
Dialogo con Mariano Peset sobre historia del derecho,,2023.0
Data from E LIS between old and new forms of Grey Literature encompasses new forms of relationship between librarians in the different countries.,Grey Journal (TGJ),2022.0
Acceso enriquecido a la informacion: metadatos e interoperabilidad en el contexto de la ciencia abierta,No indexada,2022.0
The quality of shared datasets in agriculture: a further step in the study of shared data quality,,2022.0
The quality of shared datasets in agriculture: a further step in the study of shared data quality.,,2022.0
Cuanto de abiertos son los datos de investigacion en el area agricola,,2022.0
Dataset created in the context of the project Stable methodologies to evaluate and measure quality interoperability blockchain and reuse of open data in the agricultural field,,2022.0
Agricultural market dynamics based on data evidence,,2021.0
Ciencia abierta: la importancia de los datos abiertos para la I+ D,,2021.0
