title,journal,year
New progress on factorized groups and subgroup permutability,Cambridge University Press,2015
Fitting classes and lattice formations I,Australian Mathematical Publishing Association,2004
Fitting classes and lattice formations II,Australian Mathematical Publishing Association,2004
On conditional permutability and saturated formations,,2011
Carter and Gaschutz theories beyond soluble groups,Springer Verlag Italia s.r.l.,2022
On the lattice of F Dnormal subgroups in finite soluble groups,Academic Press Inc.,2001
On conditional permutability and factorized groups,Springer Verlag,2014
On finite products of groups and supersolubility,,2010
Injectors in I  Separable Groups,Birkhauser,2022
Conditional permutability of subgroups and certain classes of groups,Academic Press Inc.,2017
