title,journal,year
New progress on factorized groups and subgroup permutability,Cambridge University Press,2015
On Schunck classes of finite groups with cover and avoidance property on Abelian chief factors,,2006
On certain actions of groups and injective fitting sets,Marcel Dekker Inc.,1998
On complemented Schunck classes of finite groups,Marcel Dekker Inc.,1996
On conditional permutability and saturated formations,,2011
Carter and Gaschutz theories beyond soluble groups,Springer Verlag Italia s.r.l.,2022
On conditional permutability and factorized groups,Springer Verlag,2014
On finite products of groups and supersolubility,,2010
Fitting sets pairs,Academic Press Inc.,2000
Injectors in I  Separable Groups,Birkhauser,2022
Conditional permutability of subgroups and certain classes of groups,Academic Press Inc.,2017
