title,journal,year
Generalized perfect spaces,Indagationes Mathematicae,2008.0
Dreaming machine learning: Lipschitz extensions for reinforcement learning on financial markets,Neurocomputing,2020.0
Factorizing operators on Banach function spaces through spaces of multiplication operators,Journal of mathematical analysis and applications,2010.0
On the Banach lattice structure of of a vector measure on a-ring,Collectanea Mathematica,2014.0
Aprender como una maquina: introduciendo la Inteligencia Artificial en la ensenanza secundaria,Modelling in Science Education and Learning,2021.0
Trabajar con datos abiertos en tiempos de pandemia: uso de covidDATA-19,El profesional de la informacion,2020.0
Kaplan-Meier type survival curves for Covid-19: a health data based decision-making tool,Frontiers in public health,2021.0
Compactness in L1 of a vector measure,Studia Mathematica,2014.0
On the Structure of L1 of a Vector Measure via its Integration Operator,Integral Equations and Operator Theory,2009.0
Radon-Nikodym derivatives for vector measures belonging to Kothe function spaces,Journal of mathematical analysis and applications,2008.0
Gobierno abierto y acceso a la informacion: un estudio de caso sobre el impacto en la economia local,BiD: textos universitaris de biblioteconomia i documentacio,2020.0
Spaces of p-integrable functions with respect to a vector measure defined on a delta-ring,Operators and Matrices,2012.0
Convolution-continuous bilinear operators acting on Hilbert spaces of integrable functions,,2018.0
Fourier Transform and Convolutions on Lp of a Vector Measure on a Compact Hausdorff Abelian Group,Journal of Fourier Analysis and Applications,2013.0
A bilinear version of Orlicza Pettis theorem,Journal of mathematical analysis and applications,2008.0
On p-Dunford integrable functions with values in Banach spaces,Journal of Mathematical Analysis and Applications,2018.0
Multiplication operators in Kothe Bochner spaces,Journal of mathematical analysis and applications,2011.0
"Weak continuity of Riemann integrable functions in Lebesgue-Bochner spaces,""Acta Mathematica Sinica, English Series"",2010.0"
On completely continuous integration operators of a vector measure,J. Convex Anal,2014.0
Finite semivariation and regulated functions by means of bilinear maps,,2000.0
La modelizacion como competencia transversal en el sistema educativo espanol,UNO. Revista de didactica de las matematicas,2015.0
Strongly embedded subspaces of p-convex Banach function spaces,Positivity,2013.0
Algebra lineal y juegos de mesa,Modelling in Science Education and Learning,2013.0
"Fourier analysis with respect to bilinear maps,""Acta Mathematica Sinica, English Series"",2009.0"
Strong factorization of operators on spaces of vector measure integrable functions and unconditional convergence of series,Mathematische Zeitschrift,2007.0
Summability in of a vector measure,Mathematische Nachrichten,2017.0
"Extending and factorizing bounded bilinear maps defined on order continuous Banach function spaces,""Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ..."",2014.0"
Interpolation subspaces of L^ 1 of a vector measure and norminequalities for the integration operator,Contemporary Mathematics,2012.0
Vector-valued functions integrable with respect to bilinear maps,Taiwanese Journal of Mathematics,2008.0
"Extension procedures for lattice Lipschitz operators on Euclidean spaces,""Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales. Serie ..."",2023.0"
Modeling hospital resource management during the covid-19 pandemic: An experimental validation,Econometrics,2021.0
Maximal factorization of operators acting in Kothe–Bochner spaces,The Journal of Geometric Analysis,2021.0
Representation and factorization theorems for almost-Lp-spaces,Indagationes Mathematicae,2019.0
Optimal extensions of compactness properties for operators on Banach function spaces,Topology and its Applications,2016.0
Algebra lineal y descomposicion en valores singulares,Modelling in Science Education and Learning,2015.0
Holder inequality for functions that are integrable with respect to bilinear maps,Mathematica scandinavica,2008.0
Tensor product representation of Kothe-Bochner spaces and their dual spaces,Positivity,2016.0
The weak topology on q‐convex Banach function spaces,Mathematische Nachrichten,2012.0
Using neural networks and hierarchical cluster analysis to study goal kicks in football,International Journal of Sports Science & Coaching,2024.0
