title,journal,year
Some remarks on Phelps property U of a Banach space into C(K) spaces,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie ...,2024.0
A remark on totally smooth renormings,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie …,2020.0
Octahedrality and Gateaux smoothness,Journal of Mathematical Analysis and Applications,2025.0
On disjoint dynamical properties and Lipschitz-free spaces,Results in Mathematics,2025.0
On the strongly subdifferentiable points in Lipschitz-free spaces,Banach Journal of Mathematical Analysis,2025.0
The numerical index of 2-dimensional Lipschitz-free spaces,Journal of Mathematical Analysis and Applications,2024.0
Banach spaces with small weakly open subsets of the unit ball and massive sets of Daugavet and -points,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie ...,2024.0
Banach spaces with small weakly open subsets of the unit ball and massive sets of Daugavet andaˆ†-points,Springer Nature,2024.0
Phelps Property U and  spaces,arXiv preprint arXiv,2022.0
On a Ermakov-Kalitkin scheme based family of fourth order,Modelling for Engineering & Human Behaviour,2021.0
On unique-extension renormings,TEMat monograficos,2021.0
Maximal averaging operators: from geometry to boundedness through duality,TEMat monograficos,2020.0
Notes on differentiability norm-preserving extensions and renormings in Banach spaces,Universitat Politecnica de Valencia,2020.0
Maximal averaging operators: from geometry to boundedness through duality,,2019.0
Having unique Hahn-Banach extensions inside C(K),,
