title,journal,year
Finite line-source model for borehole heat exchangers: effect of vertical temperature variations,Geothermics,2009.0
Polynomials for torus links from Chern-Simons gauge theories,Nuclear Physics B,1993.0
A new derivation of the Picard-Fuchs equations for effective N= 2 super Yang-Mills theories,Nuclear Physics B,1997.0
On the Picard-Fuchs equations for massive N= 2 Seiberg-Witten theories,Nuclear Physics B,1997.0
An entropic picture of emergent quantum mechanics,International Journal of Geometric Methods in Modern Physics,2012.0
Nonperturbative flipped SU (5) vacua in heterotic M-theory,Nuclear Physics B,2002.0
Coset constructions in Chern-Simons gauge theory,Physics Letters B,1992.0
A note on the PicardaFuchs equations for N= 2 SeibergaWitten theories,International Journal of Modern Physics A,1998.0
Emergent quantum mechanics as a classical irreversible thermodynamics,International Journal of Geometric Methods in Modern Physics,2013.0
gl (N N) current algebras and topological field theories,Nuclear Physics B,1994.0
 supergravity dynamically coupled to superstring in a superfield Lagrangian approach,Physical Review D,2004.0
On the WDVV equation and M-theory,Nuclear Physics B,1999.0
Emergent quantum mechanics as a thermal ensemble,International Journal of Geometric Methods in Modern Physics,2014.0
Emergence from irreversibility,Journal of Physics: Conference Series,2013.0
An analysis of the temperature field of the workpiece in dry continuous grinding,Journal of Engineering Mathematics,2010.0
Topological current algebras in two dimensions,Physics Letters B,1993.0
Bypassing Pauli's theorem,Physics Letters A,2005.0
Schroedinger vs. Naviera Stokes,Entropy,2016.0
Duality quantum mechanics and (almost) complex manifolds,Modern Physics Letters A,2003.0
Two-dimensional area and matter flux in the theory of causal fermion systems,International Journal of Modern Physics D,2020.0
Lp-spectrum of the Schrodinger operator with inverted harmonic oscillator potential,Journal of Mathematical Physics,2017.0
On the Ricci flow and emergent quantum mechanics,Journal of Physics: Conference Series,2009.0
Ricci flow quantum mechanics and gravity,International Journal of Geometric Methods in Modern Physics,2009.0
A selfadjoint variant of the time operator,arXiv preprint quant-ph/,2007.0
Quantum-mechanical dualities from classical phase space,Physics Letters A,2003.0
Summing over spacetime dimensions in quantum gravity,Symmetry,2020.0
Exact Solution for the Time‐Dependent Temperature Field in Dry Grinding: Application to Segmental Wheels,Mathematical Problems in Engineering,2011.0
Duality and the geometry of quantum mechanics,Journal of Physics A: Mathematical and General,2002.0
The concept of a noncommutative Riemann surface,Physics Letters B,2000.0
A note on the quantum-mechanical Ricci flow,International Journal of Modern Physics A,2009.0
Coherent states and duality,Physics Letters A,2002.0
Human reaction times: Linking individual and collective behaviour through physics modeling,Symmetry,2021.0
A probabilistic classification procedure based on response time analysis towards a quick pre-diagnosis of student’s attention deficit,Mathematics,2019.0
Calculation of some integrals arising in heat transfer in grinding,Mathematical Problems in Engineering,2010.0
Integrability SeibergaWitten Models and PicardaFuchs Equations,Journal of High Energy Physics,2001.0
On the contact geometry and the Poisson geometry of the ideal gas,Entropy,2018.0
A holographic map of action onto entropy,Journal of Physics: Conference Series,2012.0
A mechanics for the Ricci flow,International Journal of Geometric Methods in Modern Physics,2009.0
A gauge theory of quantum mechanics,Modern Physics Letters A,2007.0
Gerbes and Heisenberg's uncertainty principle,International Journal of Geometric Methods in Modern Physics,2006.0
Monte Carlo Simulation of a modified Chi distribution with unequal variances in the generating gaussians. A Discrete Methodology to Study Collective Response Times,Mathematics,2020.0
Boltzmann entropy of a Newtonian Universe,Entropy,2017.0
Generalised complex geometry in thermodynamical fluctuation theory,Entropy,2015.0
The irreversible quantum,International Journal of Geometric Methods in Modern Physics,2015.0
An analysis of the transient regime temperature field in wet grinding,Journal of Engineering Mathematics,2015.0
Quantum mechanics in infinite symplectic volume,Modern Physics Letters A,2004.0
Noncommutative riemann surfaces,Proceedings of Science,2000.0
The BRST symmetry of Affine Lie superalgebras and noncritical strings,International Journal of Modern Physics A,1996.0
Monte Carlo simulation of a modified Chi distribution considering asymmetry in the generating functions: Application to the Study of Health-Related Variables,Symmetry,2021.0
Machinery Failure Approach and Spectral Analysis to Study the Reaction Time Dynamics over Consecutive Visual Stimuli: An Entropy-Based Model,Mathematics,2020.0
Percentile Study of χ Distribution. Application to Response Time Data,Mathematics,2020.0
Entropy topological theories and emergent quantum mechanics,Entropy,2017.0
The holographic quantum,arXiv preprint arXiv:,2015.0
Noncommutative space and the low-energy physics of quasicrystals,International Journal of Modern Physics A,2008.0
Abelian gerbes as a gauge theory of quantum mechanics on phase space,Journal of Physics A: Mathematical and Theoretical,2007.0
Semiclassical expansions the strong quantum limit and duality,Modern Physics Letters A,2005.0
Twisted K-theory in g> 1 from D-branes,Journal of Geometry and Physics,2002.0
On the structure of noncommutative N= 2 super Yang-Mills theory,Journal of High Energy Physics,2000.0
BF theories and group-level duality,Nuclear Physics B,1996.0
The cosmological constant of emergent spacetime in the Newtonian approximation,International Journal of Modern Physics D,2020.0
On the holographic bound in Newtonian cosmology,Entropy,2018.0
The holographic quantum,Foundations of Physics,2016.0
On the noncommutative Eikonal,International Journal of Geometric Methods in Modern Physics,2011.0
The Ricci flow on Riemann surfaces,JP J.Geom.Topol.,2009.0
Geothermal vertical effects in thermal response tests,Proceedings of the XXXIII Workshop Geothermal Reservoir Engineering,2008.0
Dirac brackets from magnetic backgrounds,International Journal of Geometric Methods in Modern Physics,2007.0
Holomorphic invariants of continuous bounded symmetric Reinhardt domains,Acta Sci. Math.(Szeged),2004.0
Nonperturbative flipped SU (5) vacua in Horava-Witten theory,Proceedings of the,2003.0
Properties of period integrals of complex algebraic curves,Journal of Geometry and Physics,1999.0
Causal fermion systems and octonions,Fortschritte der Physik,2024.0
Mathematical modeling and numerical simulation of heat dissipation in led bulbs,Thermal Science,2020.0
Generalized complex geometry and the Planck cone,International Journal of Modern Physics A,2006.0
Quantum states from tangent vectors,Modern Physics Letters A,2004.0
Quantum-Mechanical Dualities on the Torus,Modern Physics Letters A,2004.0
The quantum mechanics of affine variables,Journal of Geometry and Physics,2002.0
Superconformal current algebras and topological field theories,Physics Letters B,1994.0
Structural characterization of compact operators,Current topics in operator algebras(Nara,
A mechanism for dark matter and dark energy in the theory of causal fermion systems,Classical and Quantum Gravity,2023.0
Spherical space in the Newtonian limit: The cosmological constant,International Journal of Modern Physics D,2021.0
Quantum mechanics as a spontaneously broken gauge theory on AU (1) gerbe,International Journal of Geometric Methods in Modern Physics,2008.0
A Quantum-Gravity Perspective on Semiclassical vs. Strong-Quantum Duality,International Journal of Geometric Methods in Modern Physics,2006.0
Magnetic backgrounds from generalised complex manifolds,Journal of Geometry and Physics,2006.0
Topological Duality on the Functional Space (H [subscript B](U F) T [subscript B),Royal Irish Academy,1979.0
Thermality of the zero-point length and gravitational selfduality,International Journal of Geometric Methods in Modern Physics,2024.0
On the derivations of the quadratic Jordan product in the space of rectangular matrices,Journal of Algebra,2023.0
On the emergent origin of the inertial mass,Foundations of Physics,2023.0
Hyperbolic space in the Newtonian limit: The cosmological constant,International Journal of Modern Physics D,2022.0
Brain reaction times: Linking individual and collective behaviour through Physics modelling,arXiv preprint arXiv:,2019.0
Teaching classical mechanics using an applied example: Modelling and Software,Modelling in Science Education and Learning,2009.0
Wigner functions Fresnel optics and symplectic connections on phase space,International Journal of Geometric Methods in Modern Physics,2008.0
Moduli space of potentials in the Aharonov-Bohm effect,Advances in applied Clifford algebras,2004.0
Holomorphic automorphisms of continuous products of balls,Mathematische Zeitschrift,2000.0
A new derivation of the Picard-Fuchs equation for N= 2 Seiberg-Witten theories,arXiv preprint hep-th/,
Theoretically Motivated Dark Electromagnetism as the Origin of Relativistic Modified Newtonian Dynamics,Universe,2024.0
Theoretically Motivated Dark Electromagnetism as the Origin of Relativistic Modified Newtonian Dynamics. Universe 2024 10 123,,2024.0
Theoretically motivated dark electromagnetism as the origin of relativistic MOND,arXiv preprint arXiv:,2023.0
On the derivations of the quadratic Jordan product in classical finite dimensional Cartan factors,Journal of Algebra,2023.0
On the cosmological constant of flat FLRW spacetime,International Journal of Geometric Methods in Modern Physics,2023.0
On the van der Waals gas contact geometry and the Toda chain,Entropy,2018.0
On the holographic bound in Newtonian cosmology,arXiv e-prints arXiv:,2017.0
The Schrodinger Equation in the Context of Fluid Mechanics,Revista Cubana de Fisica,2016.0
Remarks on the representation theory of the Moyal plane,arXiv preprint arXiv:,2010.0
Positive curvature can mimic a quantum,AIP Conf. Proc.,2010.0
A note on the quantum of time,Modern Physics Letters A,2008.0
Quantum Dynamics on the Worldvolume from Classical su (n) Cohomology SIGMA. Symmetry, Integrability and Geometry: Methods and Applications,2008.0
Analytical Studies of Heat Conduction in Thermal Response Tests,European Thermal-Sciences Conference Eindhoven Holanda,2008.0
Dirichlet branes and a cohomological definition of time flow,JP Journal of Geometry and Topology,2008.0
A quantum is a complex structure on classical phase space,International Journal of Geometric Methods in Modern Physics,2005.0
Noncommutative manifolds from the Higgs sector of coincident D-branes,Modern Physics Letters A,2005.0
Unfolding wall turbulence,Results in Engineering,2024.0
Gravitation as a Statistical Theory on the Light Cone,Classical and Quantum Gravity,2024.0
Thermality of the zero-point length and gravitational selfduality,International Journal of Geometric Methods in Modern Physics,2023.0
Spacetime metric from quantum-gravity corrected Feynman propagators,arXiv preprint arXiv:,2023.0
On the cosmological constant as a quantum operator,International Journal of Geometric Methods in Modern Physics,2023.0
On derivations of the Jordan triple product in classical Cartan factors,Journal of Algebra,2022.0
Percentile Study of chi Distribution. Application to Response Time Data,MATHEMATICS,2020.0
Integral Involving Bessel Functions Arising in Propagation Phenomena,Mathematics,2019.0
On the contact geometry and the Poisson geometry of the ideal gas,arXiv preprint arXiv:,2018.0
On the contact geometry and the Poisson geometry of the ideal gas,arXiv e-prints arXiv:,2018.0
An example of company-university cooperation: Mathematical modeling and numerical simulation of heat dissipation in led bulbs,Universidad de Oviedo,2018.0
The holographic bound in Newtonian cosmology,,2017.0
On admissible topologies in JB*‐triples,Mathematische Nachrichten,2015.0
La regla de Simpson con mallados generales e integrales impropias,Ciencias Matematicas,2013.0
Research Article Exact Solution for the Time-Dependent Temperature Field in Dry Grinding: Application to Segmental Wheels,,2011.0
On linear isometries of Banach lattices in C0(Ω)-spaces,Proceedings-Mathematical Sciences,2009.0
Basics in Noncommutative Geometry,Mathematical Physics Research Developments,2008.0
On the Lie algebra of holomorphic infinitesimal isometries of some classical complex symmetric Banach manifolds,Central European Journal of Mathematics,2007.0
Star products on generalized complex manifolds,International Journal of Geometric Methods in Modern Physics,2007.0
Holomorphic automorphisms and collective compactness in J*-algebras of operator,Open Mathematics,2007.0
Branes and the WDVV equation Quantum Aspects of Gauge Theories, Supersymmetry and Unification,2007.0
Moduli of quanta,International Journal of Geometric Methods in Modern Physics,2006.0
Banach manifolds of algebraic elements in the algebra (H) of bounded linear operatorsof bounded linear operators,Central European Journal of Mathematics,2005.0
Complex moduli of physical quanta,Modern Physics Letters A,2005.0
MR2124654 (2006a: 58008) 58B25 (46K70),J. Math. Anal. Appl,2005.0
Non-Abelian Poisson manifolds from D-branes,Modern Physics Letters A,2004.0
Duality and Quantum Mechanics,Symmetries in gravity and field theory p,2004.0
On the holomorphic classification of continuous bounded symmetric Reinhardt domains,,2003.0
Hilbert C*-modules are JB*-triples,arXiv preprint math/,2001.0
Manifolds of algebraic elements in the algebra L (H) of bounded linear operators,arXiv preprint math/,2001.0
Manifolds of algebraic elements in JB-triples,,2001.0
A Note on a Theorem of H. Cartan,Acta Mathematica Hungarica,2001.0
The manifold of finite rank projections in the space L (H),arXiv preprint math/,2000.0
Behaviour of holomorphic automorphisms on equicontinuous subsets of the space C (I E),Proceedings of the American Mathematical Society,1999.0
On some continuity properties of derivations and holomorphic automorphisms of JB triples,Salamanca,1990.0
Annali della,,1984.0
Topology of the group of analytic automorphisms of a bounded circular domain, Bulletin des sciences mathematiques,1982.0
Topological duality on the function space (H (U F)),Journal of Mathematical Analysis and Applications,1979.0
On some topological algebras of holomorphic functions.,Revista Matematica Hispanoamericana,1979.0
On I-completeness of H (U).,Revista Matematica Hispanoamericana,1979.0
The Manifold of Finite Rank Projections in the Algebra D of Bounded Linear Operators,,
Mikhail A. Chebotar Wen-Fong Ke and Pjek-Hwee Lee,,
