title,journal,year
Composition operators between weighted inductive limits of spaces of holomorphic functions,Publ. Math. Debrecen,2005.0
Mean ergodic composition operators on Banach spaces of holomorphic functions,Journal of Functional Analysis,2016.0
Optimal regularity at the free boundary for the infinity obstacle problem,Interfaces and Free Boundaries,2015.0
Extension of vector valued holomorphic and harmonic functions,Studia Math,2007.0
An optimal transportation problem with a cost given by the Euclidean distance plus import/export taxes on the boundary,Revista Matematica Iberoamericana,2014.0
Mean ergodicity of weighted composition operators on spaces of holomorphic functions,Journal of Mathematical Analysis and Applications,2016.0
Extension of bounded vector valued functions,Mathematische Nachrichten,2009.0
Vector valued meromorphic functions,Archiv der Mathematik,2002.0
Tingley's problem for Schatten von Neumann classes,Journal of Spectral Theory,2020.0
Ergodic properties of composition operators on Banach spaces of analytic functions,Journal of Mathematical Analysis and Applications,2020.0
Dynamics and spectra of composition operators on the Schwartz space,Journal of Functional Analysis,2018.0
Weighted Vector Valued Holomorphic Functions on Banach Spaces,Abstract and Applied Analysis,2013.0
Composition operators on the Schwartz space,Revista matematica iberoamericana,2018.0
Strongly continuous semigroups on some Frechet spaces,Journal of Mathematical Analysis and Applications,2014.0
Mean ergodic multiplication operators on weighted spaces of continuous functions,Mediterranean Journal of Mathematics,2018.0
Tame linear extension operators for smooth Whitney functions,Journal of Functional Analysis,2011.0
Extension of vector valued holomorphic and meromorphic functions,Bulletin of the Belgian Mathematical Society Simon Stevin,2005.0
Extension of vector valued functions,Bulletin of the Belgian Mathematical Society Simon Stevin,2007.0
The division problem for tempered distributions of one variable,Journal of Functional Analysis,2012.0
Whitney extension operators without loss of derivatives,Revista Matematica Iberoamericana,2016.0
Supercyclicity of weighted composition operators on spaces of continuous functions,Collectanea mathematica,2020.0
Stability of derivations under weak 2 local continuous perturbations,Aequationes mathematicae,2017.0
Power bounded composition operators on spaces of meromorphic functions,Topology and its Applications,2016.0
Dynamics of composition operators on function spaces defined by local and global properties,Journal of Mathematical Analysis and Applications,2022.0
Dynamics of weighted composition operators on spaces of entire functions of exponential and infraexponential type,Mediterranean Journal of Mathematics,2021.0
Vitali's and Harnack's type results for vector valued functions,Journal of mathematical analysis and applications,2007.0
Spectrum of composition operators on S (R) with polynomial symbols,Advances in Mathematics,2020.0
Ergodic properties of convolution operators,arXiv preprint arXiv:,2020.0
Existence uniqueness and decay rates for evolution equations on trees,Portugaliae Mathematica,2014.0
Isomorphisms on Weighed Banach Spaces of Harmonic and Holomorphic Functions,Journal of Function Spaces,2013.0
Inner Derivations and Weak 2 Local Derivations on the C Ca Algebra C0 (L A),Integral Equations and Operator Theory,2017.0
Weighted Banach spaces of harmonic functions,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2014.0
Topologies on spaces of vector valued meromorphic functions,Journal of the Australian Mathematical Society,2005.0
Tingleyas problem for p Schatten von Neumann classes for 2<p<a preprint 2018,arXiv preprint arXiv:,
Nuclear weighted composition operators on weighted Banach spaces of analytic functions,Proceedings of the American Mathematical Society,2021.0
Regularity of solutions of convolution equations,Journal of mathematical analysis and applications,2008.0
Generalized Hilbert operators acting on weighted spaces of holomorphic functions with sup norms,Banach Journal of Mathematical Analysis,2025.0
A characterization of the Schur property through the disk algebra,Journal of Mathematical Analysis and Applications,2017.0
Cesaro operators associated with Borel measures acting on weighted spaces of holomorphic functions with sup norms,Analysis and Mathematical Physics,2024.0
Uniformly ergodic probability measures,Publicacions Matematiques,2024.0
Extension operators for smooth functions on compact subsets of the reals,Mathematische Zeitschrift,2020.0
Power boundedness and related properties for weighted composition operators on S (Rd),Journal of Functional Analysis,2025.0
Positive definite functions as uniformly ergodic multipliers of the Fourier algebra,arXiv preprint arXiv:,2024.0
Cesaro operators associated with Borel measures acting on weighted spaces of holomorphic functions with sup norm,arXiv preprint arXiv:,2024.0
On the spectrum of isomorphisms defined on the space of smooth functions which are flat at 0,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2023.0
Whitney extension operators with arbitrary loss of differentiability,Journal of Mathematical Analysis and Applications,2020.0
Dynamics of weighted composition operators on spaces of continuous functions,arXiv preprint arXiv:,2019.0
Dynamics of weighted composition operators on spaces of continuous functions,,2019.0
Infinite Dimensional,,2018.0
Mean Ergodic Composition Operators on Banach spaces of holomorphic functions,arXiv e prints arXiv:,2016.0
Division de distribuciones atemperadas de una variable,,2013.0
Mean ergodic composition operators on spaces of holomorphic functions,,
WFCA 2022,,
Operadores de composicion entre limites inductivos de espacios ponderados de funciones holomorfas,Universidad Politecnica de Valencia,
