title,journal,year
Frequently recurrent operators,Journal of Functional Analysis,2022.0
Recurrence properties for linear dynamical systems: an approach via invariant measures,Journal de Mathematiques Pures et Appliquees,2023.0
Questions in linear recurrence: From the T problem to lineability,,2023.0
Recurrent subspaces in Banach spaces,International Mathematics Research Notices,2024.0
Shifts on trees versus classical shifts in chain recurrence,arXiv preprint arXiv:,2024.0
Two remarks on the set of recurrent vectors,arXiv preprint arXiv:,2023.0
Invariant measures from locally bounded orbits,Results in Mathematics,2024.0
Questions in linear recurrence I: the recurrence problem,Analysis and Mathematical Physics,2025.0
Chain Recurrence is not hereditary in Linear Dynamics,,2024.0
Recurrence in collective dynamics: From the hyperspace to fuzzy dynamical systems,arXiv preprint arXiv:,2024.0
Combinatorial number theory recurrence of operators and linear dynamics,Universitat Politecnica de Valencia,2023.0
Questions in linear recurrence: From the -problem to lineability,arXiv preprint arXiv:,2022.0
Frequent Recurrence via Invariant Measures,,2022.0
Recurrencia frecuente en la dinamica de operadores,Universitat Politecnica de Valencia,2020.0
Analisis Funcional Teoria de Distribuciones de Schwartz y ChatGPT en Ingenieria Fisica Autores/as Afiliaciones,,
Analisis de la contribucion a los ODS de la formacion en matematica avanzada,OVACIO DOCEN,
Invariant measures imply strong recurrence,,
