title,journal,year
Chaos for linear fractional transformations of shifts,Elsevier B.V.,2016
The specification property for backward shifts,,2012
Distributional chaos for backward shifts,,2009
Chaotic differential operators,Springer Verlag Italia s.r.l.,2011
Li Yorke and distributionally chaotic operators,,2011
Product recurrence for weighted backward shifts,Natural Sciences Publishing Co.,2015
Universal and chaotic multipliers on spaces of operators,,2004
Linear chaos on Frechet spaces,World Scientific Publishing Co. Pte Ltd,2003
Chaos on fuzzy dynamical systems,MDPI,2021
The Specification Property for C  Semigroups,Birkhauser Verlag AG,2019
Distributional chaos for operators with full scrambled sets,,2013
Vector measure range duality and factorizations of (D p) summing operators from Banach function spaces,,2004
Rate of growth of distributionally chaotic functions
Accurate Criteria for Broken Bar Detection in Induction Motors Based on the Wavelet (Packet) Transform,Multidisciplinary Digital Publishing Institute (MDPI),2024
Cantor sets bernoulli shifts and linear dynamics,Springer New York LLC,2014
Erratum to Uniform convergence and chaotic behavior [Nonlinear Anal. TMA 65 (4) (2006) 933 937] (DOI:10.1016/j.na.2005.04.056),,2008
Inverse gas chromatography study on the effect of humidity on the mass transport of alcohols in an ethylene vinyl alcohol copolymer near the glass transition temperature,,2007
Chaotic asymptotic behaviour of the solutions of the Lighthill–Whitham–Richards equation,Springer Netherlands,2016
Orbit Tracing Properties on Hyperspaces and Fuzzy Dynamical Systems,MDPI,2022
Slow growth for universal harmonic functions,,2010
Universality and chaos for tensor products of operators,Academic Press Inc.,2003
Sets of periods for chaotic linear operators,Springer Verlag Italia s.r.l.,2021
Comparison of different wavelet families for broken bar detection in induction motors,Institute of Electrical and Electronics Engineers Inc.,2015
Application and optimization of the discrete wavelet transform for the detection of broken rotor bars in induction machines,,2006
A Banach space which admits no chaotic operator,John Wiley and Sons Ltd,2001
Existence of hypercyclic polynomials on complex Frechet spaces,,2009
Chaos for power series of backward shift operators,,2007
Operators with the specification property,Academic Press Inc.,2016
Chaos for backward shift operators,World Scientific Publishing Co. Pte Ltd,2002
Chaotic polynomials on sequence and function spaces,World Scientific Publishing Co. Pte Ltd,2010
