title,journal,year
The total coordinate ring of a smooth projective surface,Journal of Algebra,2005
The cone of curves associated to a plane configuration,Commentarii Mathematici Helvetici,2005
The cone of curves and the Cox ring of rational surfaces given by divisorial valuations,Advances in Mathematics,2016
The Poincare problem algebraic integrability and dicritical divisors,Journal of Differential Equations,2014
The Poincare series of multiplier ideals of a simple complete ideal in a local ring of a smooth surface,Advances in Mathematics,2010
On the cone of curves and of line bundles of a rational surface,International Journal of Mathematics,2004
Minimal plane valuations,arXiv preprint arXiv:,2016
Isequences and Evaluation Codes defined by Plane Valuations at Infinity,arXiv preprint arXiv:,2007
On the classification of exceptional planar functions over ,Geometriae Dedicata,2014
Newton Okounkov bodies of exceptional curve valuations,arXiv preprint arXiv:,2017
The log canonical threshold of a plane curve,Mathematical Proceedings of the Cambridge Philosophical Society,2016
Curves having one place at infinity and linear systems on rational surfaces,Journal of Pure and Applied Algebra,2007
The Abhyankar Moh theorem for plane valuations at infinity,arXiv preprint arXiv:,2009
Algebraic integrability of foliations of the plane,Journal of Differential Equations,2006
Evaluation codes defined by finite families of plane valuations at infinity,Designs codes and cryptography,2014
On the computation of Darboux first integrals of a class of planar polynomial vector fields,arXiv preprint arXiv:,2018
Configurations of infinitely near points,arXiv preprint arXiv:,2008
A class of polynomial planar vector fields with polynomial first integral,Journal of Mathematical Analysis and Applications,2015
On the characterization of algebraically integrable plane foliations,Transactions of the American Mathematical Society,2010
Lins Neto s examples of foliations and the Mori cone of blow ups of P2,Bulletin of the London Mathematical Society,2011
Finite families of plane valuations: value semigroup graded algebra and Poincare series,Zeta functions in algebra and geometry. Contemp. Math,2012
Fibers of pencils of curves on smooth surfaces,International Journal of Mathematics,2011
Newton okounkov bodies of infinitely singular valuations,arXiv preprint arXiv:,2017
On the Classification of Exceptional Planar Functions over ,arXiv preprint arXiv:,2013
