title,journal,year
Square free class sizes in products of groups,Journal of Algebra,2017.0
Prime power indices in factorised groups,Mediterranean Journal of Mathematics,2017.0
Zeros of irreducible characters in factorised groups,Annali di Matematica Pura ed Applicata,2019.0
The prime graph on class sizes of a finite group has a bipartite complement,Journal of Algebra,2020.0
Analisis de la ansiedad matematica en futuros emprendedores,Innovaciones docentes en tiempos de pandemia. Actas del VI congreso ...,2021.0
On finite groups with square free conjugacy class sizes,International Journal of Group Theory,2018.0
Groups whose prime graph on class sizes has a cut vertex,Israel Journal of Mathematics,2021.0
On zeros of irreducible characters lying in a normal subgroup,Annali di Matematica Pura ed Applicata,2020.0
Non solvable groups whose character degree graph has a cut vertex. I,Vietnam Journal of Mathematics,2023.0
On products of groups and indices not divisible by a given prime,Monatshefte fur Mathematik,2020.0
Products of Groups and Class Sizes of  Elements,Mediterranean Journal of Mathematics,2020.0
Jugando con la Teoria de Grupos: rompecabezas puzzles y otros entretenimientos matematicos,Modelling in Science Education and Learning,2018.0
On G character tables for normal subgroups,Quaestiones Mathematicae,2023.0
Finite groups whose prime graph on class sizes is a block square,Communications in Algebra,2022.0
Analisis de estructuras algebraicas mediante la modelizacion de puzzles y rompecabezas,IN RED,2018.0
Clases de conjugacion y grupos factorizados,Universitat Politecnica de Valencia,2016.0
Groups Whose Common Divisor Graph on p Regular Classes has Diameter Three,Mediterranean Journal of Mathematics,2025.0
Codes in algebras of direct products of groups and associated quantum codes,arXiv preprint arXiv:,2024.0
A completeness criterion for the common divisor graph on  regular class sizes,arXiv preprint arXiv:,2024.0
On character tables for normal subgroups,arXiv e prints arXiv:,2024.0
Determining hypercentral Hall subgroups in finite groups,Bulletin of the Malaysian Mathematical Sciences Society,2024.0
Classification of groups with triangle free graphs on p regular classes,arXiv preprint arXiv:,2024.0
Classification of groups whose common divisor graph on  regular classes has no triangles,arXiv e prints arXiv:,2024.0
Finite groups and the class size prime graph revisited,arXiv preprint arXiv:,2022.0
Estrategias de co ensenanza: matematicas y economia,Suma,2022.0
On the prime graph associated with class sizes of a finite group,TEMat monograficos,2021.0
Last row effect:¿ influye el sitting en los resultados del estudiante?,IN RED,2021.0
Grafo asociado a los tamanos de las clases de conjugacion de un grupo finito,TEMat: Divulgacion de trabajos de estudiantes de matematicas,2020.0
Conjugacy classes and factorised groups,Universitat Politecnica de Valencia,2019.0
Recursos computacionales algebraicos en el Grado en Matematicas,Universidad de Alicante. Instituto de Ciencias de la Educacion,2019.0
Experiencies educatives tecniques computacionals en les assignatures d'Algebra de la titulacio de Matematiques,Universitat d Alacant. Institut de Ciencies de l Educacio,2019.0
Numeros enteros relojes y criptografia,Pi InnovaMath,2019.0
Zeros of irreducible characters in factorised groups,,2019.0
Influencia de los tamanos de clase en grupos finitos,TEMat: Divulgacion de trabajos de estudiantes de matematicas,2017.0
Clases de conjugacion y grupos factorizados,,2016.0
Analisis de la ansiedad matematica en futuros emprendedores,,
