title,journal,year
Sufficient conditions for supersolubility of finite groups,Journal of Pure and Applied Algebra,1998.0
On minimal subgroups of finite groups,Acta Mathematica Hungarica,1996.0
Finite soluble groups with permutable subnormal subgroups,Journal of Algebra,2001.0
On totally permutable products of finite groups,Journal of Algebra,2005.0
A note on minimal subgroups of finite groups,Communications in Algebra,1996.0
On products of finite supersoluble groups,Communications in Algebra,2001.0
On finite products of totally permutable groups,Bulletin of the Australian Mathematical Society,1996.0
On subnormality criteria in finite soluble groups,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2020.0
Finite groups which are products of pairwise totally permutable subgroups,Proceedings of the Edinburgh Mathematical Society,1998.0
Totally and mutually permutable products of finite groups,Mathematics and the,2001.0
On a class of psoluble groups,Algebra Colloquium,2005.0
On some permutable products of supersoluble groups,,2004.0
On reereƒsubnormal subgroups of factorised finite groups,Journal of Algebra,2020.0
Mutually permutable products of finite groups II,Journal of Algebra,1999.0
On finite soluble products of Nconnected groups,Walter de Gruyter GmbH & Co. KG,1999.0
On products of generalised supersoluble finite groups,Mediterranean Journal of Mathematics,2019.0
Finite trifactorized groups and formations,Journal of Algebra,2000.0
On Fsubnormal subgroups and Fresiduals of finite soluble groups,Journal of Algebra,1996.0
On factorised finite groups,Mediterranean Journal of Mathematics,2020.0
On two classes of generalised finite Tgroups,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,2023.0
On pairwise mutually permutable products,Walter de Gruyter GmbH & Co. KG,2009.0
A note on mpermutable products of finite groups,Walter de Gruyter GmbH & Co. KG,2000.0
A class of generalised finite Tgroups,Journal of Algebra,2011.0
Local classes and pairwise mutually permutable products of finite groups.,Documenta Mathematica,2010.0
Mutually permutable products of two nilpotent groups,Rendiconti del Seminario Matematico della Universita di Padova,2006.0
On finite groups in which subnormal subgroups satisfy certain permutability conditions,Advances in Algebra,2003.0
On normally embedded subgroups of finite soluble groups,Rendiconti del Seminario Matematico della Universita di Padova,1996.0
On certain products of permutable subgroups,Bulletin of the Australian Mathematical Society,2022.0
A survey on pairwise mutually permutable products of finite groups,Algebra and Discrete Mathematics,2018.0
Prefactorized subgroups in pairwise mutually permutable products,Annali di Matematica Pura ed Applicata,2013.0
Characterizations of Schunck classes of finite soluble groups,Journal of Algebra,1998.0
Some products of subgroups and vanishing conjugacy class sizes,Bulletin of the Australian Mathematical Society,2023.0
On some products of finite groups,Proceedings of the Edinburgh Mathematical Society,2023.0
On mutually permutable products of finite groups,Rendiconti LinceiMatematica e Applicazioni,2018.0
On a theorem of Kang and Liu on factorised groups,Bulletin of the Australian Mathematical Society,2018.0
On the exponent of mutually permutable products of two abelian groups,Journal of Algebra,2016.0
A Characterization of the Class of Finite Groups with Nilpotent Derived Subgroup,Mathematische Nachrichten,2002.0
Problemas de matematica discreta,Coleccion Academica. Editorial UPV,1997.0
Generalised mutually permutable products and saturated formations II,Bulletin of the Australian Mathematical Society,2024.0
On totally semipermutable products of finite groups,Acta Mathematica Hungarica,2024.0
On the Prufer rank of mutually permutable products of abelian groups,Annali di Matematica Pura ed Applicata,2019.0
New results on products of finite groups,London mathematical society lecture note series,2007.0
Mutually Permutable Products of two Nilpotent Groups,Australian National University,2006.0
Angeleri Hugel Lidia 519 Aranda Pino Gonzalo 408,Journal of Algebra,2005.0
"Departament d Algebra Universitat de Valencia; Dr. Moliner 50 E46100 Burjassot Valencia Spain,Advances in Algebra: Proceedings of the ICM Satellite Conference in Algebra,2003.0"
Some results on finite factorized groups,Groups Saint Andrews,2003.0
Jaligot Eric 413,Journal of Algebra,2001.0
Article ID jabr. 1999.8075,Journal of Algebra,1999.0
Anquela Jose A. 295,Journal of Algebra,1998.0
Andre Miche 32,Journal of Algebra,1996.0
Some results on finite factorized groups,This page intentionally left blank,
Permutability and subnormality in finite groups,This page intentionally left blank,
