title,journal,year,otros_investigadores
Characterizations of quasi-metric completeness in terms of kannan-type fixed point theorems,Hacettepe University,2017,Alegre C.; Dag H.; Romagueraz S.; Tirado P.
Quotient subspaces of asymmetric normed linear spaces,,2007,Alegre C.; Ferrando I.
Compactness in asymmetric normed spaces,,2008,Alegre C.; Ferrando I.; Garcia-Raffi L.M.; Sanchez Perez E.A.
A Caristi fixed point theorem for complete quasi-metric spaces by using mw-distances,House of the Book of Science,2018,Alegre C.; Marin J.
On a class of real normed lattices,Kluwer Academic/Plenum Publishers,1998,Alegre C.; Ferrer J.; Gregori V.
A discussion on p-geraghty contraction on mw-quasi-metric spaces,MDPI AG,2020,Alegre C.; Fulga A.; Karapinar E.; Tirado P.
The Hahn-Banach extension theorem for fuzzy normed spaces revisited,Hindawi Publishing Corporation,2014,Alegre C.; Romaguera S.
The weak topology in finite dimensional asymmetric normed spaces,Elsevier B.V.,2019,Alegre C.
Modified w-distances on quasi-metric spaces and a fixed point theorem on complete quasi-metric spaces,Elsevier,2016,Alegre C.; Marin J.
Continuous operators on asymmetric normed spaces,,2009,Alegre C.
On the uniform boundedness theorem in fuzzy quasi-normed spaces,Elsevier,2016,Alegre C.; Romaguera S.
Revisiting Bianchini and Grandolfi Theorem in the Context of Modified ω -Distances,Birkhauser Verlag AG,2019,Alegre Gil C.; Karapınar E.; Marin Molina J.; Tirado Pelaez P.
On the fixed point theory in bicomplete quasi-metric spaces,International Scientific Research Publications,2016,Alegre C.; Dag H.; Romaguera S.; Tirado P.
The uniform boundedness theorem in asymmetric normed spaces,,2012,Alegre C.; Romaguera S.; Veeramani P.
Quasi-uniform structures in linear lattices,,1993,Ferrer J.; Gregori V.; Alegre C.
On paratopological vector spaces,,2003,Alegre C.; Romaguera S.
On the Hahn-Banach theorem in certain linear quasi-uniform structures,Akademiai Kiado Rt.,1999,Alegre C.; Ferrer J.; Gregori V.
Projective limits of paratopological vector spaces,Belgian Mathematical Society,2005,Alegre C.
Characterizations of metrizable topological vector spaces and their asymmetric generalizations in terms of fuzzy (quasi-)norms,,2010,Alegre C.; Romaguera S.
Quasi-Metric Properties of the Dual Cone of an Asymmetric Normed Space,Birkhauser,2022,Alegre Gil C.
A note on φ-contractions in probabilistic and fuzzy metric spaces,Elsevier B.V.,2017,Alegre C.; Romaguera S.
Quasi-uniformities on real vector spaces,,1997,Alegre C.; Ferrer J.; Gregori V.
A fixed point theorem for generalized contractions involving w-distances on complete quasi-metric spaces,Hindawi Publishing Corporation,2014,Alegre C.; Marin J.; Romaguera S.
