title,journal,year,otros_investigadores
New progress on factorized groups and subgroup permutability,Cambridge University Press,2015,Arroyo-Jorda M.; Arroyo-Jorda P.; Martinez-Pastor A.; Perez-Ramos M.D.
Fitting classes and lattice formations I,Australian Mathematical Publishing Association,2004,Arroyo-Jorda M.; Perez-Ramos M.D.
Fitting classes and lattice formations II,Australian Mathematical Publishing Association,2004,Arroyo-Jorda M.; Perez-Ramos M.D.
On conditional permutability and saturated formations,,2011,Arroyo-Jorda M.; Arroyo-Jorda P.; Perez-Ramos M.D.
Carter and Gaschutz theories beyond soluble groups,Springer-Verlag Italia s.r.l.,2022,Arroyo-Jorda M.; Arroyo-Jorda P.; Dark R.; Feldman A.D.; Perez-Ramos M.D.
On the lattice of F-Dnormal subgroups in finite soluble groups,Academic Press Inc.,2001,Arroyo-Jorda M.; Perez-Ramos M.D.
On conditional permutability and factorized groups,Springer Verlag,2014,Arroyo-Jorda M.; Arroyo-Jorda P.; Martinez-Pastor A.; Perez-Ramos M.D.
On finite products of groups and supersolubility,,2010,Arroyo-Jorda M.; Arroyo-Jorda P.; Martinez-Pastor A.; Perez-Ramos M.D.
Injectors in π -Separable Groups,Birkhauser,2022,Arroyo-Jorda M.; Arroyo-Jorda P.; Dark R.; Feldman A.D.; Perez-Ramos M.D.
Conditional permutability of subgroups and certain classes of groups,Academic Press Inc.,2017,Arroyo-Jorda M.; Arroyo-Jorda P.
